lat,lon,type,title,link
52.2589296,20.9935624,Stacje transportu publicznego,ZTM Passenger Service Point Gdansk Railway station,https://www.google.com/maps/place/ZTM+Passenger+Service+Point+Gdansk+Railway+station/data=!4m7!3m6!1s0x471ecda8aee09f7f:0x43469471a36ffc71!8m2!3d52.2589296!4d20.9935624!16s%2Fg%2F11h0452gz!19sChIJf5_grqjNHkcRcfxvo3GURkM?authuser=0&hl=en&rclk=1
52.233079,20.99807,Stacje transportu publicznego,ZTM Passenger Service Point,https://www.google.com/maps/place/ZTM+Passenger+Service+Point/data=!4m7!3m6!1s0x471ecc8edd466611:0xd0c581dd309a529e!8m2!3d52.233079!4d20.99807!16s%2Fg%2F11b775vnh4!19sChIJEWZG3Y7MHkcRnlKaMN2BxdA?authuser=0&hl=en&rclk=1
52.2315414,21.0099933,Stacje transportu publicznego,Public Transportation Service Point,https://www.google.com/maps/place/Public+Transportation+Service+Point/data=!4m7!3m6!1s0x471eccf310bae03d:0x6f2b9e02c17361dc!8m2!3d52.2315414!4d21.0099933!16s%2Fg%2F11b6dxqdj1!19sChIJPeC6EPPMHkcR3GFzwQKeK28?authuser=0&hl=en&rclk=1
52.27396,20.916305,Stacje transportu publicznego,Głowackiego,https://www.google.com/maps/place/G%C5%82owackiego/data=!4m7!3m6!1s0x471eca4657634637:0x1245d2d48ded1c69!8m2!3d52.27396!4d20.916305!16s%2Fg%2F11c550xttm!19sChIJN0ZjV0bKHkcRaRztjdTSRRI?authuser=0&hl=en&rclk=1
52.2920486,21.0499048,Stacje transportu publicznego,Public Transportation Service Point,https://www.google.com/maps/place/Public+Transportation+Service+Point/data=!4m7!3m6!1s0x471ecf891ade2143:0x6864cdaa02536431!8m2!3d52.2920486!4d21.0499048!16s%2Fg%2F11s8xdjx1s!19sChIJQyHeGonPHkcRMWRTAqrNZGg?authuser=0&hl=en&rclk=1
52.2195257,21.0153416,Stacje transportu publicznego,ZTM Passenger Service Point,https://www.google.com/maps/place/ZTM+Passenger+Service+Point/data=!4m7!3m6!1s0x471ecd99cdc81e39:0xd3269ca1dbe9538c!8m2!3d52.2195257!4d21.0153416!16s%2Fg%2F11lkb94vm7!19sChIJOR7IzZnNHkcRjFPp26GcJtM?authuser=0&hl=en&rclk=1
52.2302091,21.0113922,Stacje transportu publicznego,Centrum,https://www.google.com/maps/place/Centrum/data=!4m7!3m6!1s0x471eccf31379aa43:0xceee81d44cef88f6!8m2!3d52.2302091!4d21.0113922!16zL20vMDV3cnEz!19sChIJQ6p5E_PMHkcR9ojvTNSB7s4?authuser=0&hl=en&rclk=1
52.2753458,21.0558484,Stacje transportu publicznego,Passenger Service Point ZTM,https://www.google.com/maps/place/Passenger+Service+Point+ZTM/data=!4m7!3m6!1s0x471ecff705d45c97:0x6409a72486cc5c0e!8m2!3d52.2753458!4d21.0558484!16s%2Fg%2F11fnpvsg5n!19sChIJl1zUBffPHkcRDlzMhiSnCWQ?authuser=0&hl=en&rclk=1
52.2330811,20.998285,Stacje transportu publicznego,Rondo ONZ,https://www.google.com/maps/place/Rondo+ONZ/data=!4m7!3m6!1s0x471ecc8ec2980f6b:0xb741b87404adb44a!8m2!3d52.2330811!4d20.998285!16s%2Fm%2F09gjx2g!19sChIJaw-Ywo7MHkcRSrStBHS4Qbc?authuser=0&hl=en&rclk=1
52.2352732,21.0084945,Stacje transportu publicznego,Świętokrzyska,https://www.google.com/maps/place/%C5%9Awi%C4%99tokrzyska/data=!4m7!3m6!1s0x471ecc8b029555af:0x5e3b4edb54975e7c!8m2!3d52.2352732!4d21.0084945!16zL20vMDV3cXlz!19sChIJr1WVAovMHkcRfF6XVNtOO14?authuser=0&hl=en&rclk=1
52.2442921,21.0010716,Stacje transportu publicznego,ZTM Passenger Service Point,https://www.google.com/maps/place/ZTM+Passenger+Service+Point/data=!4m7!3m6!1s0x471ecc7ca8d4ce3b:0x5efec0c68cd42055!8m2!3d52.2442921!4d21.0010716!16s%2Fg%2F11btm7nh5_!19sChIJO87UqHzMHkcRVSDUjMbA_l4?authuser=0&hl=en&rclk=1
52.2112317,20.8734323,Stacje transportu publicznego,Planowana stacja techniczno-postojowa Mory,https://www.google.com/maps/place/Planowana+stacja+techniczno-postojowa+Mory/data=!4m7!3m6!1s0x471935a596fc1889:0x5b90baf0dfd22eea!8m2!3d52.2112317!4d20.8734323!16s%2Fg%2F11jt8d7kzp!19sChIJiRj8lqU1GUcR6i7S3_C6kFs?authuser=0&hl=en&rclk=1
54.3945967,18.6406729,Stacje transportu publicznego,Gdańsk Zaspa Towarowa railway station,https://www.google.com/maps/place/Gda%C5%84sk+Zaspa+Towarowa+railway+station/data=!4m7!3m6!1s0x46fd74ab8aa01581:0x5d7c2097e63ee6c8!8m2!3d54.3945967!4d18.6406729!16zL20vMDlfczEx!19sChIJgRWgiqt0_UYRyOY-5pcgfF0?authuser=0&hl=en&rclk=1
54.4059888,18.6812395,Stacje transportu publicznego,Deptak Westerplatte,https://www.google.com/maps/place/Deptak+Westerplatte/data=!4m7!3m6!1s0x46fd0cba4e120abb:0x6d0b59869f46f962!8m2!3d54.4059888!4d18.6812395!16s%2Fg%2F11f0wnlhml!19sChIJuwoSTroM_UYRYvlGn4ZZC20?authuser=0&hl=en&rclk=1
52.847368,19.1753684,Stacje transportu publicznego,Powiatowy Zakład Transportu Publicznego Lipno,https://www.google.com/maps/place/Powiatowy+Zak%C5%82ad+Transportu+Publicznego+Lipno/data=!4m7!3m6!1s0x471c95d1e3c1f0b7:0x7dad491d0b547d66!8m2!3d52.847368!4d19.1753684!16s%2Fg%2F11gh0lchnh!19sChIJt_DB49GVHEcRZn1UCx1JrX0?authuser=0&hl=en&rclk=1
53.6740814,17.3618074,Stacje transportu publicznego,Powiatowy Zakład Transportu Publicznego w Człuchowie,https://www.google.com/maps/place/Powiatowy+Zak%C5%82ad+Transportu+Publicznego+w+Cz%C5%82uchowie/data=!4m7!3m6!1s0x47023713c3af23e7:0x1f05f234dfc7a7d4!8m2!3d53.6740814!4d17.3618074!16s%2Fg%2F11bxb9sxkf!19sChIJ5yOvwxM3AkcR1KfH3zTyBR8?authuser=0&hl=en&rclk=1
54.3874432,18.4462403,Stacje transportu publicznego,Gdańsk Rębiechowo railway station,https://www.google.com/maps/place/Gda%C5%84sk+R%C4%99biechowo+railway+station/data=!4m7!3m6!1s0x46fd9fad98aac09f:0x8054a071b74814ee!8m2!3d54.3874432!4d18.4462403!16s%2Fg%2F11b5m497hc!19sChIJn8CqmK2f_UYR7hRIt3GgVIA?authuser=0&hl=en&rclk=1
54.3731669,18.5066096,Stacje transportu publicznego,Przystanek PKM Matarnia,https://www.google.com/maps/place/Przystanek+PKM+Matarnia/data=!4m7!3m6!1s0x46fd758288b458c3:0x96eafdb0d42944e!8m2!3d54.3731669!4d18.5066096!16s%2Fg%2F11c6_vb3n2!19sChIJw1i0iIJ1_UYRTpRCDduvbgk?authuser=0&hl=en&rclk=1
54.353492,18.549599,Stacje transportu publicznego,Przystanek PKM Jasień,https://www.google.com/maps/place/Przystanek+PKM+Jasie%C5%84/data=!4m7!3m6!1s0x46fd744cd69d0a63:0x85a79641708f48d4!8m2!3d54.353492!4d18.549599!16s%2Fg%2F11cs47sy7j!19sChIJYwqd1kx0_UYR1EiPcEGWp4U?authuser=0&hl=en&rclk=1
54.3694214,18.5032486,Stacje transportu publicznego,Sąsiedzka 01,https://www.google.com/maps/place/S%C4%85siedzka+01/data=!4m7!3m6!1s0x46fd7584825168b9:0x63145aa82b911ce5!8m2!3d54.3694214!4d18.5032486!16s%2Fg%2F11fj9c1cfb!19sChIJuWhRgoR1_UYR5RyRK6haFGM?authuser=0&hl=en&rclk=1
54.2995958,18.6151637,Stacje transportu publicznego,Przystanek widmo,https://www.google.com/maps/place/Przystanek+widmo/data=!4m7!3m6!1s0x46fd71a7d00bb31f:0x202343ccedfa9898!8m2!3d54.2995958!4d18.6151637!16s%2Fg%2F11n0c4p0f2!19sChIJH7ML0Kdx_UYRmJj67cxDIyA?authuser=0&hl=en&rclk=1
54.3116165,18.5564571,Stacje transportu publicznego,Marplo | Marcin Plona,https://www.google.com/maps/place/Marplo+%7C+Marcin+Plona/data=!4m7!3m6!1s0x46fd76a297a35977:0xc9a08a0e2c9d1f2c!8m2!3d54.3116165!4d18.5564571!16s%2Fg%2F11cs6lfq9l!19sChIJd1mjl6J2_UYRLB-dLA6KoMk?authuser=0&hl=en&rclk=1
