lat,lon,type,title,link
54.5946796,18.3661078,atrakcje,Aquapark Reda,https://www.google.com/maps/place/Aquapark+Reda/data=!4m7!3m6!1s0x46fda53367a69cc5:0xe0ee584422ad126f!8m2!3d54.5946796!4d18.3661078!16s%2Fg%2F11c4bgxljy!19sChIJxZymZzOl_UYRbxKtIkRY7uA?authuser=0&hl=en&rclk=1
54.4470031,18.5734963,atrakcje,Pier in Sopot,https://www.google.com/maps/place/Pier+in+Sopot/data=!4m7!3m6!1s0x46fd0a8e7324335f:0x37fbde4065ff0f10!8m2!3d54.4470031!4d18.5734963!16s%2Fm%2F0661m5f!19sChIJXzMkc44K_UYREA__ZUDe-zc?authuser=0&hl=en&rclk=1
54.4129559,18.534556,atrakcje,Zoo Gdańsk Oliwa,https://www.google.com/maps/place/Zoo+Gda%C5%84sk+Oliwa/data=!4m7!3m6!1s0x46fd7552cc1b51f1:0xa4b496f770f8f96e!8m2!3d54.4129559!4d18.534556!16s%2Fg%2F122nzg1z!19sChIJ8VEbzFJ1_UYRbvn4cPeWtKQ?authuser=0&hl=en&rclk=1
54.8352811,18.3104116,atrakcje,Plaża w Jastrzębiej Górze,https://www.google.com/maps/place/Pla%C5%BCa+w+Jastrz%C4%99biej+G%C3%B3rze/data=!4m7!3m6!1s0x46fc4ade7067a6a7:0x4f39ba9b72240034!8m2!3d54.8352811!4d18.3104116!16s%2Fg%2F11g7z865ps!19sChIJp6ZncN5K_EYRNAAkcpu6OU8?authuser=0&hl=en&rclk=1
54.4947068,18.538626,atrakcje,Experyment Science Centre,https://www.google.com/maps/place/Experyment+Science+Centre/data=!4m7!3m6!1s0x46fda0c8f6a33105:0x942e03e63885c086!8m2!3d54.4947068!4d18.538626!16s%2Fg%2F11b6b4q2hd!19sChIJBTGj9sig_UYRhsCFOOYDLpQ?authuser=0&hl=en&rclk=1
54.4154277,18.4659235,atrakcje,Toaleta,https://www.google.com/maps/place/Toaleta/data=!4m7!3m6!1s0x46fd9f6cbfc4f991:0x399a1ca055728e7b!8m2!3d54.4154277!4d18.4659235!16s%2Fg%2F11rn5r97vr!19sChIJkfnEv2yf_UYRe45yVaAcmjk?authuser=0&hl=en&rclk=1
54.3473593,18.6632477,atrakcje,DeJa Vu Muzeum,https://www.google.com/maps/place/DeJa+Vu+Muzeum/data=!4m7!3m6!1s0x46fd73e2d7ed1ec7:0xddbb1c0e6f7c45d1!8m2!3d54.3473593!4d18.6632477!16s%2Fg%2F11rbslgrqf!19sChIJxx7t1-Jz_UYR0UV8bw4cu90?authuser=0&hl=en&rclk=1
54.2129467,19.1132471,atrakcje,Zulawski Historic Park,https://www.google.com/maps/place/Zulawski+Historic+Park/data=!4m7!3m6!1s0x46fd4413b66fa0b7:0x9e18b05e72ccce0f!8m2!3d54.2129467!4d19.1132471!16s%2Fg%2F1q67mrv72!19sChIJt6BvthNE_UYRD87Mcl6wGJ4?authuser=0&hl=en&rclk=1
54.5189952,18.5592503,atrakcje,Passenger ships which visited Gdynia,https://www.google.com/maps/place/Passenger+ships+which+visited+Gdynia/data=!4m7!3m6!1s0x46fda77b3bf1501b:0xda1fbe867b149e34!8m2!3d54.5189952!4d18.5592503!16s%2Fg%2F11j0vz1t19!19sChIJG1DxO3un_UYRNJ4Ue4a-H9o?authuser=0&hl=en&rclk=1
54.4519844,18.5606441,atrakcje,Grodzisko w Sopocie - oddział Muzeum Archeologicznego w Gdańsku,https://www.google.com/maps/place/Grodzisko+w+Sopocie+-+oddzia%C5%82+Muzeum+Archeologicznego+w+Gda%C5%84sku/data=!4m7!3m6!1s0x46fd0a869094445d:0x96522732a8ab731e!8m2!3d54.4519844!4d18.5606441!16s%2Fg%2F1tz94flv!19sChIJXUSUkIYK_UYRHnOrqDInUpY?authuser=0&hl=en&rclk=1
