lat,lon,type,title,link
54.4310009,18.4677429,basen,Swimming Pool Osowa,https://www.google.com/maps/place/Swimming+Pool+Osowa/data=!4m7!3m6!1s0x46fda02b923e118b:0xabcf27367cc4c405!8m2!3d54.4310009!4d18.4677429!16s%2Fg%2F11g72g67th!19sChIJixE-kiug_UYRBcTEfDYnz6s?authuser=0&hl=en&rclk=1
54.4723179,18.498226,basen,Indoor swimming pool at the School No. 10,https://www.google.com/maps/place/Indoor+swimming+pool+at+the+School+No.+10/data=!4m7!3m6!1s0x46fda0fe9edbd2db:0x709e7182ac789be4!8m2!3d54.4723179!4d18.498226!16s%2Fg%2F1vmr0242!19sChIJ29Lbnv6g_UYR5Jt4rIJxnnA?authuser=0&hl=en&rclk=1
54.4141703,18.4544691,basen,Instapool,https://www.google.com/maps/place/Instapool/data=!4m7!3m6!1s0x46fd9f536a3b6adf:0xcf120bca12b167c6!8m2!3d54.4141703!4d18.4544691!16s%2Fg%2F11s0w__9wm!19sChIJ32o7alOf_UYRxmexEsoLEs8?authuser=0&hl=en&rclk=1
54.4419779,18.4521623,basen,"Baseny, fontanny","https://www.google.com/maps/place/Baseny,+fontanny/data=!4m7!3m6!1s0x46fda1cf8f13719f:0xe6a6946ee76aeede!8m2!3d54.4419779!4d18.4521623!16s%2Fg%2F1tjv25vm!19sChIJn3ETj8-h_UYR3u5q526UpuY?authuser=0&hl=en&rclk=1"
54.4941585,18.5096636,basen,Kryta Pływalnia,https://www.google.com/maps/place/Kryta+P%C5%82ywalnia/data=!4m7!3m6!1s0x46fda0d8da57171d:0xb345dc9c37ba4aa6!8m2!3d54.4941585!4d18.5096636!16s%2Fg%2F1yfjbylj7!19sChIJHRdX2tig_UYRpkq6N5zcRbM?authuser=0&hl=en&rclk=1
54.4181331,18.561115,basen,Basen AWF,https://www.google.com/maps/place/Basen+AWF/data=!4m7!3m6!1s0x46fd0ac83dcb3ed9:0x295b1c1ec1560e77!8m2!3d54.4181331!4d18.561115!16s%2Fg%2F1tdzvdn0!19sChIJ2T7LPcgK_UYRdw5WwR4cWyk?authuser=0&hl=en&rclk=1
54.4498429,18.5621293,basen,Pływalnia Kryta,https://www.google.com/maps/place/P%C5%82ywalnia+Kryta/data=!4m7!3m6!1s0x46fd0a85ebc3a813:0xa5e49408ed78e8f3!8m2!3d54.4498429!4d18.5621293!16s%2Fg%2F1tdxcznw!19sChIJE6jD64UK_UYR8-h47QiU5KU?authuser=0&hl=en&rclk=1
54.3994941,18.5768086,basen,Aquastacja,https://www.google.com/maps/place/Aquastacja/data=!4m7!3m6!1s0x46fd7528f71e2b95:0x2e4a489f07fa7546!8m2!3d54.3994941!4d18.5768086!16s%2Fg%2F11dxbn92vw!19sChIJlSse9yh1_UYRRnX6B59ISi4?authuser=0&hl=en&rclk=1
54.5156838,18.5251653,basen,Centrum Sportowe u Jezuitów - basen i pływalnia Gdynia,https://www.google.com/maps/place/Centrum+Sportowe+u+Jezuit%C3%B3w+-+basen+i+p%C5%82ywalnia+Gdynia/data=!4m7!3m6!1s0x46fda729a870211f:0xc722ee164a2ad588!8m2!3d54.5156838!4d18.5251653!16s%2Fg%2F1tvq2tmj!19sChIJHyFwqCmn_UYRiNUqShbuIsc?authuser=0&hl=en&rclk=1
54.4722636,18.4973675,basen,ALFA - NAUKA PŁYWANIA - AQUA AEROBIK,https://www.google.com/maps/place/ALFA+-+NAUKA+P%C5%81YWANIA+-+AQUA+AEROBIK/data=!4m7!3m6!1s0x46fda0fea6da5f69:0x5568addd379cf60f!8m2!3d54.4722636!4d18.4973675!16s%2Fg%2F11bwl3trvj!19sChIJaV_apv6g_UYRD_acN92taFU?authuser=0&hl=en&rclk=1
54.430855,18.4681665,basen,Hydrostacja Osowa. Szkoła pływania,https://www.google.com/maps/place/Hydrostacja+Osowa.+Szko%C5%82a+p%C5%82ywania/data=!4m7!3m6!1s0x46fda19ec72e02b3:0x8bf5225241221885!8m2!3d54.430855!4d18.4681665!16s%2Fg%2F11g0dw384p!19sChIJswIux56h_UYRhRgiQVIi9Ys?authuser=0&hl=en&rclk=1
54.422829,18.5971349,basen,Basen i strefa Spa,https://www.google.com/maps/place/Basen+i+strefa+Spa/data=!4m7!3m6!1s0x46fd0b496d5f52c5:0x39b9d6ca1892bb29!8m2!3d54.422829!4d18.5971349!16s%2Fg%2F11j33d8m9j!19sChIJxVJfbUkL_UYRKbuSGMrWuTk?authuser=0&hl=en&rclk=1
54.4188887,18.5734954,basen,Szkoła Pływania Pływak,https://www.google.com/maps/place/Szko%C5%82a+P%C5%82ywania+P%C5%82ywak/data=!4m7!3m6!1s0x46fd0acf715b3c8f:0xc3cad07f4ec75485!8m2!3d54.4188887!4d18.5734954!16s%2Fg%2F1tl1gkxk!19sChIJjzxbcc8K_UYRhVTHTn_QysM?authuser=0&hl=en&rclk=1
54.45995,18.5571747,basen,Aquapark Sopot,https://www.google.com/maps/place/Aquapark+Sopot/data=!4m7!3m6!1s0x46fd0a7faae25b45:0xd21cc82100a96e0a!8m2!3d54.45995!4d18.5571747!16s%2Fg%2F1tg66svh!19sChIJRVviqn8K_UYRCm6pACHIHNI?authuser=0&hl=en&rclk=1
54.4181674,18.5612744,basen,Pływak. Swimming School,https://www.google.com/maps/place/P%C5%82ywak.+Swimming+School/data=!4m7!3m6!1s0x46fd0ac835ce2f91:0x1bdb3063d37925d9!8m2!3d54.4181674!4d18.5612744!16s%2Fg%2F1hc11yt0m!19sChIJkS_ONcgK_UYR2SV502Mw2xs?authuser=0&hl=en&rclk=1
54.3934588,18.5939287,basen,XV Secondary School Basin,https://www.google.com/maps/place/XV+Secondary+School+Basin/data=!4m7!3m6!1s0x46fd74dac7751a93:0x8b22c8a69e0054da!8m2!3d54.3934588!4d18.5939287!16s%2Fg%2F1tf1mh_l!19sChIJkxp1x9p0_UYR2lQAnqbIIos?authuser=0&hl=en&rclk=1
54.4117479,18.593839,basen,Basen,https://www.google.com/maps/place/Basen/data=!4m7!3m6!1s0x46fd0b2a29ba65c7:0xc0073f4796bb26a6!8m2!3d54.4117479!4d18.593839!16s%2Fg%2F1w6r6zk5!19sChIJx2W6KSoL_UYRpia7lkc_B8A?authuser=0&hl=en&rclk=1
54.4448983,18.5705499,basen,Basen solankowy rehabilitacyjny PCR Sopot,https://www.google.com/maps/place/Basen+solankowy+rehabilitacyjny+PCR+Sopot/data=!4m7!3m6!1s0x46fd0a8def47ee41:0xa42b638913c8fd5!8m2!3d54.4448983!4d18.5705499!16s%2Fg%2F11f1vp4t5s!19sChIJQe5H740K_UYR1Y88kTi2Qgo?authuser=0&hl=en&rclk=1
54.424172,18.471421,basen,DELFIN Profesjonalne Baseny,https://www.google.com/maps/place/DELFIN+Profesjonalne+Baseny/data=!4m7!3m6!1s0x46fd9f87bd8a7f11:0xde1a9747bad4b1de!8m2!3d54.424172!4d18.471421!16s%2Fg%2F11b7rndfj0!19sChIJEX-KvYef_UYR3rHUukeXGt4?authuser=0&hl=en&rclk=1
54.4289637,18.5904468,basen,Marina Wellness Center swimming pool,https://www.google.com/maps/place/Marina+Wellness+Center+swimming+pool/data=!4m7!3m6!1s0x46fd0add8ff75053:0x70bf976ec8e4c18a!8m2!3d54.4289637!4d18.5904468!16s%2Fg%2F1tf8rsxz!19sChIJU1D3j90K_UYRisHkyG6Xv3A?authuser=0&hl=en&rclk=1
54.411687,18.59368,basen,Szkoła pływania STRZAŁKA,https://www.google.com/maps/place/Szko%C5%82a+p%C5%82ywania+STRZA%C5%81KA/data=!4m7!3m6!1s0x46fd0badb1a2c94f:0x8e4a7eba71f3ecb1!8m2!3d54.411687!4d18.59368!16s%2Fg%2F11fn4p1v6h!19sChIJT8misa0L_UYRsezzcbp-So4?authuser=0&hl=en&rclk=1
54.4327315,18.5853498,basen,OŚRODEK TERAPII EDUKACJI I AKTYWIZACJI SPORTOWEJ DLA DZIECI w Uzdrowisku Sopot,https://www.google.com/maps/place/O%C5%9ARODEK+TERAPII+EDUKACJI+I+AKTYWIZACJI+SPORTOWEJ+DLA+DZIECI+w+Uzdrowisku+Sopot/data=!4m7!3m6!1s0x46fd0ae8ff5290e5:0xf130e5570a60f1f8!8m2!3d54.4327315!4d18.5853498!16s%2Fg%2F11b7xrwrbz!19sChIJ5ZBS_-gK_UYR-PFgClflMPE?authuser=0&hl=en&rclk=1
54.3523368,18.5119114,basen,Pływalnia Gdańsk Kokoszki,https://www.google.com/maps/place/P%C5%82ywalnia+Gda%C5%84sk+Kokoszki/data=!4m7!3m6!1s0x46fd7595592ac57d:0x4c6ae69d9cec7499!8m2!3d54.3523368!4d18.5119114!16s%2Fg%2F11cnc2cg_3!19sChIJfcUqWZV1_UYRmXTsnJ3makw?authuser=0&hl=en&rclk=1
54.4320795,18.4862043,basen,Castorama,https://www.google.com/maps/place/Castorama/data=!4m7!3m6!1s0x46fda024f78090c5:0xd056d9d2d6d9de85!8m2!3d54.4320795!4d18.4862043!16s%2Fg%2F1tdq4p__!19sChIJxZCA9ySg_UYRhd7Z1tLZVtA?authuser=0&hl=en&rclk=1
