lat,lon,type,title,link
54.4439772,18.4104198,catering,Catering Syty Kociołek - Catering wojskowej kuchni polowej,https://www.google.com/maps/place/Catering+Syty+Kocio%C5%82ek+-+Catering+wojskowej+kuchni+polowej/data=!4m7!3m6!1s0x46fda1fbb613f297:0xc85ae6a7cfff70cb!8m2!3d54.4439772!4d18.4104198!16s%2Fg%2F11fy4g7dy4!19sChIJl_ITtvuh_UYRy3D_z6fmWsg?authuser=0&hl=en&rclk=1
54.431148,18.468559,catering,Pracownia Smaku Catering,https://www.google.com/maps/place/Pracownia+Smaku+Catering/data=!4m7!3m6!1s0x46fd738fb4546519:0xfee4bf9107a11047!8m2!3d54.431148!4d18.468559!16s%2Fg%2F11cmg74rlj!19sChIJGWVUtI9z_UYRRxChB5G_5P4?authuser=0&hl=en&rclk=1
54.4717253,18.3849143,catering,Ananasek Catering,https://www.google.com/maps/place/Ananasek+Catering/data=!4m7!3m6!1s0x46fda3b8c6e811d1:0x779673e8259fa54e!8m2!3d54.4717253!4d18.3849143!16s%2Fg%2F11hxb2h297!19sChIJ0RHoxrij_UYRTqWfJehzlnc?authuser=0&hl=en&rclk=1
54.4662293,18.3680017,catering,Rukola Catering Dietetyczny,https://www.google.com/maps/place/Rukola+Catering+Dietetyczny/data=!4m7!3m6!1s0x46fda1620a609967:0xa08bef4eafe5e083!8m2!3d54.4662293!4d18.3680017!16s%2Fg%2F1q5bm9z45!19sChIJZ5lgCmKh_UYRg-Dlr07vi6A?authuser=0&hl=en&rclk=1
54.3673687,18.4914841,catering,Catering Delivery,https://www.google.com/maps/place/Catering+Delivery/data=!4m7!3m6!1s0x46fd756a2ade1d83:0x2965fd0ed67bc3be!8m2!3d54.3673687!4d18.4914841!16s%2Fg%2F11t9z9mlhl!19sChIJgx3eKmp1_UYRvsN71g79ZSk?authuser=0&hl=en&rclk=1
54.4312473,18.4681507,catering,Kuchnia Stefana,https://www.google.com/maps/place/Kuchnia+Stefana/data=!4m7!3m6!1s0x46fda02b8cd82117:0xd4846ade96013b1!8m2!3d54.4312473!4d18.4681507!16s%2Fg%2F11cmsyffdj!19sChIJFyHYjCug_UYRsRNg6a1GSA0?authuser=0&hl=en&rclk=1
54.3879968,18.5706462,catering,Receptura - Catering i Garmaż,https://www.google.com/maps/place/Receptura+-+Catering+i+Garma%C5%BC/data=!4m7!3m6!1s0x46fd755364c079db:0x328d5c650a78b410!8m2!3d54.3879968!4d18.5706462!16s%2Fg%2F11m_j893ss!19sChIJ23nAZFN1_UYRELR4CmVcjTI?authuser=0&hl=en&rclk=1
54.4041962,18.6292697,catering,Foodstacja catering,https://www.google.com/maps/place/Foodstacja+catering/data=!4m7!3m6!1s0x46fd749eb08bf187:0x89bb32fc1e825157!8m2!3d54.4041962!4d18.6292697!16s%2Fg%2F11bxd7rgg4!19sChIJh_GLsJ50_UYRV1GCHvwyu4k?authuser=0&hl=en&rclk=1
54.4690785,18.4860868,catering,Life Style Catering,https://www.google.com/maps/place/Life+Style+Catering/data=!4m7!3m6!1s0x46fda1fd42c72957:0xbef1eacd1c531dbe!8m2!3d54.4690785!4d18.4860868!16s%2Fg%2F11rhdc4rlc!19sChIJVynHQv2h_UYRvh1THM3q8b4?authuser=0&hl=en&rclk=1
54.3395372,18.556539,catering,Gustus Catering Gdańsk,https://www.google.com/maps/place/Gustus+Catering+Gda%C5%84sk/data=!4m7!3m6!1s0x46fd74375e715a25:0xd9682ca7096dd5c1!8m2!3d54.3395372!4d18.556539!16s%2Fg%2F11bwnd1qh3!19sChIJJVpxXjd0_UYRwdVtCacsaNk?authuser=0&hl=en&rclk=1
