lat,lon,type,title,link
54.4422832,18.4207735,cmentarz,Cmentarz Chwaszczyno,https://www.google.com/maps/place/Cmentarz+Chwaszczyno/data=!4m7!3m6!1s0x46fda149063430a9:0x40e09af4f0a47d85!8m2!3d54.4422832!4d18.4207735!16s%2Fg%2F11fph1m8jj!19sChIJqTA0Bkmh_UYRhX2k8PSa4EA?authuser=0&hl=en&rclk=1
54.4703696,18.4344685,cmentarz,Stary cmentarz ewangelicki,https://www.google.com/maps/place/Stary+cmentarz+ewangelicki/data=!4m7!3m6!1s0x46fda184bab242c9:0xf0471f92f2c26c9e!8m2!3d54.4703696!4d18.4344685!16s%2Fg%2F1jkygyqkk!19sChIJyUKyuoSh_UYRnmzC8pIfR_A?authuser=0&hl=en&rclk=1
54.446166,18.3879333,cmentarz,Cmentarz Ewangelicki Karczemki / Friedenau,https://www.google.com/maps/place/Cmentarz+Ewangelicki+Karczemki+%2F+Friedenau/data=!4m7!3m6!1s0x46fda2044c822bcf:0x5714a1d0e04514d4!8m2!3d54.446166!4d18.3879333!16s%2Fg%2F1wv_qxy1!19sChIJzyuCTASi_UYR1BRF4NChFFc?authuser=0&hl=en&rclk=1
54.4723096,18.3763464,cmentarz,Cmentarz,https://www.google.com/maps/place/Cmentarz/data=!4m7!3m6!1s0x46fda30bb7214af3:0x2a573e3f7540aa2b!8m2!3d54.4723096!4d18.3763464!16s%2Fg%2F11rgg5151f!19sChIJ80ohtwuj_UYRK6pAdT8-Vyo?authuser=0&hl=en&rclk=1
54.4729382,18.5219856,cmentarz,Cmentarz komunalny,https://www.google.com/maps/place/Cmentarz+komunalny/data=!4m7!3m6!1s0x46fda0f1de797173:0xbd0a5b3541a621b8!8m2!3d54.4729382!4d18.5219856!16s%2Fg%2F1tf396_2!19sChIJc3F53vGg_UYRuCGmQTVbCr0?authuser=0&hl=en&rclk=1
54.4697896,18.5027589,cmentarz,Cmentarz Wojskowy Na Karwinach,https://www.google.com/maps/place/Cmentarz+Wojskowy+Na+Karwinach/data=!4m7!3m6!1s0x46fda13571b571d3:0x7bdc4037f6d3cd7e!8m2!3d54.4697896!4d18.5027589!16s%2Fg%2F11gslt53sp!19sChIJ03G1cTWh_UYRfs3T9jdA3Hs?authuser=0&hl=en&rclk=1
54.4924978,18.3782594,cmentarz,Cmentarz Wojenny Żołnierzy Radzieckich / Bojano,https://www.google.com/maps/place/Cmentarz+Wojenny+%C5%BBo%C5%82nierzy+Radzieckich+%2F+Bojano/data=!4m7!3m6!1s0x46fda3ae1681ddef:0x85b0b757c988dff7!8m2!3d54.4924978!4d18.3782594!16s%2Fg%2F11dynm49fc!19sChIJ792BFq6j_UYR99-IyVe3sIU?authuser=0&hl=en&rclk=1
54.4512513,18.5486777,cmentarz,Cmentarz Komunalny,https://www.google.com/maps/place/Cmentarz+Komunalny/data=!4m7!3m6!1s0x46fd0a824fc5f2ff:0x1251a25754066a3d!8m2!3d54.4512513!4d18.5486777!16s%2Fg%2F1tdshgrf!19sChIJ__LFT4IK_UYRPWoGVFeiURI?authuser=0&hl=en&rclk=1
54.413522,18.5587401,cmentarz,Oliwa Cemetery,https://www.google.com/maps/place/Oliwa+Cemetery/data=!4m7!3m6!1s0x46fd0acaf2184d1f:0xe0a8ab67a9b8eecd!8m2!3d54.413522!4d18.5587401!16s%2Fg%2F121n4bm0!19sChIJH00Y8soK_UYRze64qWerqOA?authuser=0&hl=en&rclk=1
54.4508131,18.5486367,cmentarz,Cmentarz Parafii pw. Najświętszego Serca Pana Jezusa,https://www.google.com/maps/place/Cmentarz+Parafii+pw.+Naj%C5%9Bwi%C4%99tszego+Serca+Pana+Jezusa/data=!4m7!3m6!1s0x46fda0789d2cf1c7:0x5b0521d64b33b917!8m2!3d54.4508131!4d18.5486367!16s%2Fg%2F122dyhdx!19sChIJx_EsnXig_UYRF7kzS9YhBVs?authuser=0&hl=en&rclk=1
54.5100181,18.5157222,cmentarz,Cmentarz Witomiński,https://www.google.com/maps/place/Cmentarz+Witomi%C5%84ski/data=!4m7!3m6!1s0x46fda12aceb91631:0xc836c55e15728cfb!8m2!3d54.5100181!4d18.5157222!16s%2Fg%2F1221bq15!19sChIJMRa5ziqh_UYR-4xyFV7FNsg?authuser=0&hl=en&rclk=1
