lat,lon,type,title,link
54.4849821,18.4271619,coffee,Słodka Strefa,https://www.google.com/maps/place/S%C5%82odka+Strefa/data=!4m7!3m6!1s0x46fda3c6de4604d3:0xb57921012944c37c!8m2!3d54.4849821!4d18.4271619!16s%2Fg%2F11lm4y55lt!19sChIJ0wRG3saj_UYRfMNEKQEhebU?authuser=0&hl=en&rclk=1
54.4713859,18.4906237,coffee,Costa Express,https://www.google.com/maps/place/Costa+Express/data=!4m7!3m6!1s0x46fda0fe2f68ccd5:0xc865e65f8c922ed7!8m2!3d54.4713859!4d18.4906237!16s%2Fg%2F11cjkv7xkt!19sChIJ1cxoL_6g_UYR1y6SjF_mZcg?authuser=0&hl=en&rclk=1
54.51562,18.5411879,coffee,KAWIARNIA HAPPY PEOPLE,https://www.google.com/maps/place/KAWIARNIA+HAPPY+PEOPLE/data=!4m7!3m6!1s0x46fda7921c84875f:0xe7745113585c60b0!8m2!3d54.51562!4d18.5411879!16s%2Fg%2F11gxmvzp9s!19sChIJX4eEHJKn_UYRsGBcWBNRdOc?authuser=0&hl=en&rclk=1
54.5175991,18.5415138,coffee,Starbucks,https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x46fda73ab139b47d:0xf97b4fd2be74cdbc!8m2!3d54.5175991!4d18.5415138!16s%2Fg%2F11g_4kpkp!19sChIJfbQ5sTqn_UYRvM10vtJPe_k?authuser=0&hl=en&rclk=1
54.5118336,18.5393899,coffee,Coffee_Toffee,https://www.google.com/maps/place/Coffee_Toffee/data=!4m7!3m6!1s0x46fda7491bf2c5bf:0xc0fb8e767d805c58!8m2!3d54.5118336!4d18.5393899!16s%2Fg%2F11j_1ffd11!19sChIJv8XyG0mn_UYRWFyAfXaO-8A?authuser=0&hl=en&rclk=1
54.5047526,18.5320686,coffee,COSTA COFFEE,https://www.google.com/maps/place/COSTA+COFFEE/data=!4m7!3m6!1s0x46fda0cd946d886d:0xb1826bf4ddf3f92e!8m2!3d54.5047526!4d18.5320686!16s%2Fg%2F11b6xch4kj!19sChIJbYhtlM2g_UYRLvnz3fRrgrE?authuser=0&hl=en&rclk=1
54.4750557,18.5523765,coffee,Nice Ice. Kawiarnia,https://www.google.com/maps/place/Nice+Ice.+Kawiarnia/data=!4m7!3m6!1s0x46fda09bd8538327:0xf11245ac30c25fdd!8m2!3d54.4750557!4d18.5523765!16s%2Fg%2F1v3_1cby!19sChIJJ4NT2Jug_UYR3V_CMKxFEvE?authuser=0&hl=en&rclk=1
54.4925884,18.539503,coffee,Park Cafe,https://www.google.com/maps/place/Park+Cafe/data=!4m7!3m6!1s0x46fda1218177c27b:0xbd674126329dfb84!8m2!3d54.4925884!4d18.539503!16s%2Fg%2F11clvty2r4!19sChIJe8J3gSGh_UYRhPudMiZBZ70?authuser=0&hl=en&rclk=1
54.494402,18.5414461,coffee,Coffee shop | Bogactwokaw.pl,https://www.google.com/maps/place/Coffee+shop+%7C+Bogactwokaw.pl/data=!4m7!3m6!1s0x46fda0c9cadf38c1:0xf463c91e7fb9c966!8m2!3d54.494402!4d18.5414461!16s%2Fg%2F11bwpn6qw3!19sChIJwTjfysmg_UYRZsm5fx7JY_Q?authuser=0&hl=en&rclk=1
54.4895251,18.5529264,coffee,Inmedio Cafe,https://www.google.com/maps/place/Inmedio+Cafe/data=!4m7!3m6!1s0x46fda0bafc1cec87:0x886656bbd018ae69!8m2!3d54.4895251!4d18.5529264!16s%2Fg%2F11fz9ywv_3!19sChIJh-wc_Lqg_UYRaa4Y0LtWZog?authuser=0&hl=en&rclk=1
