lat,lon,type,title,link
54.4692271,18.5212396,culture,Culture Think,https://www.google.com/maps/place/Culture+Think/data=!4m7!3m6!1s0x4fc4da32a1054c65:0xefdf71beed770f77!8m2!3d54.4692271!4d18.5212396!16s%2Fg%2F11rz2s1l2h!19sChIJZUwFoTLaxE8Rdw937b5x3-8?authuser=0&hl=en&rclk=1
54.4088618,18.559231,culture,Oliwa Hall of Culture,https://www.google.com/maps/place/Oliwa+Hall+of+Culture/data=!4m7!3m6!1s0x46fd7534f51526e3:0x331cfd6555250a82!8m2!3d54.4088618!4d18.559231!16s%2Fg%2F11b7lfll75!19sChIJ4yYV9TR1_UYRggolVWX9HDM?authuser=0&hl=en&rclk=1
54.440494,18.4665121,culture,Złoty Wykop,https://www.google.com/maps/place/Z%C5%82oty+Wykop/data=!4m7!3m6!1s0x46fda18e24db36e7:0x1e7fdf427096dd3a!8m2!3d54.440494!4d18.4665121!16s%2Fg%2F11jq4vkqql!19sChIJ5zbbJI6h_UYROt2WcELffx4?authuser=0&hl=en&rclk=1
54.4403544,18.5607038,culture,Youth Culture,https://www.google.com/maps/place/Youth+Culture/data=!4m7!3m6!1s0x46fd0a90d04a3e6b:0x5090b3fb31f03cc6!8m2!3d54.4403544!4d18.5607038!16s%2Fg%2F1tk8m8rx!19sChIJaz5K0JAK_UYRxjzwMfuzkFA?authuser=0&hl=en&rclk=1
54.448885,18.4964471,culture,Józefowo,https://www.google.com/maps/place/J%C3%B3zefowo/data=!4m7!3m6!1s0x46fda1df82625c1f:0xa5d82bb3699a2f33!8m2!3d54.448885!4d18.4964471!16s%2Fg%2F11hhcjbnf6!19sChIJH1xigt-h_UYRMy-aabMr2KU?authuser=0&hl=en&rclk=1
54.4377963,18.489778,culture,Ceglanka,https://www.google.com/maps/place/Ceglanka/data=!4m7!3m6!1s0x46fda139fd639f43:0x1f835aafb4bfe828!8m2!3d54.4377963!4d18.489778!16s%2Fg%2F11k75j5ghx!19sChIJQ59j_Tmh_UYRKOi_tK9agx8?authuser=0&hl=en&rclk=1
52.231838,21.005995,culture,Palace of Culture and Science,https://www.google.com/maps/place/Palace+of+Culture+and+Science/data=!4m7!3m6!1s0x471ecc8c92692e49:0xc2e97ae5311f2dc2!8m2!3d52.231838!4d21.005995!16zL20vMDg2Mm0!19sChIJSS5pkozMHkcRwi0fMeV66cI?authuser=0&hl=en&rclk=1
54.4611535,18.540997,culture,Korkoro - Ziemia,https://www.google.com/maps/place/Korkoro+-+Ziemia/data=!4m7!3m6!1s0x46fda13ad5e67727:0x39cb024b0e723c77!8m2!3d54.4611535!4d18.540997!16s%2Fg%2F11rs9xs3nf!19sChIJJ3fm1Tqh_UYRdzxyDksCyzk?authuser=0&hl=en&rclk=1
54.4416674,18.5457424,culture,Ławka Pana Cogito,https://www.google.com/maps/place/%C5%81awka+Pana+Cogito/data=!4m7!3m6!1s0x46fd0be842cbd60d:0x38468fabdffc75e2!8m2!3d54.4416674!4d18.5457424!16s%2Fg%2F11fj_p47lb!19sChIJDdbLQugL_UYR4nX836uPRjg?authuser=0&hl=en&rclk=1
54.4418449,18.5407027,culture,gniazdo dzięcioła dużego,https://www.google.com/maps/place/gniazdo+dzi%C4%99cio%C5%82a+du%C5%BCego/data=!4m7!3m6!1s0x46fd0bbbc51dfe89:0xd22d77e5016cad47!8m2!3d54.4418449!4d18.5407027!16s%2Fg%2F11ghqcgvxb!19sChIJif4dxbsL_UYRR61sAeV3LdI?authuser=0&hl=en&rclk=1
