lat,lon,type,title,link
54.435069,18.4673868,fastfood,Burgery Osowa,https://www.google.com/maps/place/Burgery+Osowa/data=!4m7!3m6!1s0x46fda02d1c9d0001:0x32e6cb4e718d100f!8m2!3d54.435069!4d18.4673868!16s%2Fg%2F11fmxzlx70!19sChIJAQCdHC2g_UYRDxCNcU7L5jI?authuser=0&hl=en&rclk=1
54.4438616,18.5663787,fastfood,Nazar Fast Food,https://www.google.com/maps/place/Nazar+Fast+Food/data=!4m7!3m6!1s0x46fd0b7b21daa85b:0xd57257678df7675e!8m2!3d54.4438616!4d18.5663787!16s%2Fg%2F11hfp3sr05!19sChIJW6jaIXsL_UYRXmf3jWdXctU?authuser=0&hl=en&rclk=1
54.4324412,18.4797372,fastfood,Bafra Kebab,https://www.google.com/maps/place/Bafra+Kebab/data=!4m7!3m6!1s0x46fda139e24aaf69:0x8f4c6b31d28acd5c!8m2!3d54.4324412!4d18.4797372!16s%2Fg%2F11t58t08jv!19sChIJaa9K4jmh_UYRXM2K0jFrTI8?authuser=0&hl=en&rclk=1
54.4226379,18.4725559,fastfood,"BurgerOs- burgery, quesadilla, burrito","https://www.google.com/maps/place/BurgerOs-+burgery,+quesadilla,+burrito/data=!4m7!3m6!1s0x46fd9fa5b497baeb:0x2fd9152fd9d27be7!8m2!3d54.4226379!4d18.4725559!16s%2Fg%2F11nxxr66b_!19sChIJ67qXtKWf_UYR53vS2S8V2S8?authuser=0&hl=en&rclk=1"
54.4275564,18.4896015,fastfood,MAX Premium Burgers,https://www.google.com/maps/place/MAX+Premium+Burgers/data=!4m7!3m6!1s0x46fda1b11eeea4ff:0xda62db5ee1abf4d0!8m2!3d54.4275564!4d18.4896015!16s%2Fg%2F11pcpt63pb!19sChIJ_6TuHrGh_UYR0PSr4V7bYto?authuser=0&hl=en&rclk=1
54.4323495,18.4889486,fastfood,Subway,https://www.google.com/maps/place/Subway/data=!4m7!3m6!1s0x46fda1ed3688914b:0x1542fb92ef63590c!8m2!3d54.4323495!4d18.4889486!16s%2Fg%2F11flgkl2ph!19sChIJS5GINu2h_UYRDFlj75L7QhU?authuser=0&hl=en&rclk=1
54.4729829,18.5126089,fastfood,Subway,https://www.google.com/maps/place/Subway/data=!4m7!3m6!1s0x46fda189ed81af4b:0x8656fadf37e549e3!8m2!3d54.4729829!4d18.5126089!16s%2Fg%2F11fwtndn78!19sChIJS6-B7Ymh_UYR40nlN9_6VoY?authuser=0&hl=en&rclk=1
54.3521107,18.646992,fastfood,"Soprano's. Pizzeria, fast - food","https://www.google.com/maps/place/Soprano's.+Pizzeria,+fast+-+food/data=!4m7!3m6!1s0x46fd739e0315b2c7:0x16ec1be4dc6afc7!8m2!3d54.3521107!4d18.646992!16s%2Fg%2F1tg5y9__!19sChIJx7IVA55z_UYRx6_GTb7BbgE?authuser=0&hl=en&rclk=1"
54.4409484,18.4160511,fastfood,Pizzeria Mirena.,https://www.google.com/maps/place/Pizzeria+Mirena./data=!4m7!3m6!1s0x46fda1e4b09e1f2b:0xe360c94fd2f98a49!8m2!3d54.4409484!4d18.4160511!16s%2Fg%2F11c5_rsbjs!19sChIJKx-esOSh_UYRSYr50k_JYOM?authuser=0&hl=en&rclk=1
54.4865044,18.5453677,fastfood,Burger King,https://www.google.com/maps/place/Burger+King/data=!4m7!3m6!1s0x46fda0bc1f7fc407:0x3bd63c6c966113dd!8m2!3d54.4865044!4d18.5453677!16s%2Fg%2F11gfgvpcw4!19sChIJB8R_H7yg_UYR3RNhlmw81js?authuser=0&hl=en&rclk=1
