lat,lon,type,title,link
54.4307199,18.4696203,fotograf,Fotograf Osowa - studio & usługi,https://www.google.com/maps/place/Fotograf+Osowa+-+studio+%26+us%C5%82ugi/data=!4m7!3m6!1s0x46fda02bee30567d:0xf3e3c98a96afd877!8m2!3d54.4307199!4d18.4696203!16s%2Fg%2F11g8bwtkxp!19sChIJfVYw7iug_UYRd9ivlorJ4_M?authuser=0&hl=en&rclk=1
54.472306,18.4611366,fotograf,Fotograf. Usługi fotograficzne. Szroeder K.,https://www.google.com/maps/place/Fotograf.+Us%C5%82ugi+fotograficzne.+Szroeder+K./data=!4m7!3m6!1s0x46fda101d07a7ac9:0xb6e0abd41748a08b!8m2!3d54.472306!4d18.4611366!16s%2Fg%2F1tfw1qzg!19sChIJyXp60AGh_UYRi6BIF9Sr4LY?authuser=0&hl=en&rclk=1
54.4289355,18.4838524,fotograf,Artur Wojtczak Fotografia,https://www.google.com/maps/place/Artur+Wojtczak+Fotografia/data=!4m7!3m6!1s0x46fda132cc8664b3:0x17a15c03c77b2094!8m2!3d54.4289355!4d18.4838524!16s%2Fg%2F11g_ywsn0y!19sChIJs2SGzDKh_UYRlCB7xwNcoRc?authuser=0&hl=en&rclk=1
54.4030617,18.4004606,fotograf,Fotograf Rafał Kowalski,https://www.google.com/maps/place/Fotograf+Rafa%C5%82+Kowalski/data=!4m7!3m6!1s0x46fd72e6e877e051:0x43f222edf2978c13!8m2!3d54.4030617!4d18.4004606!16s%2Fg%2F11bcf1nfd7!19sChIJUeB36OZy_UYRE4yX8u0i8kM?authuser=0&hl=en&rclk=1
54.4306559,18.4698834,fotograf,KiKAphotography Karolina Bączek,https://www.google.com/maps/place/KiKAphotography+Karolina+B%C4%85czek/data=!4m7!3m6!1s0x46fd9f85d20d4147:0x3c69d02a73b9a953!8m2!3d54.4306559!4d18.4698834!16s%2Fg%2F11c0xcxg60!19sChIJR0EN0oWf_UYRU6m5cyrQaTw?authuser=0&hl=en&rclk=1
54.4197967,18.4600373,fotograf,Fotograf Maciej Kurczalski - 3MFOTO & LoveStories,https://www.google.com/maps/place/Fotograf+Maciej+Kurczalski+-+3MFOTO+%26+LoveStories/data=!4m7!3m6!1s0x46fd9f1afadbc53d:0x34a8804f77d3cb60!8m2!3d54.4197967!4d18.4600373!16s%2Fg%2F11h6cs77sf!19sChIJPcXb-hqf_UYRYMvTd0-AqDQ?authuser=0&hl=en&rclk=1
54.4702169,18.4649892,fotograf,Art Foto Katarzyna Margol,https://www.google.com/maps/place/Art+Foto+Katarzyna+Margol/data=!4m7!3m6!1s0x46fda1fb470edb99:0xebcb773dc2250f8a!8m2!3d54.4702169!4d18.4649892!16s%2Fg%2F11pcrr48gr!19sChIJmdsOR_uh_UYRig8lwj13y-s?authuser=0&hl=en&rclk=1
54.1636904,18.1734727,fotograf,Olha Fotografia,https://www.google.com/maps/place/Olha+Fotografia/data=!4m7!3m6!1s0x46fda109695f2ff5:0xfb82e52514638d18!8m2!3d54.1636904!4d18.1734727!16s%2Fg%2F11lh5r0psb!19sChIJ9S9faQmh_UYRGI1jFCXlgvs?authuser=0&hl=en&rclk=1
54.4253688,18.4606286,fotograf,Manamana Photography,https://www.google.com/maps/place/Manamana+Photography/data=!4m7!3m6!1s0x46fd9f8044d95555:0x83c0b5a7579639f3!8m2!3d54.4253688!4d18.4606286!16s%2Fg%2F11h0vq70kh!19sChIJVVXZRICf_UYR8zmWV6e1wIM?authuser=0&hl=en&rclk=1
54.5027786,18.4527164,fotograf,Photo Mirus 1948,https://www.google.com/maps/place/Photo+Mirus+1948/data=!4m7!3m6!1s0x46fda15b8e8cbdc3:0x542f0daf85475d68!8m2!3d54.5027786!4d18.4527164!16s%2Fg%2F1wbrwgpz!19sChIJw72Mjluh_UYRaF1Hha8NL1Q?authuser=0&hl=en&rclk=1
