lat,lon,type,title,link
54.4436329,18.4210589,fryzjer,Fryzjerstwo damsko - męskie,https://www.google.com/maps/place/Fryzjerstwo+damsko+-+m%C4%99skie/data=!4m7!3m6!1s0x46fda1e4e08a14eb:0xe2a957058ec0f46f!8m2!3d54.4436329!4d18.4210589!16s%2Fg%2F1vm_wl60!19sChIJ6xSK4OSh_UYRb_TAjgVXqeI?authuser=0&hl=en&rclk=1
54.4440636,18.4193197,fryzjer,Trendy Aniołek,https://www.google.com/maps/place/Trendy+Anio%C5%82ek/data=!4m7!3m6!1s0x46fda1d7ba09fd73:0xa390141b15f0efda!8m2!3d54.4440636!4d18.4193197!16s%2Fg%2F11h3lf2gtd!19sChIJc_0Juteh_UYR2u_wFRsUkKM?authuser=0&hl=en&rclk=1
54.442363,18.4179555,fryzjer,Studio Fryzur Testa,https://www.google.com/maps/place/Studio+Fryzur+Testa/data=!4m7!3m6!1s0x46fda1e5208c224d:0x75ca81cf051be300!8m2!3d54.442363!4d18.4179555!16s%2Fg%2F11j4t6lbhn!19sChIJTSKMIOWh_UYRAOMbBc-BynU?authuser=0&hl=en&rclk=1
54.4405278,18.4140626,fryzjer,Euforia,https://www.google.com/maps/place/Euforia/data=!4m7!3m6!1s0x46fda1671403300b:0x332536d205ade749!8m2!3d54.4405278!4d18.4140626!16s%2Fg%2F11f5_6bqvt!19sChIJCzADFGeh_UYRSeetBdI2JTM?authuser=0&hl=en&rclk=1
54.441509,18.4531699,fryzjer,Macias. Salon fryzjerski. Schlahs M.,https://www.google.com/maps/place/Macias.+Salon+fryzjerski.+Schlahs+M./data=!4m7!3m6!1s0x46fda1cf95b8375d:0xd023b99704416cf!8m2!3d54.441509!4d18.4531699!16s%2Fg%2F1th482gk!19sChIJXTe4lc-h_UYRzxZEcJk7Ag0?authuser=0&hl=en&rclk=1
54.4615173,18.4502774,fryzjer,GOLIBRODA fryzjer męski,https://www.google.com/maps/place/GOLIBRODA+fryzjer+m%C4%99ski/data=!4m7!3m6!1s0x46fda1dd5dc59791:0x807e06fe075b9d84!8m2!3d54.4615173!4d18.4502774!16s%2Fg%2F11h9w7dkj3!19sChIJkZfFXd2h_UYRhJ1bB_4GfoA?authuser=0&hl=en&rclk=1
54.430937,18.4689236,fryzjer,Studio nr 5. Fryzjerstwo,https://www.google.com/maps/place/Studio+nr+5.+Fryzjerstwo/data=!4m7!3m6!1s0x46fda02bee30567d:0xa105a9873ee02835!8m2!3d54.430937!4d18.4689236!16s%2Fg%2F1tdgt2fn!19sChIJfVYw7iug_UYRNSjgPoepBaE?authuser=0&hl=en&rclk=1
54.4678633,18.4641957,fryzjer,STUDIO FRYZUR I PAZNOKCI hair stylist,https://www.google.com/maps/place/STUDIO+FRYZUR+I+PAZNOKCI+hair+stylist/data=!4m7!3m6!1s0x46fda1d8adc47b8b:0x1d731d72fb720707!8m2!3d54.4678633!4d18.4641957!16s%2Fg%2F11h5s4g2p2!19sChIJi3vErdih_UYRBwdy-3Idcx0?authuser=0&hl=en&rclk=1
54.4295319,18.4765815,fryzjer,Kasia. Salon fryzjerski L'Oreal Expert,https://www.google.com/maps/place/Kasia.+Salon+fryzjerski+L'Oreal+Expert/data=!4m7!3m6!1s0x46fda028ba32944b:0xd9f2f75eddcf8c1d!8m2!3d54.4295319!4d18.4765815!16s%2Fg%2F1wc46p5h!19sChIJS5Qyuiig_UYRHYzP3V738tk?authuser=0&hl=en&rclk=1
54.4676214,18.4863858,fryzjer,Hairstyling Studio HB,https://www.google.com/maps/place/Hairstyling+Studio+HB/data=!4m7!3m6!1s0x46fda1aab2ee74b3:0x780f9587f9e746a8!8m2!3d54.4676214!4d18.4863858!16s%2Fg%2F11cjk2pwpq!19sChIJs3Tusqqh_UYRqEbn-YeVD3g?authuser=0&hl=en&rclk=1
54.4678447,18.4844991,fryzjer,Salon Fryzjerski O'la Fikakowo,https://www.google.com/maps/place/Salon+Fryzjerski+O'la+Fikakowo/data=!4m7!3m6!1s0x46fda1aa9144ad07:0x4b0dacfa8aa90028!8m2!3d54.4678447!4d18.4844991!16s%2Fg%2F11h53wlc9h!19sChIJB61Ekaqh_UYRKACpivqsDUs?authuser=0&hl=en&rclk=1
54.4685889,18.4847686,fryzjer,Monika. Salon fryzjerski,https://www.google.com/maps/place/Monika.+Salon+fryzjerski/data=!4m7!3m6!1s0x46fda102261bf2e3:0x1762a31cb382fcfd!8m2!3d54.4685889!4d18.4847686!16s%2Fg%2F1tgpwx0q!19sChIJ4_IbJgKh_UYR_fyCsxyjYhc?authuser=0&hl=en&rclk=1
54.4686768,18.5076248,fryzjer,Elite Klub Fryzjerski,https://www.google.com/maps/place/Elite+Klub+Fryzjerski/data=!4m7!3m6!1s0x46fda0f77214940f:0x975c1e5717cd36ae!8m2!3d54.4686768!4d18.5076248!16s%2Fg%2F11dyly93rp!19sChIJD5QUcveg_UYRrjbNF1ceXJc?authuser=0&hl=en&rclk=1
54.4704999,18.5068302,fryzjer,Hair Salon OLIWIA,https://www.google.com/maps/place/Hair+Salon+OLIWIA/data=!4m7!3m6!1s0x46fda0f9e2cc04db:0xd05e7c4e10228d33!8m2!3d54.4704999!4d18.5068302!16s%2Fg%2F1q62l7dw4!19sChIJ2wTM4vmg_UYRM40iEE58XtA?authuser=0&hl=en&rclk=1
54.4684102,18.4637539,fryzjer,"Salon fryzjerski damsko -męski ""Marek""",https://www.google.com/maps/place/Salon+fryzjerski+damsko+-m%C4%99ski+%22Marek%22/data=!4m7!3m6!1s0x46fda1a657b23939:0xe06d255f3675ab09!8m2!3d54.4684102!4d18.4637539!16s%2Fg%2F1tf5jb7v!19sChIJOTmyV6ah_UYRCat1Nl8lbeA?authuser=0&hl=en&rclk=1
54.4418915,18.5641817,fryzjer,Beautiful Body Center and Hairstyling,https://www.google.com/maps/place/Beautiful+Body+Center+and+Hairstyling/data=!4m7!3m6!1s0x46fd0a9109089971:0xf9a7766692b9c736!8m2!3d54.4418915!4d18.5641817!16s%2Fg%2F1w15y3s3!19sChIJcZkICZEK_UYRNse5kmZ2p_k?authuser=0&hl=en&rclk=1
54.4547483,18.554034,fryzjer,"Dzinrok Bożena,Wiszman Krystyna. Salon fryzjerski damsko - męski s.c.","https://www.google.com/maps/place/Dzinrok+Bo%C5%BCena,Wiszman+Krystyna.+Salon+fryzjerski+damsko+-+m%C4%99ski+s.c./data=!4m7!3m6!1s0x46fd0a8100ba36d9:0x201447c530aa2ae3!8m2!3d54.4547483!4d18.554034!16s%2Fg%2F1tdxp427!19sChIJ2Ta6AIEK_UYR4yqqMMVHFCA?authuser=0&hl=en&rclk=1"
54.443705,18.5597709,fryzjer,"En Face salon fryzjersko-kosmetyczny, Barber","https://www.google.com/maps/place/En+Face+salon+fryzjersko-kosmetyczny,+Barber/data=!4m7!3m6!1s0x46fd0a90765180f5:0x1a97c0f7c647b210!8m2!3d54.443705!4d18.5597709!16s%2Fg%2F1tj3jrww!19sChIJ9YBRdpAK_UYRELJHxvfAlxo?authuser=0&hl=en&rclk=1"
54.4417783,18.5632848,fryzjer,Oliwier. Zakład fryzjerski,https://www.google.com/maps/place/Oliwier.+Zak%C5%82ad+fryzjerski/data=!4m7!3m6!1s0x46fd0a9104140963:0xf5ba92acccebd8ac!8m2!3d54.4417783!4d18.5632848!16s%2Fg%2F1tfrl0hp!19sChIJYwkUBJEK_UYRrNjrzKySuvU?authuser=0&hl=en&rclk=1
54.4553867,18.5529256,fryzjer,Salonik Fryzur,https://www.google.com/maps/place/Salonik+Fryzur/data=!4m7!3m6!1s0x46fd0bf02f498721:0x67ba0cd7d15857ed!8m2!3d54.4553867!4d18.5529256!16s%2Fg%2F11qpq8wxk0!19sChIJIYdJL_AL_UYR7VdY0dcMumc?authuser=0&hl=en&rclk=1
54.441311,18.563978,fryzjer,Salon fryzjerski G P Kabat,https://www.google.com/maps/place/Salon+fryzjerski+G+P+Kabat/data=!4m7!3m6!1s0x46fd0bf8e02decd1:0x4b27b6c1ed55656c!8m2!3d54.441311!4d18.563978!16s%2Fg%2F11f6tmzw13!19sChIJ0ewt4PgL_UYRbGVV7cG2J0s?authuser=0&hl=en&rclk=1
54.443376,18.562758,fryzjer,Remedy Hair Salon / Hairdresser,https://www.google.com/maps/place/Remedy+Hair+Salon+%2F+Hairdresser/data=!4m7!3m6!1s0x46fd0a9048b68e7d:0xf7bcfc183054fbb6!8m2!3d54.443376!4d18.562758!16s%2Fg%2F11b6pnwk4s!19sChIJfY62SJAK_UYRtvtUMBj8vPc?authuser=0&hl=en&rclk=1
54.4369463,18.5605511,fryzjer,Pasja Salon Fryzur,https://www.google.com/maps/place/Pasja+Salon+Fryzur/data=!4m7!3m6!1s0x46fd0a801abe7681:0xa54496cccdd77cdf!8m2!3d54.4369463!4d18.5605511!16s%2Fg%2F11h6g1j0mk!19sChIJgXa-GoAK_UYR33zXzcyWRKU?authuser=0&hl=en&rclk=1
54.4451735,18.5667253,fryzjer,Salon Victoria Sopot,https://www.google.com/maps/place/Salon+Victoria+Sopot/data=!4m7!3m6!1s0x46fd0a90c3c6fef5:0xbeb36bf9f3639efd!8m2!3d54.4451735!4d18.5667253!16s%2Fg%2F11cjkpp0ps!19sChIJ9f7Gw5AK_UYR_Z5j8_lrs74?authuser=0&hl=en&rclk=1
54.4458287,18.5685664,fryzjer,HairBar Salon,https://www.google.com/maps/place/HairBar+Salon/data=!4m7!3m6!1s0x46fd0a8e6feb54d5:0xf17bcd8ff32999ab!8m2!3d54.4458287!4d18.5685664!16s%2Fg%2F11by_lmpz8!19sChIJ1VTrb44K_UYRq5kp84_Ne_E?authuser=0&hl=en&rclk=1
54.4467034,18.5564233,fryzjer,"Salon fryzjersko-kosmetyczny MM Sopot. Marta Baran, Marzena Łomowska","https://www.google.com/maps/place/Salon+fryzjersko-kosmetyczny+MM+Sopot.+Marta+Baran,+Marzena+%C5%81omowska/data=!4m7!3m6!1s0x46fd0b83f8113be9:0xcdb4258063d3d90a!8m2!3d54.4467034!4d18.5564233!16s%2Fg%2F11j7vf_sl9!19sChIJ6TsR-IML_UYRCtnTY4AltM0?authuser=0&hl=en&rclk=1"
54.443874,18.3946677,fryzjer,Magdalena. Salon fryzjerski,https://www.google.com/maps/place/Magdalena.+Salon+fryzjerski/data=!4m7!3m6!1s0x46fda2068e25930f:0x30e98fc73c1b0ffa!8m2!3d54.443874!4d18.3946677!16s%2Fg%2F1pv5tlb69!19sChIJD5Mljgai_UYR-g8bPMeP6TA?authuser=0&hl=en&rclk=1
54.4247417,18.4655774,fryzjer,Studio Fryzur Karolina Dąbrowska,https://www.google.com/maps/place/Studio+Fryzur+Karolina+D%C4%85browska/data=!4m7!3m6!1s0x46fd752515160235:0x3df26c5bceef8d85!8m2!3d54.4247417!4d18.4655774!16s%2Fg%2F11h37sdk0s!19sChIJNQIWFSV1_UYRhY3vzlts8j0?authuser=0&hl=en&rclk=1
