lat,lon,type,title,link
54.4436214,18.4204549,grocery store,Sklep Wielobranzowy Abc,https://www.google.com/maps/place/Sklep+Wielobranzowy+Abc/data=!4m7!3m6!1s0x46fda1e57320e3bd:0xce7517d8434a15c!8m2!3d54.4436214!4d18.4204549!16s%2Fg%2F11hdltsbwk!19sChIJveMgc-Wh_UYRXKE0hH1R5ww?authuser=0&hl=en&rclk=1
54.4434429,18.4163166,grocery store,Kaszëbë Jo! wędzarnia/swojskie wyroby,https://www.google.com/maps/place/Kasz%C3%ABb%C3%AB+Jo!+w%C4%99dzarnia%2Fswojskie+wyroby/data=!4m7!3m6!1s0x46fda1fe5f47d50d:0x8601a38f278c6336!8m2!3d54.4434429!4d18.4163166!16s%2Fg%2F11r_x5pf8l!19sChIJDdVHX_6h_UYRNmOMJ4-jAYY?authuser=0&hl=en&rclk=1
54.4431489,18.4208008,grocery store,Sklep spożywczo - monopolowy GS Samopomoc Chłopska,https://www.google.com/maps/place/Sklep+spo%C5%BCywczo+-+monopolowy+GS+Samopomoc+Ch%C5%82opska/data=!4m7!3m6!1s0x46fda1e4e0f9c3c5:0xdd20c2109ed8fffe!8m2!3d54.4431489!4d18.4208008!16s%2Fg%2F1tgw8lvf!19sChIJxcP54OSh_UYR_v_YnhDCIN0?authuser=0&hl=en&rclk=1
54.4426963,18.4163677,grocery store,Delikatesy Max Xavier,https://www.google.com/maps/place/Delikatesy+Max+Xavier/data=!4m7!3m6!1s0x46fda1e4d55e973f:0xf50fad4616093e8e!8m2!3d54.4426963!4d18.4163677!16s%2Fg%2F11f2xym84n!19sChIJP5de1eSh_UYRjj4JFkatD_U?authuser=0&hl=en&rclk=1
54.443077,18.417648,grocery store,Biedronka,https://www.google.com/maps/place/Biedronka/data=!4m7!3m6!1s0x46fda1e52f8a8fa7:0x5903beccadea8e26!8m2!3d54.443077!4d18.417648!16s%2Fg%2F12q4spj7j!19sChIJp4-KL-Wh_UYRJo7qrcy-A1k?authuser=0&hl=en&rclk=1
54.4435207,18.4134108,grocery store,Lidl,https://www.google.com/maps/place/Lidl/data=!4m7!3m6!1s0x46fda1e575359edb:0xcd3e7522c8016cd8!8m2!3d54.4435207!4d18.4134108!16s%2Fg%2F11b5pj8tdv!19sChIJ2541deWh_UYR2GwByCJ1Ps0?authuser=0&hl=en&rclk=1
54.4512327,18.4513761,grocery store,Carrefour Express,https://www.google.com/maps/place/Carrefour+Express/data=!4m7!3m6!1s0x46fda1bd57ceed77:0xd1df461ee94b2224!8m2!3d54.4512327!4d18.4513761!16s%2Fg%2F11n0868h34!19sChIJd-3OV72h_UYRJCJL6R5G39E?authuser=0&hl=en&rclk=1
54.443665,18.4063789,grocery store,Stormbringer Tomasz Ryłko - przetwórnia ryb,https://www.google.com/maps/place/Stormbringer+Tomasz+Ry%C5%82ko+-+przetw%C3%B3rnia+ryb/data=!4m7!3m6!1s0x46fda1e4e05deceb:0x7c83e367d311fe86!8m2!3d54.443665!4d18.4063789!16s%2Fg%2F11cmrzbt2x!19sChIJ6-xd4OSh_UYRhv4R02fjg3w?authuser=0&hl=en&rclk=1
54.4674978,18.4879585,grocery store,Merkus Supermarket,https://www.google.com/maps/place/Merkus+Supermarket/data=!4m7!3m6!1s0x46fda0554dd10747:0xdbaffab4956bc050!8m2!3d54.4674978!4d18.4879585!16s%2Fg%2F12qh9bfyh!19sChIJRwfRTVWg_UYRUMBrlbT6r9s?authuser=0&hl=en&rclk=1
54.4508587,18.4569672,grocery store,Żabka,https://www.google.com/maps/place/%C5%BBabka/data=!4m7!3m6!1s0x46fda1f39f382935:0x4f899c908f4ac4f8!8m2!3d54.4508587!4d18.4569672!16s%2Fg%2F11p5rfj0v3!19sChIJNSk4n_Oh_UYR-MRKj5CciU8?authuser=0&hl=en&rclk=1
