lat,lon,type,title,link
54.4861375,18.4275109,kawiarnia,Slow Cafe Klubokawiarnia Family,https://www.google.com/maps/place/Slow+Cafe+Klubokawiarnia+Family/data=!4m7!3m6!1s0x46fda3d6321fb967:0xad251a2da1a47a70!8m2!3d54.4861375!4d18.4275109!16s%2Fg%2F1pp2x5pyp!19sChIJZ7kfMtaj_UYRcHqkoS0aJa0?authuser=0&hl=en&rclk=1
54.3940721,18.3955738,kawiarnia,Cafe Kulka,https://www.google.com/maps/place/Cafe+Kulka/data=!4m7!3m6!1s0x46fd9f2058d96a83:0x85986af7bbf9b4f2!8m2!3d54.3940721!4d18.3955738!16s%2Fg%2F11bx5phzqf!19sChIJg2rZWCCf_UYR8rT5u_dqmIU?authuser=0&hl=en&rclk=1
54.4887285,18.3491955,kawiarnia,Słodkie Pudełko Slow,https://www.google.com/maps/place/S%C5%82odkie+Pude%C5%82ko+Slow/data=!4m7!3m6!1s0x46fda384bf2c765d:0x29430ff6f16c7798!8m2!3d54.4887285!4d18.3491955!16s%2Fg%2F11g4h_zz2g!19sChIJXXYsv4Sj_UYRmHds8fYPQyk?authuser=0&hl=en&rclk=1
54.4540827,18.33546,kawiarnia,Cafe Bistro,https://www.google.com/maps/place/Cafe+Bistro/data=!4m7!3m6!1s0x46fda34bade9ed3b:0xe001ee5d9dd8c7bd!8m2!3d54.4540827!4d18.33546!16s%2Fg%2F11s7nkgykx!19sChIJO-3prUuj_UYRvcfYnV3uAeA?authuser=0&hl=en&rclk=1
54.4439217,18.4187984,kawiarnia,Restauracja Orchidea-R,https://www.google.com/maps/place/Restauracja+Orchidea-R/data=!4m7!3m6!1s0x46fda1e512860719:0xd14b11689a51d801!8m2!3d54.4439217!4d18.4187984!16s%2Fg%2F1tm__xz0!19sChIJGQeGEuWh_UYRAdhRmmgRS9E?authuser=0&hl=en&rclk=1
54.4972961,18.5093233,kawiarnia,Kawiarnia Tu i Teraz,https://www.google.com/maps/place/Kawiarnia+Tu+i+Teraz/data=!4m7!3m6!1s0x46fda13b95b24bb9:0xadc719b1516172fe!8m2!3d54.4972961!4d18.5093233!16s%2Fg%2F11gzs1fzsk!19sChIJuUuylTuh_UYR_nJhUbEZx60?authuser=0&hl=en&rclk=1
54.4430598,18.5617871,kawiarnia,La Crema d'Italia Cafe,https://www.google.com/maps/place/La+Crema+d'Italia+Cafe/data=!4m7!3m6!1s0x46fd0a905cd0bc19:0x43c2fd49860e049a!8m2!3d54.4430598!4d18.5617871!16s%2Fg%2F1th0ll8c!19sChIJGbzQXJAK_UYRmgQOhkn9wkM?authuser=0&hl=en&rclk=1
54.4467291,18.4241592,kawiarnia,Gorący Piec,https://www.google.com/maps/place/Gor%C4%85cy+Piec/data=!4m7!3m6!1s0x46fd9f5623ed5741:0xb22ea245eab92918!8m2!3d54.4467291!4d18.4241592!16s%2Fg%2F11bzs2rnvq!19sChIJQVftI1af_UYRGCm56kWiLrI?authuser=0&hl=en&rclk=1
54.4435135,18.5659116,kawiarnia,Kawiarnia Santa Cafe,https://www.google.com/maps/place/Kawiarnia+Santa+Cafe/data=!4m7!3m6!1s0x46fd0b702c3fb427:0x6ec780c7e5aef863!8m2!3d54.4435135!4d18.5659116!16s%2Fg%2F11jkntcj0s!19sChIJJ7Q_LHAL_UYRY_iu5ceAx24?authuser=0&hl=en&rclk=1
54.4723905,18.5146925,kawiarnia,Saola café,https://www.google.com/maps/place/Saola+caf%C3%A9/data=!4m7!3m6!1s0x46fda11ac7c84e57:0xa8a82b9f7d318a90!8m2!3d54.4723905!4d18.5146925!16s%2Fg%2F11qn6p6g9v!19sChIJV07Ixxqh_UYRkIoxfZ8rqKg?authuser=0&hl=en&rclk=1
