lat,lon,type,title,link
52.2358829,21.0318381,las,LAS - Lokalna Atrakcja Stolicy,https://www.google.com/maps/place/LAS+-+Lokalna+Atrakcja+Stolicy/data=!4m7!3m6!1s0x471ecdf86b94dec1:0xce35fe63ce360fdd!8m2!3d52.2358829!4d21.0318381!16s%2Fg%2F11g1q17v2r!19sChIJwd6Ua_jNHkcR3Q82zmP-Nc4?authuser=0&hl=en&rclk=1
52.2138241,21.1145479,las,Las,https://www.google.com/maps/place/Las/data=!4m7!3m6!1s0x471ed2879d8d8b21:0x87556d4a015700c2!8m2!3d52.2138241!4d21.1145479!16s%2Fg%2F12111_9y!19sChIJIYuNnYfSHkcRwgBXAUptVYc?authuser=0&hl=en&rclk=1
52.334602,21.0841424,las,Las,https://www.google.com/maps/place/Las/data=!4m7!3m6!1s0x471ecf3f5d3a1929:0x5713297f9f960906!8m2!3d52.334602!4d21.0841424!16s%2Fg%2F11g6w_j09q!19sChIJKRk6XT_PHkcRBgmWn38pE1c?authuser=0&hl=en&rclk=1
52.2792279,20.94772,las,LAS kawiarnia,https://www.google.com/maps/place/LAS+kawiarnia/data=!4m7!3m6!1s0x471ecbdcbc0f7fc9:0xc83ab993034d9d40!8m2!3d52.2792279!4d20.94772!16s%2Fg%2F11q580x297!19sChIJyX8PvNzLHkcRQJ1NA5O5Osg?authuser=0&hl=en&rclk=1
52.3166225,20.9049244,las,Las Młociński,https://www.google.com/maps/place/Las+M%C5%82oci%C5%84ski/data=!4m7!3m6!1s0x471ec9fb8446607d:0xcdedfe9d9895f060!8m2!3d52.3166225!4d20.9049244!16s%2Fg%2F121zjp6k!19sChIJfWBGhPvJHkcRYPCVmJ3-7c0?authuser=0&hl=en&rclk=1
52.2407733,21.1406921,las,Las miejski,https://www.google.com/maps/place/Las+miejski/data=!4m7!3m6!1s0x471ed36c853eab51:0x8f14f455a3774f9f!8m2!3d52.2407733!4d21.1406921!16s%2Fg%2F11qkqz5c8_!19sChIJUas-hWzTHkcRn093o1X0FI8?authuser=0&hl=en&rclk=1
52.3120978,20.9317411,las,New Warsaw Forest (Forest Młociński),https://www.google.com/maps/place/New+Warsaw+Forest+(Forest+M%C5%82oci%C5%84ski)/data=!4m7!3m6!1s0x471eb61ccf6cd705:0x157168b0a8b6864f!8m2!3d52.3120978!4d20.9317411!16s%2Fg%2F1ywqfcrd4!19sChIJBddszxy2HkcRT4a2qLBocRU?authuser=0&hl=en&rclk=1
52.266122,20.8790231,las,Las Bemowo,https://www.google.com/maps/place/Las+Bemowo/data=!4m7!3m6!1s0x471eca7ccaf0e8b5:0xc6269302678e4ece!8m2!3d52.266122!4d20.8790231!16s%2Fg%2F11c1n34flm!19sChIJtejwynzKHkcRzk6OZwKTJsY?authuser=0&hl=en&rclk=1
52.2917666,20.9571596,las,Las Bielański,https://www.google.com/maps/place/Las+Biela%C5%84ski/data=!4m7!3m6!1s0x471ec97effffffff:0x1e9fe286197551d9!8m2!3d52.2917666!4d20.9571596!16s%2Fg%2F11g9f55z02!19sChIJ_____37JHkcR2VF1GYbinx4?authuser=0&hl=en&rclk=1
52.2974578,21.0643365,las,Las Bródnowski,https://www.google.com/maps/place/Las+Br%C3%B3dnowski/data=!4m7!3m6!1s0x471eceea59a1ebbf:0xed5f69e27e4f217!8m2!3d52.2974578!4d21.0643365!16s%2Fg%2F1222cntw!19sChIJv-uhWerOHkcRF_LkJ5721Q4?authuser=0&hl=en&rclk=1
52.3170408,20.9669541,las,Las Północnas,https://www.google.com/maps/place/Las+P%C3%B3%C5%82nocnas/data=!4m7!3m6!1s0x471ec99e03a9a095:0x50a7104c28c64899!8m2!3d52.3170408!4d20.9669541!16s%2Fg%2F11hmrntstv!19sChIJlaCpA57JHkcRmUjGKEwQp1A?authuser=0&hl=en&rclk=1
52.285605,20.9463251,las,Las Lindego,https://www.google.com/maps/place/Las+Lindego/data=!4m7!3m6!1s0x471ecb4886bc3ba1:0x53f6ad4daf665cdc!8m2!3d52.285605!4d20.9463251!16s%2Fg%2F11gvy1yk20!19sChIJoTu8hkjLHkcR3Fxmr02t9lM?authuser=0&hl=en&rclk=1
52.2861992,20.9458181,las,Las Lindego,https://www.google.com/maps/place/Las+Lindego/data=!4m7!3m6!1s0x471eca2cc31cbffd:0x685de8216a70fafa!8m2!3d52.2861992!4d20.9458181!16s%2Fg%2F12377h0t!19sChIJ_b8cwyzKHkcR-vpwaiHoXWg?authuser=0&hl=en&rclk=1
52.203265,21.1152967,las,Osiedle Las,https://www.google.com/maps/place/Osiedle+Las/data=!4m7!3m6!1s0x471ed308b183eecb:0x74da7d7faac528d5!8m2!3d52.203265!4d21.1152967!16s%2Fg%2F11g1lt_ggf!19sChIJy-6DsQjTHkcR1SjFqn992nQ?authuser=0&hl=en&rclk=1
