lat,lon,type,title,link
54.4415206,18.420487,lekarz,Ośrodek zdrowia,https://www.google.com/maps/place/O%C5%9Brodek+zdrowia/data=!4m7!3m6!1s0x46fda1e459efcd41:0x27c0d8d20a3643b3!8m2!3d54.4415206!4d18.420487!16s%2Fg%2F11g9qhxmpw!19sChIJQc3vWeSh_UYRs0M2CtLYwCc?authuser=0&hl=en&rclk=1
54.4293404,18.4715651,lekarz,"Druet Halina, lek. medycyny ogólnej. Gabinet","https://www.google.com/maps/place/Druet+Halina,+lek.+medycyny+og%C3%B3lnej.+Gabinet/data=!4m7!3m6!1s0x46fda02912487fd1:0x44517af52098c013!8m2!3d54.4293404!4d18.4715651!16s%2Fg%2F1tjjn1qv!19sChIJ0X9IEimg_UYRE8CYIPV6UUQ?authuser=0&hl=en&rclk=1"
54.464766,18.458234,lekarz,Gabinet Lekarski Katarzyna Rożnowska,https://www.google.com/maps/place/Gabinet+Lekarski+Katarzyna+Ro%C5%BCnowska/data=!4m7!3m6!1s0x46fda0f16603e87f:0xf457d5e982b97bf1!8m2!3d54.464766!4d18.458234!16s%2Fg%2F11f3r48vjw!19sChIJf-gDZvGg_UYR8Xu5gunVV_Q?authuser=0&hl=en&rclk=1
54.486563,18.4260769,lekarz,"Katarzyna Lipska, Lekarz rodzinny","https://www.google.com/maps/place/Katarzyna+Lipska,+Lekarz+rodzinny/data=!4m7!3m6!1s0x46fda37ff6504781:0x7d6cb2e4c5202943!8m2!3d54.486563!4d18.4260769!16s%2Fg%2F11tdtgkd96!19sChIJgUdQ9n-j_UYRQykgxeSybH0?authuser=0&hl=en&rclk=1"
54.4175374,18.4532362,lekarz,Prywatny Gabinet Pediatryczny,https://www.google.com/maps/place/Prywatny+Gabinet+Pediatryczny/data=!4m7!3m6!1s0x46fd9f2750930a29:0x5e791a0e43a99bdc!8m2!3d54.4175374!4d18.4532362!16s%2Fg%2F11gyxdz4y7!19sChIJKQqTUCef_UYR3JupQw4aeV4?authuser=0&hl=en&rclk=1
54.4769083,18.4645544,lekarz,"Bober Jolanta, dr med. Spec. chorób wewnętrznych. Gabinet internistyczny, EKG","https://www.google.com/maps/place/Bober+Jolanta,+dr+med.+Spec.+chor%C3%B3b+wewn%C4%99trznych.+Gabinet+internistyczny,+EKG/data=!4m7!3m6!1s0x46fda10b92bdf9c5:0x641183c4773f75e8!8m2!3d54.4769083!4d18.4645544!16s%2Fg%2F1v42dh47!19sChIJxfm9kguh_UYR6HU_d8SDEWQ?authuser=0&hl=en&rclk=1"
54.477304,18.469579,lekarz,Centrum Edukacji Lekarzy,https://www.google.com/maps/place/Centrum+Edukacji+Lekarzy/data=!4m7!3m6!1s0x46fda10ec9e46c3d:0xf8425b05b3d3cc4c!8m2!3d54.477304!4d18.469579!16s%2Fg%2F11fm1698ss!19sChIJPWzkyQ6h_UYRTMzTswVbQvg?authuser=0&hl=en&rclk=1
54.4697793,18.4694504,lekarz,"Sobierajska B., lek. med. pediatra. Indywidualna praktyka lekarska","https://www.google.com/maps/place/Sobierajska+B.,+lek.+med.+pediatra.+Indywidualna+praktyka+lekarska/data=!4m7!3m6!1s0x46fda1a7c2b4f7a5:0x9363debca6981d20!8m2!3d54.4697793!4d18.4694504!16s%2Fg%2F1tgn89hv!19sChIJpfe0wqeh_UYRIB2YprzeY5M?authuser=0&hl=en&rclk=1"
54.4920292,18.4403232,lekarz,Medycyna Pracy,https://www.google.com/maps/place/Medycyna+Pracy/data=!4m7!3m6!1s0x46fda163e8cb84a7:0xdf77e59291a4bb8f!8m2!3d54.4920292!4d18.4403232!16s%2Fg%2F11f3btltsr!19sChIJp4TL6GOh_UYRj7ukkZLld98?authuser=0&hl=en&rclk=1
54.4314314,18.478597,lekarz,NovumMedica - Centrum Medyczne Przychodnia POZ,https://www.google.com/maps/place/NovumMedica+-+Centrum+Medyczne+Przychodnia+POZ/data=!4m7!3m6!1s0x46fda1f0296b7579:0x74604332ef4c750c!8m2!3d54.4314314!4d18.478597!16s%2Fg%2F11t2w42ly8!19sChIJeXVrKfCh_UYRDHVM7zJDYHQ?authuser=0&hl=en&rclk=1
