lat,lon,type,title,link
54.4476244,18.4292271,mechanik,Mechanika Pojazdowa - Alpa,https://www.google.com/maps/place/Mechanika+Pojazdowa+-+Alpa/data=!4m7!3m6!1s0x46fda1e4e05a5a39:0x93fdba199a96ba2e!8m2!3d54.4476244!4d18.4292271!16s%2Fg%2F1tlzyw7c!19sChIJOVpa4OSh_UYRLrqWmhm6_ZM?authuser=0&hl=en&rclk=1
54.4423386,18.4407586,mechanik,Warsztat samochodowy Auto Nord - Chwaszczyno,https://www.google.com/maps/place/Warsztat+samochodowy+Auto+Nord+-+Chwaszczyno/data=!4m7!3m6!1s0x46fda1b05aaa5ced:0x590d5aafd6f0b795!8m2!3d54.4423386!4d18.4407586!16s%2Fg%2F11h70ht8mq!19sChIJ7VyqWrCh_UYRlbfw1q9aDVk?authuser=0&hl=en&rclk=1
54.439745,18.4163539,mechanik,Warsztat Mechaniczno - Blacharski Leszek Bach Auto Naprawa,https://www.google.com/maps/place/Warsztat+Mechaniczno+-+Blacharski+Leszek+Bach+Auto+Naprawa/data=!4m7!3m6!1s0x46fda1e367426fb5:0x12346905d09a1cee!8m2!3d54.439745!4d18.4163539!16s%2Fg%2F11f30ts8zt!19sChIJtW9CZ-Oh_UYR7hya0AVpNBI?authuser=0&hl=en&rclk=1
54.4367449,18.410725,mechanik,Warsztatowcy,https://www.google.com/maps/place/Warsztatowcy/data=!4m7!3m6!1s0x46fda1fd39b155c7:0xbcd5a47bf554d596!8m2!3d54.4367449!4d18.410725!16s%2Fg%2F11clwg62h0!19sChIJx1WxOf2h_UYRltVU9Xuk1bw?authuser=0&hl=en&rclk=1
54.4579216,18.3993516,mechanik,Mechanika Pojazdowa i Diagnostyka Zbigniew Bryłowski,https://www.google.com/maps/place/Mechanika+Pojazdowa+i+Diagnostyka+Zbigniew+Bry%C5%82owski/data=!4m7!3m6!1s0x46fd0b4b9a6a9555:0xc65121f51eb96cf7!8m2!3d54.4579216!4d18.3993516!16s%2Fg%2F1ptxr7w9_!19sChIJVZVqmksL_UYR92y5HvUhUcY?authuser=0&hl=en&rclk=1
54.4409184,18.4027755,mechanik,Warsztat Samochodowy Auto Kleina,https://www.google.com/maps/place/Warsztat+Samochodowy+Auto+Kleina/data=!4m7!3m6!1s0x46fda1fec348a2a3:0x9869bc5099fd0d42!8m2!3d54.4409184!4d18.4027755!16s%2Fg%2F11dyzf23l6!19sChIJo6JIw_6h_UYRQg39mVC8aZg?authuser=0&hl=en&rclk=1
54.4637734,18.4592383,mechanik,auto serwis Ratajczak,https://www.google.com/maps/place/auto+serwis+Ratajczak/data=!4m7!3m6!1s0x46fda12fc5f45ead:0xd14eb4aa1139d255!8m2!3d54.4637734!4d18.4592383!16s%2Fg%2F11rnbz_dx4!19sChIJrV70xS-h_UYRVdI5Eaq0TtE?authuser=0&hl=en&rclk=1
54.4257315,18.4577865,mechanik,Serwis Auto-Reich,https://www.google.com/maps/place/Serwis+Auto-Reich/data=!4m7!3m6!1s0x46fd9f80280bd3cb:0x517541368779286f!8m2!3d54.4257315!4d18.4577865!16s%2Fg%2F1tjkdhf1!19sChIJy9MLKICf_UYRbyh5hzZBdVE?authuser=0&hl=en&rclk=1
54.460823,18.4536552,mechanik,Truck Serwis | Mobilny warsztat samochodów ciężarowych - EMK Ustarbowski,https://www.google.com/maps/place/Truck+Serwis+%7C+Mobilny+warsztat+samochod%C3%B3w+ci%C4%99%C5%BCarowych+-+EMK+Ustarbowski/data=!4m7!3m6!1s0x46fda1bc9b72043d:0x2f6467a4864e29c4!8m2!3d54.460823!4d18.4536552!16s%2Fg%2F11cspw27_s!19sChIJPQRym7yh_UYRxClOhqRnZC8?authuser=0&hl=en&rclk=1
54.426051,18.478395,mechanik,CAR-MAX OSOWA MECHANIKA SAMOCHODOWA,https://www.google.com/maps/place/CAR-MAX+OSOWA+MECHANIKA+SAMOCHODOWA/data=!4m7!3m6!1s0x46fda027be64ea03:0xe17405eafba2f1a7!8m2!3d54.426051!4d18.478395!16s%2Fg%2F11hbvs2_p6!19sChIJA-pkvieg_UYRp_Gi--oFdOE?authuser=0&hl=en&rclk=1
