lat,lon,type,title,link
54.4431489,18.4208008,monopolowy,Sklep spożywczo - monopolowy GS Samopomoc Chłopska,https://www.google.com/maps/place/Sklep+spo%C5%BCywczo+-+monopolowy+GS+Samopomoc+Ch%C5%82opska/data=!4m7!3m6!1s0x46fda1e4e0f9c3c5:0xdd20c2109ed8fffe!8m2!3d54.4431489!4d18.4208008!16s%2Fg%2F1tgw8lvf!19sChIJxcP54OSh_UYR_v_YnhDCIN0?authuser=0&hl=en&rclk=1
54.4423049,18.4184605,monopolowy,Alkohole Świata,https://www.google.com/maps/place/Alkohole+%C5%9Awiata/data=!4m7!3m6!1s0x46fda1e4dfbf2777:0xc9bb641c5c5cfa1b!8m2!3d54.4423049!4d18.4184605!16s%2Fg%2F11c32gtwmj!19sChIJdye_3-Sh_UYRG_pcXBxku8k?authuser=0&hl=en&rclk=1
54.442363,18.4179555,monopolowy,Napoleon Alkohole,https://www.google.com/maps/place/Napoleon+Alkohole/data=!4m7!3m6!1s0x46fda1e4dfb273fd:0xe6128f8c63553a95!8m2!3d54.442363!4d18.4179555!16s%2Fg%2F11hcmlxq_l!19sChIJ_XOy3-Sh_UYRlTpVY4yPEuY?authuser=0&hl=en&rclk=1
54.4683043,18.4634764,monopolowy,"Liquor Store ""Thirsty Camel""",https://www.google.com/maps/place/Liquor+Store+%22Thirsty+Camel%22/data=!4m7!3m6!1s0x46fda1a6e981c489:0xfe9ecbf2d83d8753!8m2!3d54.4683043!4d18.4634764!16s%2Fg%2F1wz51dnc!19sChIJicSB6aah_UYRU4c92PLLnv4?authuser=0&hl=en&rclk=1
54.430858,18.474167,monopolowy,Sklep Monopolowy,https://www.google.com/maps/place/Sklep+Monopolowy/data=!4m7!3m6!1s0x46fda13cd341761f:0x2c4b2da921b0b65f!8m2!3d54.430858!4d18.474167!16s%2Fg%2F11h3sj_0sx!19sChIJH3ZB0zyh_UYRX7awIaktSyw?authuser=0&hl=en&rclk=1
54.4721358,18.4893438,monopolowy,"0,7 Store","https://www.google.com/maps/place/0,7+Store/data=!4m7!3m6!1s0x46fda1a6109bd4c9:0x5938a0774c647d4f!8m2!3d54.4721358!4d18.4893438!16s%2Fg%2F11pctnws17!19sChIJydSbEKah_UYRT31kTHegOFk?authuser=0&hl=en&rclk=1"
54.4927347,18.4353198,monopolowy,WORLD OF SPIRITS Sklep alkoholowy,https://www.google.com/maps/place/WORLD+OF+SPIRITS+Sklep+alkoholowy/data=!4m7!3m6!1s0x46fda16217a6efdf:0x6a62c5b00dd9dc3a!8m2!3d54.4927347!4d18.4353198!16s%2Fg%2F11gdmft825!19sChIJ3--mF2Kh_UYROtzZDbDFYmo?authuser=0&hl=en&rclk=1
54.3935263,18.4007094,monopolowy,Al.Capone,https://www.google.com/maps/place/Al.Capone/data=!4m7!3m6!1s0x46fd9f59897b7cf5:0x87dd01f16ec8539d!8m2!3d54.3935263!4d18.4007094!16s%2Fg%2F11mv574jrv!19sChIJ9Xx7iVmf_UYRnVPIbvEB3Yc?authuser=0&hl=en&rclk=1
54.4508587,18.4569672,monopolowy,Żabka,https://www.google.com/maps/place/%C5%BBabka/data=!4m7!3m6!1s0x46fda1f39f382935:0x4f899c908f4ac4f8!8m2!3d54.4508587!4d18.4569672!16s%2Fg%2F11p5rfj0v3!19sChIJNSk4n_Oh_UYR-MRKj5CciU8?authuser=0&hl=en&rclk=1
54.4544113,18.5532101,monopolowy,Borys Monopolowy Sopot,https://www.google.com/maps/place/Borys+Monopolowy+Sopot/data=!4m7!3m6!1s0x46fd0a81a6040001:0x2528da71d03a22f3!8m2!3d54.4544113!4d18.5532101!16s%2Fg%2F11fmxzcgjn!19sChIJAQAEpoEK_UYR8yI60HHaKCU?authuser=0&hl=en&rclk=1
54.4705502,18.4965867,monopolowy,Alkohole Winoteka,https://www.google.com/maps/place/Alkohole+Winoteka/data=!4m7!3m6!1s0x46fda0ff1df4687d:0x64bd79cb4116e6f9!8m2!3d54.4705502!4d18.4965867!16s%2Fg%2F1hc5xc5xr!19sChIJfWj0Hf-g_UYR-eYWQct5vWQ?authuser=0&hl=en&rclk=1
54.434349,18.560999,monopolowy,Sklep monopolowy | piwo kraftowe | BIMBEER Sopot,https://www.google.com/maps/place/Sklep+monopolowy+%7C+piwo+kraftowe+%7C+BIMBEER+Sopot/data=!4m7!3m6!1s0x46fd0ba7dafa984b:0xafe7240a51e2c271!8m2!3d54.434349!4d18.560999!16s%2Fg%2F11f6cyjgcz!19sChIJS5j62qcL_UYRccLiUQok568?authuser=0&hl=en&rclk=1
54.4451724,18.5653616,monopolowy,Sklep Alcatraz,https://www.google.com/maps/place/Sklep+Alcatraz/data=!4m7!3m6!1s0x46fd0a8e2c5fcf2b:0x5d7ea3633c62309!8m2!3d54.4451724!4d18.5653616!16s%2Fg%2F11bw5j8t65!19sChIJK89fLI4K_UYRCSPGMzbq1wU?authuser=0&hl=en&rclk=1
54.44235,18.570795,monopolowy,Kamme,https://www.google.com/maps/place/Kamme/data=!4m7!3m6!1s0x46fd0a9242b68a59:0xacf213d7595184eb!8m2!3d54.44235!4d18.570795!16s%2Fg%2F11h0vqf_7y!19sChIJWYq2QpIK_UYR64RRWdcT8qw?authuser=0&hl=en&rclk=1
54.4388202,18.5737895,monopolowy,Delikatesy Monopolowe Total,https://www.google.com/maps/place/Delikatesy+Monopolowe+Total/data=!4m7!3m6!1s0x46fd0a934b43adf5:0x5108d0bf655ff392!8m2!3d54.4388202!4d18.5737895!16s%2Fg%2F11c191hpt_!19sChIJ9a1DS5MK_UYRkvNfZb_QCFE?authuser=0&hl=en&rclk=1
54.4454546,18.5659928,monopolowy,Festus. Sklep winiarski,https://www.google.com/maps/place/Festus.+Sklep+winiarski/data=!4m7!3m6!1s0x46fd0a8e3175f2b1:0x9ef04c5bccb3fbb5!8m2!3d54.4454546!4d18.5659928!16s%2Fg%2F11gzjm8dr!19sChIJsfJ1MY4K_UYRtfuzzFtM8J4?authuser=0&hl=en&rclk=1
54.4300914,18.4764504,monopolowy,Sklep spożywczo monopolowy u Wioli i Joli,https://www.google.com/maps/place/Sklep+spo%C5%BCywczo+monopolowy+u+Wioli+i+Joli/data=!4m7!3m6!1s0x46fda1f24b727975:0x38a3a356094ddc4d!8m2!3d54.4300914!4d18.4764504!16s%2Fg%2F11n0f5cbpt!19sChIJdXlyS_Kh_UYRTdxNCVajozg?authuser=0&hl=en&rclk=1
54.4317332,18.4704782,monopolowy,Biedronka,https://www.google.com/maps/place/Biedronka/data=!4m7!3m6!1s0x46fda1b4a09278e5:0xaf0cfd41b10ea184!8m2!3d54.4317332!4d18.4704782!16s%2Fg%2F11qpvqcwz_!19sChIJ5XiSoLSh_UYRhKEOsUH9DK8?authuser=0&hl=en&rclk=1
54.4300055,18.4694158,monopolowy,Żabka,https://www.google.com/maps/place/%C5%BBabka/data=!4m7!3m6!1s0x46fda1b7e9a0474d:0xa635d400025c06ad!8m2!3d54.4300055!4d18.4694158!16s%2Fg%2F11grpt4sdq!19sChIJTUeg6beh_UYRrQZcAgDUNaY?authuser=0&hl=en&rclk=1
54.423039,18.478407,monopolowy,Al.Capone,https://www.google.com/maps/place/Al.Capone/data=!4m7!3m6!1s0x46fd9fa818a9d15b:0x7b37589173d3cc6a!8m2!3d54.423039!4d18.478407!16s%2Fg%2F11s_xqvt5s!19sChIJW9GpGKif_UYRaszTc5FYN3s?authuser=0&hl=en&rclk=1
54.418309,18.5646439,monopolowy,Borys monopolowy,https://www.google.com/maps/place/Borys+monopolowy/data=!4m7!3m6!1s0x46fd0b4d232e4c85:0x3caa262d9121d712!8m2!3d54.418309!4d18.5646439!16s%2Fg%2F11jv78phwz!19sChIJhUwuI00L_UYREtchkS0mqjw?authuser=0&hl=en&rclk=1
54.4180416,18.5659024,monopolowy,"MARKET TEQUILA ""LEWIATAN""",https://www.google.com/maps/place/MARKET+TEQUILA+%22LEWIATAN%22/data=!4m7!3m6!1s0x46fd0ac955bb9739:0x96464d78396b47d4!8m2!3d54.4180416!4d18.5659024!16s%2Fg%2F11c2l3zln_!19sChIJOZe7VckK_UYR1EdrOXhNRpY?authuser=0&hl=en&rclk=1
54.4086609,18.5560619,monopolowy,Fiks. Sklep monopolowo - spożywczy,https://www.google.com/maps/place/Fiks.+Sklep+monopolowo+-+spo%C5%BCywczy/data=!4m7!3m6!1s0x46fd7535baa730ad:0x6c4455c1376f9f33!8m2!3d54.4086609!4d18.5560619!16s%2Fg%2F1tjf8z98!19sChIJrTCnujV1_UYRM59vN8FVRGw?authuser=0&hl=en&rclk=1
54.4210238,18.5826993,monopolowy,Sklep Monopolowy Jaś,https://www.google.com/maps/place/Sklep+Monopolowy+Ja%C5%9B/data=!4m7!3m6!1s0x46fd0adaf22ec9c7:0x515fe42ac6763f25!8m2!3d54.4210238!4d18.5826993!16s%2Fg%2F11cssxpvkc!19sChIJx8ku8toK_UYRJT92xirkX1E?authuser=0&hl=en&rclk=1
54.430952,18.562198,monopolowy,Shop All-day Goshia,https://www.google.com/maps/place/Shop+All-day+Goshia/data=!4m7!3m6!1s0x46fd0abef6787671:0xf0b9b8d50f8b2c3b!8m2!3d54.430952!4d18.562198!16s%2Fg%2F1tj29q0m!19sChIJcXZ49r4K_UYROyyLD9W4ufA?authuser=0&hl=en&rclk=1
54.4204399,18.5841982,monopolowy,Galeria Alkoholi 24/7,https://www.google.com/maps/place/Galeria+Alkoholi+24%2F7/data=!4m7!3m6!1s0x46fd0b1eedf818dd:0xc5a5613cf514ae79!8m2!3d54.4204399!4d18.5841982!16s%2Fg%2F11f5jn7yym!19sChIJ3Rj47R4L_UYRea4U9TxhpcU?authuser=0&hl=en&rclk=1
54.4210163,18.6038091,monopolowy,Alkohole Świata,https://www.google.com/maps/place/Alkohole+%C5%9Awiata/data=!4m7!3m6!1s0x46fd0ba393f0bf8d:0x163633b6cf8320f!8m2!3d54.4210163!4d18.6038091!16s%2Fg%2F11m_r6wv17!19sChIJjb_wk6ML_UYRDzL4bDtjYwE?authuser=0&hl=en&rclk=1
54.4136757,18.5983133,monopolowy,"Sklep Monopolowy Całodobowy ""Kristo""",https://www.google.com/maps/place/Sklep+Monopolowy+Ca%C5%82odobowy+%22Kristo%22/data=!4m7!3m6!1s0x46fd0b291f44afc7:0x202fb190feec63ec!8m2!3d54.4136757!4d18.5983133!16s%2Fg%2F12hm8v0_p!19sChIJx69EHykL_UYR7GPs_pCxLyA?authuser=0&hl=en&rclk=1
54.4119552,18.586943,monopolowy,"Całodobowy Sklep Monopolowy BUBI ""Lechia""",https://www.google.com/maps/place/Ca%C5%82odobowy+Sklep+Monopolowy+BUBI+%22Lechia%22/data=!4m7!3m6!1s0x46fd0ad5cf1b9e51:0x30d4065060e6e30c!8m2!3d54.4119552!4d18.586943!16s%2Fg%2F1hf4m3rsn!19sChIJUZ4bz9UK_UYRDOPmYFAG1DA?authuser=0&hl=en&rclk=1
54.3940266,18.4045939,monopolowy,Piwniczka,https://www.google.com/maps/place/Piwniczka/data=!4m7!3m6!1s0x46fd9ff517885f3d:0x48c7c717f1ba69f4!8m2!3d54.3940266!4d18.4045939!16s%2Fg%2F11fkyx03x1!19sChIJPV-IF_Wf_UYR9Gm68RfHx0g?authuser=0&hl=en&rclk=1
54.418793,18.4578022,monopolowy,Żabka,https://www.google.com/maps/place/%C5%BBabka/data=!4m7!3m6!1s0x46fd9f7c66e09415:0x385100abf4c9d7f9!8m2!3d54.418793!4d18.4578022!16s%2Fg%2F11t6zbdk1n!19sChIJFZTgZnyf_UYR-dfJ9KsAUTg?authuser=0&hl=en&rclk=1
54.4225649,18.4727523,monopolowy,BARCELONA wino / sery / delikatesy,https://www.google.com/maps/place/BARCELONA+wino+%2F+sery+%2F+delikatesy/data=!4m7!3m6!1s0x46fd9ffb5e6ce9cd:0xa0d3d8a99df7d056!8m2!3d54.4225649!4d18.4727523!16s%2Fg%2F11ry58mxmz!19sChIJzelsXvuf_UYRVtD3nanY06A?authuser=0&hl=en&rclk=1
54.4194793,18.469284,monopolowy,Biedronka,https://www.google.com/maps/place/Biedronka/data=!4m7!3m6!1s0x46fd9fe1592660df:0x209f2cd1dd3aef7f!8m2!3d54.4194793!4d18.469284!16s%2Fg%2F11ptptmzxj!19sChIJ32AmWeGf_UYRf-863dEsnyA?authuser=0&hl=en&rclk=1
54.425639,18.473127,monopolowy,Żabka,https://www.google.com/maps/place/%C5%BBabka/data=!4m7!3m6!1s0x46fda1ed2ead1825:0x3a6c70c17c3e13d7!8m2!3d54.425639!4d18.473127!16s%2Fg%2F11gg_t313y!19sChIJJRitLu2h_UYR1xM-fMFwbDo?authuser=0&hl=en&rclk=1
54.422606,18.471776,monopolowy,Żabka,https://www.google.com/maps/place/%C5%BBabka/data=!4m7!3m6!1s0x46fd9f670bebf073:0x92ce624cba0b3e1d!8m2!3d54.422606!4d18.471776!16s%2Fg%2F11nh3vz3vp!19sChIJc_DrC2ef_UYRHT4LukxizpI?authuser=0&hl=en&rclk=1
