lat,lon,type,title,link
54.439997,18.5760431,muzeum,Sopot Museum,https://www.google.com/maps/place/Sopot+Museum/data=!4m7!3m6!1s0x46fd0aecd84cb1ef:0xa63acfe4a19a30a5!8m2!3d54.439997!4d18.5760431!16s%2Fg%2F1216f54m!19sChIJ77FM2OwK_UYRpTCaoeTPOqY?authuser=0&hl=en&rclk=1
54.411003,18.5602019,muzeum,"Department of Modern Art, the National Museum in Gdansk","https://www.google.com/maps/place/Department+of+Modern+Art,+the+National+Museum+in+Gdansk/data=!4m7!3m6!1s0x46fd753518568d51:0x72a984c2b9adaf97!8m2!3d54.411003!4d18.5602019!16s%2Fg%2F1wnd_rsr!19sChIJUY1WGDV1_UYRl6-tucKEqXI?authuser=0&hl=en&rclk=1"
54.5161667,18.5471363,muzeum,Gdynia City Museum,https://www.google.com/maps/place/Gdynia+City+Museum/data=!4m7!3m6!1s0x46fda73a07b0b431:0x89a9c14646e07ca7!8m2!3d54.5161667!4d18.5471363!16s%2Fg%2F1235ks2g!19sChIJMbSwBzqn_UYRp3zgRkbBqYk?authuser=0&hl=en&rclk=1
54.502096,18.53557,muzeum,Magia Kaszub. Muzeum baśni,https://www.google.com/maps/place/Magia+Kaszub.+Muzeum+ba%C5%9Bni/data=!4m7!3m6!1s0x46fda0cc19444c45:0x3a626d6357b31059!8m2!3d54.502096!4d18.53557!16s%2Fg%2F1tg_857g!19sChIJRUxEGcyg_UYRWRCzV2NtYjo?authuser=0&hl=en&rclk=1
54.4519844,18.5606441,muzeum,Grodzisko w Sopocie - oddział Muzeum Archeologicznego w Gdańsku,https://www.google.com/maps/place/Grodzisko+w+Sopocie+-+oddzia%C5%82+Muzeum+Archeologicznego+w+Gda%C5%84sku/data=!4m7!3m6!1s0x46fd0a869094445d:0x96522732a8ab731e!8m2!3d54.4519844!4d18.5606441!16s%2Fg%2F1tz94flv!19sChIJXUSUkIYK_UYRHnOrqDInUpY?authuser=0&hl=en&rclk=1
54.4115474,18.5593249,muzeum,Spichlerz Opacki - Muzeum Etnograficzne,https://www.google.com/maps/place/Spichlerz+Opacki+-+Muzeum+Etnograficzne/data=!4m7!3m6!1s0x46fd7534d4e8a73f:0xd025a115b50362ac!8m2!3d54.4115474!4d18.5593249!16s%2Fg%2F12321ghc!19sChIJP6fo1DR1_UYRrGIDtRWhJdA?authuser=0&hl=en&rclk=1
54.5195615,18.5511764,muzeum,"Ship Museum ORP ""Błyskawica""",https://www.google.com/maps/place/Ship+Museum+ORP+%22B%C5%82yskawica%22/data=!4m7!3m6!1s0x46fda73920563239:0x96e9dbf0ecdf66f5!8m2!3d54.5195615!4d18.5511764!16zL20vMDIyMzhx!19sChIJOTJWIDmn_UYR9Wbf7PDb6ZY?authuser=0&hl=en&rclk=1
54.515768,18.5482399,muzeum,Naval Museum in Gdynia,https://www.google.com/maps/place/Naval+Museum+in+Gdynia/data=!4m7!3m6!1s0x46fda73a03bd319d:0x3726e1d40ffeeb39!8m2!3d54.515768!4d18.5482399!16s%2Fg%2F11b60rwzt2!19sChIJnTG9Azqn_UYROev-D9ThJjc?authuser=0&hl=en&rclk=1
54.4375254,18.5796025,muzeum,Muzeum rybactwa,https://www.google.com/maps/place/Muzeum+rybactwa/data=!4m7!3m6!1s0x46fd0b484d8dae6f:0x520bfa86b2e011e9!8m2!3d54.4375254!4d18.5796025!16s%2Fg%2F11fsk18cx4!19sChIJb66NTUgL_UYR6RHgsob6C1I?authuser=0&hl=en&rclk=1
54.4371855,18.5800083,muzeum,Mini Fishing Museum,https://www.google.com/maps/place/Mini+Fishing+Museum/data=!4m7!3m6!1s0x46fd0aec0da27fa9:0x13f7848d1fdbc514!8m2!3d54.4371855!4d18.5800083!16s%2Fg%2F11cmdrl3qp!19sChIJqX-iDewK_UYRFMXbH42E9xM?authuser=0&hl=en&rclk=1
