lat,lon,type,title,link
54.44363,18.42106,piekarnia,Cukiernia Murzynek,https://www.google.com/maps/place/Cukiernia+Murzynek/data=!4m7!3m6!1s0x46fda1e575a826df:0xf11e7120960ba580!8m2!3d54.44363!4d18.42106!16s%2Fg%2F11c1vlt0ns!19sChIJ3yaodeWh_UYRgKULliBxHvE?authuser=0&hl=en&rclk=1
54.4434354,18.4160468,piekarnia,Konkol,https://www.google.com/maps/place/Konkol/data=!4m7!3m6!1s0x46fda1fad19301fb:0xac767da12cce5a63!8m2!3d54.4434354!4d18.4160468!16s%2Fg%2F11flvvtg2l!19sChIJ-wGT0fqh_UYRY1rOLKF9dqw?authuser=0&hl=en&rclk=1
54.442363,18.4179555,piekarnia,Bakery Confectionery 1901,https://www.google.com/maps/place/Bakery+Confectionery+1901/data=!4m7!3m6!1s0x46fda1e4df8bcb2b:0x6d9fbc97fdea4e2a!8m2!3d54.442363!4d18.4179555!16s%2Fg%2F11cmcz8dc4!19sChIJK8uL3-Sh_UYRKk7q_Ze8n20?authuser=0&hl=en&rclk=1
54.468656,18.4638494,piekarnia,Piekarnia Piotr Gotowała,https://www.google.com/maps/place/Piekarnia+Piotr+Gotowa%C5%82a/data=!4m7!3m6!1s0x46fda1a6e6765811:0xe8573d6bc963761d!8m2!3d54.468656!4d18.4638494!16s%2Fg%2F1jkyppk57!19sChIJEVh25qah_UYRHXZjyWs9V-g?authuser=0&hl=en&rclk=1
54.4694648,18.383476,piekarnia,Piekarnia Bojano,https://www.google.com/maps/place/Piekarnia+Bojano/data=!4m7!3m6!1s0x46fda238945e00fb:0xf5e7ccc63b0ea759!8m2!3d54.4694648!4d18.383476!16s%2Fg%2F11gfdkc60w!19sChIJ-wBelDii_UYRWacOO8bM5_U?authuser=0&hl=en&rclk=1
54.474068,18.4629442,piekarnia,Piekarnia- Cukiernia Rogalik,https://www.google.com/maps/place/Piekarnia-+Cukiernia+Rogalik/data=!4m7!3m6!1s0x46fda10a3e5a848b:0x52f5229cf8627983!8m2!3d54.474068!4d18.4629442!16s%2Fg%2F1v_z30kn!19sChIJi4RaPgqh_UYRg3li-Jwi9VI?authuser=0&hl=en&rclk=1
54.4743371,18.464876,piekarnia,Piekarnia - Cukiernia „Pellowski”,https://www.google.com/maps/place/Piekarnia+-+Cukiernia+%E2%80%9EPellowski%E2%80%9D/data=!4m7!3m6!1s0x46fda17c95805b97:0x536be5ae6e9d37ed!8m2!3d54.4743371!4d18.464876!16s%2Fg%2F11h5q5hp1x!19sChIJl1uAlXyh_UYR7Tedbq7la1M?authuser=0&hl=en&rclk=1
54.4742131,18.4653013,piekarnia,Pieczywo z serca Kaszub,https://www.google.com/maps/place/Pieczywo+z+serca+Kaszub/data=!4m7!3m6!1s0x46fda18ca3a05841:0x535bee078b7e537b!8m2!3d54.4742131!4d18.4653013!16s%2Fg%2F11hdz84md4!19sChIJQVigo4yh_UYRe1N-iwfuW1M?authuser=0&hl=en&rclk=1
54.4716566,18.3841941,piekarnia,R. Daniel Nowicki Piekarnia - Cukiernia,https://www.google.com/maps/place/R.+Daniel+Nowicki+Piekarnia+-+Cukiernia/data=!4m7!3m6!1s0x46fda2387274d18f:0x5eb59eb311cea976!8m2!3d54.4716566!4d18.3841941!16s%2Fg%2F11gnnm5byc!19sChIJj9F0cjii_UYRdqnOEbOetV4?authuser=0&hl=en&rclk=1
54.4323506,18.4798433,piekarnia,Piekarnia Cukiernia Konkol,https://www.google.com/maps/place/Piekarnia+Cukiernia+Konkol/data=!4m7!3m6!1s0x46fda02f7ce074dd:0xbf2525d5e58bf080!8m2!3d54.4323506!4d18.4798433!16s%2Fg%2F11bwpqqxy8!19sChIJ3XTgfC-g_UYRgPCL5dUlJb8?authuser=0&hl=en&rclk=1
