lat,lon,type,title,link
54.4441395,18.4445201,plac,Plac zabaw,https://www.google.com/maps/place/Plac+zabaw/data=!4m7!3m6!1s0x46fda11145123a95:0x4f3a51d0358e7dd5!8m2!3d54.4441395!4d18.4445201!16s%2Fg%2F11nxfkmxqp!19sChIJlToSRRGh_UYR1X2ONdBROk8?authuser=0&hl=en&rclk=1
54.4462852,18.4549311,plac,Plac zabaw,https://www.google.com/maps/place/Plac+zabaw/data=!4m7!3m6!1s0x46fda1612733a557:0xfa09fc753c9099a4!8m2!3d54.4462852!4d18.4549311!16s%2Fg%2F11lx5whpvr!19sChIJV6UzJ2Gh_UYRpJmQPHX8Cfo?authuser=0&hl=en&rclk=1
54.4459163,18.4120281,plac,Plac Zabaw,https://www.google.com/maps/place/Plac+Zabaw/data=!4m7!3m6!1s0x46fda1e08ecffdf7:0x5d5c53ba98be8f2e!8m2!3d54.4459163!4d18.4120281!16s%2Fg%2F11s_stw06l!19sChIJ9_3PjuCh_UYRLo--mLpTXF0?authuser=0&hl=en&rclk=1
54.4514127,18.4558511,plac,Plac zabaw dla dzieci,https://www.google.com/maps/place/Plac+zabaw+dla+dzieci/data=!4m7!3m6!1s0x46fda1ff38d4eee5:0x39a6985483f83613!8m2!3d54.4514127!4d18.4558511!16s%2Fg%2F11sxwwqp7j!19sChIJ5e7UOP-h_UYREzb4g1SYpjk?authuser=0&hl=en&rclk=1
54.5170427,18.5381457,plac,Union Square,https://www.google.com/maps/place/Union+Square/data=!4m7!3m6!1s0x46fda76f192776a1:0x9f4694caefc3b9d6!8m2!3d54.5170427!4d18.5381457!16s%2Fg%2F11gxfy59wz!19sChIJoXYnGW-n_UYR1rnD78qURp8?authuser=0&hl=en&rclk=1
54.4355622,18.4644394,plac,Plac zabaw,https://www.google.com/maps/place/Plac+zabaw/data=!4m7!3m6!1s0x46fda123ca69f5d1:0x1f3995a4bd43c34e!8m2!3d54.4355622!4d18.4644394!16s%2Fg%2F11q2v_ldvk!19sChIJ0fVpyiOh_UYRTsNDvaSVOR8?authuser=0&hl=en&rclk=1
54.464034,18.4545723,plac,Osiedlowy plac zabaw,https://www.google.com/maps/place/Osiedlowy+plac+zabaw/data=!4m7!3m6!1s0x46fda1759d4671cd:0x3ae5102829a02060!8m2!3d54.464034!4d18.4545723!16s%2Fg%2F11hst3db0f!19sChIJzXFGnXWh_UYRYCCgKSgQ5To?authuser=0&hl=en&rclk=1
54.466839,18.4643511,plac,Plac zabaw z trampolinami,https://www.google.com/maps/place/Plac+zabaw+z+trampolinami/data=!4m7!3m6!1s0x46fda1f25c4cb473:0x2a6410ad8d5547ec!8m2!3d54.466839!4d18.4643511!16s%2Fg%2F11nxr5zvcl!19sChIJc7RMXPKh_UYR7EdVja0QZCo?authuser=0&hl=en&rclk=1
54.4676032,18.466529,plac,Plac zabaw,https://www.google.com/maps/place/Plac+zabaw/data=!4m7!3m6!1s0x46fda13af58ff9e9:0xa435112e1e03b6bb!8m2!3d54.4676032!4d18.466529!16s%2Fg%2F11gjh9yq2l!19sChIJ6fmP9Tqh_UYRu7YDHi4RNaQ?authuser=0&hl=en&rclk=1
54.4271427,18.4626424,plac,Plac zabaw,https://www.google.com/maps/place/Plac+zabaw/data=!4m7!3m6!1s0x46fda11558f03b65:0x400bd9af7ef4e07e!8m2!3d54.4271427!4d18.4626424!16s%2Fg%2F11fkxjqsv7!19sChIJZTvwWBWh_UYRfuD0fq_ZC0A?authuser=0&hl=en&rclk=1
