lat,lon,type,title,link
54.4187438,18.4432094,plaza,Plaża Osowa,https://www.google.com/maps/place/Pla%C5%BCa+Osowa/data=!4m7!3m6!1s0x46fd9fa8ace6ccf5:0x92b169217d0a3fdc!8m2!3d54.4187438!4d18.4432094!16s%2Fg%2F11nn3mrbkx!19sChIJ9czmrKif_UYR3D8KfSFpsZI?authuser=0&hl=en&rclk=1
54.515947,18.550527,plaza,Gdynia City Beach,https://www.google.com/maps/place/Gdynia+City+Beach/data=!4m7!3m6!1s0x46fda739e71df23d:0x597d1638077e3533!8m2!3d54.515947!4d18.550527!16s%2Fg%2F11by_lzk0b!19sChIJPfId5zmn_UYRMzV-BzgWfVk?authuser=0&hl=en&rclk=1
54.4523298,18.5659954,plaza,Plaża w Sopocie,https://www.google.com/maps/place/Pla%C5%BCa+w+Sopocie/data=!4m7!3m6!1s0x46fd0a889cdccb93:0x23c9cf80653fdfe9!8m2!3d54.4523298!4d18.5659954!16s%2Fg%2F11d_8l_vx4!19sChIJk8vcnIgK_UYR6d8_ZYDPySM?authuser=0&hl=en&rclk=1
54.4108497,18.6295492,plaza,Plaza,https://www.google.com/maps/place/Plaza/data=!4m7!3m6!1s0x46fd0b4e2fe115bf:0x1236388882eb27d5!8m2!3d54.4108497!4d18.6295492!16s%2Fg%2F11kkyq73f6!19sChIJvxXhL04L_UYR1Sfrgog4NhI?authuser=0&hl=en&rclk=1
54.3481408,18.6571304,plaza,DEO PLAZA Biuro Sprzedaży,https://www.google.com/maps/place/DEO+PLAZA+Biuro+Sprzeda%C5%BCy/data=!4m10!3m9!1s0x46fd73a0f2785be3:0xaf045d908b3feedc!5m2!4m1!1i2!8m2!3d54.3481408!4d18.6571304!16s%2Fg%2F11cp7r3jgq!19sChIJ41t48qBz_UYR3O4_i5BdBK8?authuser=0&hl=en&rclk=1
54.5158448,18.5414371,plaza,BALTIQ PLAZA,https://www.google.com/maps/place/BALTIQ+PLAZA/data=!4m7!3m6!1s0x46fda7300b9b0143:0x1bbb318ef8fd23ef!8m2!3d54.5158448!4d18.5414371!16s%2Fg%2F11b6d6562b!19sChIJQwGbCzCn_UYR7yP9-I4xuxs?authuser=0&hl=en&rclk=1
54.5165098,18.5414783,plaza,Baltic Plaza Gdynia,https://www.google.com/maps/place/Baltic+Plaza+Gdynia/data=!4m10!3m9!1s0x46fda73aa758cb79:0xf5d622d47124fe14!5m2!4m1!1i2!8m2!3d54.5165098!4d18.5414783!16s%2Fg%2F11ddwvjp__!19sChIJectYpzqn_UYRFP4kcdQi1vU?authuser=0&hl=en&rclk=1
53.0155126,18.5621309,plaza,Toruń Plaza,https://www.google.com/maps/place/Toru%C5%84+Plaza/data=!4m7!3m6!1s0x470335b2145ac82b:0x3f2dfd39583434cb!8m2!3d53.0155126!4d18.5621309!16s%2Fg%2F123921x2!19sChIJK8haFLI1A0cRyzQ0WDn9LT8?authuser=0&hl=en&rclk=1
54.5153309,18.5503392,plaza,Plaża Miejska,https://www.google.com/maps/place/Pla%C5%BCa+Miejska/data=!4m7!3m6!1s0x46fda739e4ecf015:0x2aefe73e6458799!8m2!3d54.5153309!4d18.5503392!16s%2Fg%2F11h06m0fx!19sChIJFfDs5Dmn_UYRmYdF5nP-rgI?authuser=0&hl=en&rclk=1
54.4229215,18.6037552,plaza,Plaża Jelitkowo,https://www.google.com/maps/place/Pla%C5%BCa+Jelitkowo/data=!4m7!3m6!1s0x46fd0b213cd40bbb:0xe4cc2bca88d568b7!8m2!3d54.4229215!4d18.6037552!16s%2Fg%2F12vs9v4p2!19sChIJuwvUPCEL_UYRt2jViMorzOQ?authuser=0&hl=en&rclk=1
54.4670349,18.562352,plaza,Psia Plaża,https://www.google.com/maps/place/Psia+Pla%C5%BCa/data=!4m7!3m6!1s0x46fda64d11f080b9:0xcb23beafec3572ce!8m2!3d54.4670349!4d18.562352!16s%2Fg%2F12hr8qg7z!19sChIJuYDwEU2m_UYRznI17K--I8s?authuser=0&hl=en&rclk=1
54.5739503,18.5485911,plaza,Plaża Gdynia,https://www.google.com/maps/place/Pla%C5%BCa+Gdynia/data=!4m7!3m6!1s0x46fda71aeed2d6c9:0x69df4b76b9d8321e!8m2!3d54.5739503!4d18.5485911!16s%2Fg%2F11mn7mx01m!19sChIJydbS7hqn_UYRHjLYuXZL32k?authuser=0&hl=en&rclk=1
