lat,lon,type,title,link
54.443255,18.420382,pralnia,Pralnia Albinos - Oddział Chwaszczyno,https://www.google.com/maps/place/Pralnia+Albinos+-+Oddzia%C5%82+Chwaszczyno/data=!4m7!3m6!1s0x46fda1ef4190b4e7:0x68ce8ed37be6f891!8m2!3d54.443255!4d18.420382!16s%2Fg%2F11fkjchyhn!19sChIJ57SQQe-h_UYRkfjme9OOzmg?authuser=0&hl=en&rclk=1
54.4738362,18.4746556,pralnia,Pralnia Viva Ekologia - Gdynia,https://www.google.com/maps/place/Pralnia+Viva+Ekologia+-+Gdynia/data=!4m7!3m6!1s0x46fda1062dadce43:0x7408612177eb9a00!8m2!3d54.4738362!4d18.4746556!16s%2Fg%2F1hhl8x5lp!19sChIJQ86tLQah_UYRAJrrdyFhCHQ?authuser=0&hl=en&rclk=1
54.4786182,18.5524689,pralnia,Pralnia Chemiczna Szyk,https://www.google.com/maps/place/Pralnia+Chemiczna+Szyk/data=!4m7!3m6!1s0x46fda09850cd08bf:0x9ab29983dfd80483!8m2!3d54.4786182!4d18.5524689!16s%2Fg%2F1tp1xj04!19sChIJvwjNUJig_UYRgwTY34OZspo?authuser=0&hl=en&rclk=1
54.4601459,18.4547912,pralnia,HTS Baltica Sp. o.o.,https://www.google.com/maps/place/HTS+Baltica+Sp.+o.o./data=!4m7!3m6!1s0x46fda1bc9b72043d:0xee0f9f2850ed13e!8m2!3d54.4601459!4d18.4547912!16s%2Fg%2F1th80mx8!19sChIJPQRym7yh_UYRPtEOhfL54A4?authuser=0&hl=en&rclk=1
54.5204067,18.5405401,pralnia,SPEED QUEEN Pralnia Samoobsługowa LAUNDROMAT,https://www.google.com/maps/place/SPEED+QUEEN+Pralnia+Samoobs%C5%82ugowa+LAUNDROMAT/data=!4m7!3m6!1s0x46fda724c2790e55:0x4b7f0242e5d11e2c!8m2!3d54.5204067!4d18.5405401!16s%2Fg%2F11c5bp6bpm!19sChIJVQ55wiSn_UYRLB7R5UICf0s?authuser=0&hl=en&rclk=1
54.5499624,18.4413649,pralnia,Pralnia BIELIK,https://www.google.com/maps/place/Pralnia+BIELIK/data=!4m7!3m6!1s0x46fda438cfa5ca81:0x90876820da8e4b38!8m2!3d54.5499624!4d18.4413649!16s%2Fg%2F1thl43cd!19sChIJgcqlzzik_UYROEuO2iBoh5A?authuser=0&hl=en&rclk=1
54.55053,18.436759,pralnia,Pralnia Cichowscy,https://www.google.com/maps/place/Pralnia+Cichowscy/data=!4m7!3m6!1s0x46fda4474998dc61:0x7836f9c1aa9e2339!8m2!3d54.55053!4d18.436759!16s%2Fg%2F1tcw6wkk!19sChIJYdyYSUek_UYROSOeqsH5Nng?authuser=0&hl=en&rclk=1
54.426881,18.5617909,pralnia,Pralnia BIELLUX,https://www.google.com/maps/place/Pralnia+BIELLUX/data=!4m7!3m6!1s0x46fd0ad5d0590a25:0xdf905b7d50802cf2!8m2!3d54.426881!4d18.5617909!16s%2Fg%2F11gf09kxqg!19sChIJJQpZ0NUK_UYR8iyAUH1bkN8?authuser=0&hl=en&rclk=1
54.4019163,18.5743387,pralnia,FJORD Pralnia Proekologiczna,https://www.google.com/maps/place/FJORD+Pralnia+Proekologiczna/data=!4m7!3m6!1s0x46fd752ecb40406f:0x5efabe8a55a353f9!8m2!3d54.4019163!4d18.5743387!16s%2Fg%2F11hd6lfrrv!19sChIJb0BAyy51_UYR-VOjVYq--l4?authuser=0&hl=en&rclk=1
54.4098415,18.6034869,pralnia,Pralnia BIEL-POL,https://www.google.com/maps/place/Pralnia+BIEL-POL/data=!4m7!3m6!1s0x46fd0b2dd0f10497:0xdd0e663bf97bb1c3!8m2!3d54.4098415!4d18.6034869!16s%2Fg%2F11h0w_cfm!19sChIJlwTx0C0L_UYRw7F7-TtmDt0?authuser=0&hl=en&rclk=1
54.4387381,18.5735744,pralnia,"Pralnia Wodna ""Lux""",https://www.google.com/maps/place/Pralnia+Wodna+%22Lux%22/data=!4m7!3m6!1s0x46fd0a934c5e41c7:0x5c2aba83d780e0d!8m2!3d54.4387381!4d18.5735744!16s%2Fg%2F11hdltsbwq!19sChIJx0FeTJMK_UYRDQ54PairwgU?authuser=0&hl=en&rclk=1
54.4099831,18.5973014,pralnia,Self-service laundry Gdańsk Gdynia Speed ​​Queen Laundry,https://www.google.com/maps/place/Self-service+laundry+Gda%C5%84sk+Gdynia+Speed+%E2%80%8B%E2%80%8BQueen+Laundry/data=!4m7!3m6!1s0x46fd0b2bf32c0fff:0xad0e990d0763b3d7!8m2!3d54.4099831!4d18.5973014!16s%2Fg%2F11g879qx4v!19sChIJ_w8s8ysL_UYR17NjBw2ZDq0?authuser=0&hl=en&rclk=1
54.3774064,18.6070453,pralnia,TU Pralnia - Pralnia Gdańsk,https://www.google.com/maps/place/TU+Pralnia+-+Pralnia+Gda%C5%84sk/data=!4m7!3m6!1s0x46fd74945ceb1027:0x176c74e8efaf2f9c!8m2!3d54.3774064!4d18.6070453!16s%2Fg%2F11gfkbrbcb!19sChIJJxDrXJR0_UYRnC-v7-h0bBc?authuser=0&hl=en&rclk=1
54.4206694,18.579383,pralnia,Pralnia M. Chrulski,https://www.google.com/maps/place/Pralnia+M.+Chrulski/data=!4m7!3m6!1s0x46fd0adab3ce27d1:0x77905ad63779e0b0!8m2!3d54.4206694!4d18.579383!16s%2Fg%2F1w0p49lk!19sChIJ0SfOs9oK_UYRsOB5N9ZakHc?authuser=0&hl=en&rclk=1
54.4131049,18.5976753,pralnia,Pralnia Super Biel,https://www.google.com/maps/place/Pralnia+Super+Biel/data=!4m7!3m6!1s0x46fd0b29eb62b957:0x825de0d7ef23335!8m2!3d54.4131049!4d18.5976753!16s%2Fg%2F1tfll3pk!19sChIJV7li6ykL_UYRNTPyfg3eJQg?authuser=0&hl=en&rclk=1
54.438055,18.561144,pralnia,"Pralnia chemiczna ""Bąbel""",https://www.google.com/maps/place/Pralnia+chemiczna+%22B%C4%85bel%22/data=!4m7!3m6!1s0x46fd0a96e6677d17:0xf79bdfdf2c7d3c33!8m2!3d54.438055!4d18.561144!16s%2Fg%2F11g6w3hlxp!19sChIJF31n5pYK_UYRMzx9LN_fm_c?authuser=0&hl=en&rclk=1
54.4099594,18.6031141,pralnia,Dry Carpet Super Standard,https://www.google.com/maps/place/Dry+Carpet+Super+Standard/data=!4m7!3m6!1s0x46fd0b2dd5b7dc7b:0x28e8ecabcdabd096!8m2!3d54.4099594!4d18.6031141!16s%2Fg%2F1tf7fc21!19sChIJe9y31S0L_UYRltCrzavs6Cg?authuser=0&hl=en&rclk=1
54.44054,18.553476,pralnia,Ajan,https://www.google.com/maps/place/Ajan/data=!4m7!3m6!1s0x46fd0a99841bd21b:0xee4ad67c5d333b6f!8m2!3d54.44054!4d18.553476!16s%2Fg%2F1tc_pq25!19sChIJG9IbhJkK_UYRbzszXXzWSu4?authuser=0&hl=en&rclk=1
54.3903038,18.6121327,pralnia,Pralnia do domu.pl,https://www.google.com/maps/place/Pralnia+do+domu.pl/data=!4m7!3m6!1s0x46fd73f707ce072d:0x93fa161a69787cad!8m2!3d54.3903038!4d18.6121327!16s%2Fg%2F12hvhf61h!19sChIJLQfOB_dz_UYRrXx4aRoW-pM?authuser=0&hl=en&rclk=1
54.408233,18.465975,pralnia,Pralnia Kroso Sp.z o.o. Sp.K.,https://www.google.com/maps/place/Pralnia+Kroso+Sp.z+o.o.+Sp.K./data=!4m7!3m6!1s0x46fda1ba16e94073:0xd41e76eeeaa535aa!8m2!3d54.408233!4d18.465975!16s%2Fg%2F11f_lwfq20!19sChIJc0DpFrqh_UYRqjWl6u52HtQ?authuser=0&hl=en&rclk=1
54.4255977,18.4915184,pralnia,Pralnia EBS C.H. Osowa Gdańsk. Pralnia Gdańsk.,https://www.google.com/maps/place/Pralnia+EBS+C.H.+Osowa+Gda%C5%84sk.+Pralnia+Gda%C5%84sk./data=!4m7!3m6!1s0x46fda021b0dcf835:0xf147f6e54f2b64d2!8m2!3d54.4255977!4d18.4915184!16s%2Fg%2F1td5vvq_!19sChIJNfjcsCGg_UYR0mQrT-X2R_E?authuser=0&hl=en&rclk=1
54.4162415,18.5579142,pralnia,LERAM - PRALNIA / KRAWIEC / PASMANTERIA,https://www.google.com/maps/place/LERAM+-+PRALNIA+%2F+KRAWIEC+%2F+PASMANTERIA/data=!4m7!3m6!1s0x46fd0bad97962327:0x7566cf778903d487!8m2!3d54.4162415!4d18.5579142!16s%2Fg%2F11hzmh4q7n!19sChIJJyOWl60L_UYRh9QDiXfPZnU?authuser=0&hl=en&rclk=1
54.3925306,18.5976942,pralnia,Moja Pralnia,https://www.google.com/maps/place/Moja+Pralnia/data=!4m7!3m6!1s0x46fd751e0fa6741f:0xea5d9ffd167ef93a!8m2!3d54.3925306!4d18.5976942!16s%2Fg%2F11gmch5n9j!19sChIJH3SmDx51_UYROvl-Fv2fXeo?authuser=0&hl=en&rclk=1
54.4351069,18.5550097,pralnia,Clean International Sp. z o.o. j.v.,https://www.google.com/maps/place/Clean+International+Sp.+z+o.o.+j.v./data=!4m7!3m6!1s0x46fd0a97e23d9dd3:0x48c155b481ead549!8m2!3d54.4351069!4d18.5550097!16s%2Fg%2F1th55p8b!19sChIJ05094pcK_UYRSdXqgbRVwUg?authuser=0&hl=en&rclk=1
54.393728,18.401136,pralnia,Pralnia Albinos - Oddział Banino,https://www.google.com/maps/place/Pralnia+Albinos+-+Oddzia%C5%82+Banino/data=!4m7!3m6!1s0x46fd9f1d60352025:0x8957feb594a9e890!8m2!3d54.393728!4d18.401136!16s%2Fg%2F11h8jzrvks!19sChIJJSA1YB2f_UYRkOiplLX-V4k?authuser=0&hl=en&rclk=1
54.3322372,18.5641536,pralnia,Top Pralnia Jabłoniowa,https://www.google.com/maps/place/Top+Pralnia+Jab%C5%82oniowa/data=!4m7!3m6!1s0x46fd7555849a0585:0x4415114e43fbade!8m2!3d54.3322372!4d18.5641536!16s%2Fg%2F11gtsgd425!19sChIJhQWahFV1_UYR3ro_5BRRQQQ?authuser=0&hl=en&rclk=1
54.3966265,18.603442,pralnia,O'Laundry,https://www.google.com/maps/place/O'Laundry/data=!4m7!3m6!1s0x46fd75ac7d0179b3:0x8f72368d6aadd738!8m2!3d54.3966265!4d18.603442!16s%2Fg%2F11fsd52jvl!19sChIJs3kBfax1_UYRONetao02co8?authuser=0&hl=en&rclk=1
54.4039701,18.3977412,pralnia,Pralnia Banino,https://www.google.com/maps/place/Pralnia+Banino/data=!4m7!3m6!1s0x4b0ad60c6edead37:0xaad22ef90a9cfbe5!8m2!3d54.4039701!4d18.3977412!16s%2Fg%2F11t8h0px95!19sChIJN63ebgzWCksR5fucCvku0qo?authuser=0&hl=en&rclk=1
54.390122,18.6104566,pralnia,Pralnia EBS,https://www.google.com/maps/place/Pralnia+EBS/data=!4m7!3m6!1s0x46fd7574c4169a91:0x4809f094c9b5f500!8m2!3d54.390122!4d18.6104566!16s%2Fg%2F11h27yb6vn!19sChIJkZoWxHR1_UYRAPW1yZTwCUg?authuser=0&hl=en&rclk=1
