lat,lon,type,title,link
54.4460409,18.4230929,przystanek,Chwaszczyno - Wiejska 01,https://www.google.com/maps/place/Chwaszczyno+-+Wiejska+01/data=!4m7!3m6!1s0x46fda1ef0abef159:0xc9dae8e89ba9794d!8m2!3d54.4460409!4d18.4230929!16s%2Fg%2F11h2p7362l!19sChIJWfG-Cu-h_UYRTXmpm-jo2sk?authuser=0&hl=en&rclk=1
54.4440838,18.4198531,przystanek,Chwaszczyno 02,https://www.google.com/maps/place/Chwaszczyno+02/data=!4m7!3m6!1s0x46fda1e56947f473:0xf465f018551ea9e1!8m2!3d54.4440838!4d18.4198531!16s%2Fg%2F11fj9c2zpd!19sChIJc_RHaeWh_UYR4akeVRjwZfQ?authuser=0&hl=en&rclk=1
54.4484317,18.429391,przystanek,Gdyńska,https://www.google.com/maps/place/Gdy%C5%84ska/data=!4m7!3m6!1s0x46fda1e9463ba731:0x757a762b55831138!8m2!3d54.4484317!4d18.429391!16s%2Fg%2F11fj9c8x9z!19sChIJMac7Rumh_UYROBGDVSt2enU?authuser=0&hl=en&rclk=1
54.4422785,18.4448772,przystanek,Chwaszczyno - Oliwska 02,https://www.google.com/maps/place/Chwaszczyno+-+Oliwska+02/data=!4m7!3m6!1s0x46fda1c4c099a5eb:0x3bb0e58011a0f4db!8m2!3d54.4422785!4d18.4448772!16s%2Fg%2F11h2p6zlsp!19sChIJ66WZwMSh_UYR2_SgEYDlsDs?authuser=0&hl=en&rclk=1
54.4430663,18.416142,przystanek,Przystanek APTEKA Chwaszczyno,https://www.google.com/maps/place/Przystanek+APTEKA+Chwaszczyno/data=!4m7!3m6!1s0x46fda1fad48a1b23:0x9edfee0333be0b93!8m2!3d54.4430663!4d18.416142!16s%2Fg%2F11hbn1m72d!19sChIJIxuK1Pqh_UYRkwu-MwPu354?authuser=0&hl=en&rclk=1
54.423498,18.472268,przystanek,Przystanek Mozaika,https://www.google.com/maps/place/Przystanek+Mozaika/data=!4m7!3m6!1s0x46fd9f87c85a74fb:0x754466b279b32f03!8m2!3d54.423498!4d18.472268!16s%2Fg%2F1td4c7b4!19sChIJ-3RayIef_UYRAy-zebJmRHU?authuser=0&hl=en&rclk=1
54.4690009,18.5058639,przystanek,Przystanek,https://www.google.com/maps/place/Przystanek/data=!4m7!3m6!1s0x46fda13d6c1b2fd1:0x15b5e519d60ec4be!8m2!3d54.4690009!4d18.5058639!16s%2Fg%2F11sgj4z2r0!19sChIJ0S8bbD2h_UYRvsQO1hnltRU?authuser=0&hl=en&rclk=1
54.4934582,18.4360577,przystanek,Przystanek Kebab,https://www.google.com/maps/place/Przystanek+Kebab/data=!4m7!3m6!1s0x46fda1482bdc866d:0x39cd2b2822edc04c!8m2!3d54.4934582!4d18.4360577!16s%2Fg%2F11nfzv8291!19sChIJbYbcK0ih_UYRTMDtIigrzTk?authuser=0&hl=en&rclk=1
54.4997833,18.4332062,przystanek,Przystanek Wakacje,https://www.google.com/maps/place/Przystanek+Wakacje/data=!4m7!3m6!1s0x46fda3ef91190835:0x4b07f7385a8c517c!8m2!3d54.4997833!4d18.4332062!16s%2Fg%2F11rsqlvlb_!19sChIJNQgZke-j_UYRfFGMWjj3B0s?authuser=0&hl=en&rclk=1
54.3885529,18.4213886,przystanek,Rębiechowo - Przystanek kolejowy,https://www.google.com/maps/place/R%C4%99biechowo+-+Przystanek+kolejowy/data=!4m7!3m6!1s0x46fd9f020f518cfd:0xb16733fb85482731!8m2!3d54.3885529!4d18.4213886!16s%2Fg%2F11c2kb_x2p!19sChIJ_YxRDwKf_UYRMSdIhfszZ7E?authuser=0&hl=en&rclk=1
54.480886,18.5521604,przystanek,Przystanek Orłowo,https://www.google.com/maps/place/Przystanek+Or%C5%82owo/data=!4m7!3m6!1s0x46fda0980acf6937:0x79d6648bda6f140a!8m2!3d54.480886!4d18.5521604!16s%2Fg%2F11bxfkx7k7!19sChIJN2nPCpig_UYRChRv2otk1nk?authuser=0&hl=en&rclk=1
