lat,lon,type,title,link
54.4350733,18.467399,pub,Pub Leon,https://www.google.com/maps/place/Pub+Leon/data=!4m7!3m6!1s0x46fda02d1c9deb21:0xa3ae9068fe28cec!8m2!3d54.4350733!4d18.467399!16s%2Fg%2F11c58x96_h!19sChIJIeudHC2g_UYR7IzijwbpOgo?authuser=0&hl=en&rclk=1
54.4467291,18.4241592,pub,Gorący Piec,https://www.google.com/maps/place/Gor%C4%85cy+Piec/data=!4m7!3m6!1s0x46fd9f5623ed5741:0xb22ea245eab92918!8m2!3d54.4467291!4d18.4241592!16s%2Fg%2F11bzs2rnvq!19sChIJQVftI1af_UYRGCm56kWiLrI?authuser=0&hl=en&rclk=1
54.4690253,18.5037297,pub,Pub u Sąsiadów,https://www.google.com/maps/place/Pub+u+S%C4%85siad%C3%B3w/data=!4m7!3m6!1s0x46fda0f9b681da59:0x85de60d9020dcc5a!8m2!3d54.4690253!4d18.5037297!16s%2Fg%2F11hc_2x3dn!19sChIJWdqBtvmg_UYRWswNAtlg3oU?authuser=0&hl=en&rclk=1
54.431072,18.473274,pub,Pizzeria Pub Sabroso,https://www.google.com/maps/place/Pizzeria+Pub+Sabroso/data=!4m7!3m6!1s0x46fda02ecc684c39:0x96023a84b515e6d0!8m2!3d54.431072!4d18.473274!16s%2Fg%2F1tv22vsx!19sChIJOUxozC6g_UYR0OYVtYQ6ApY?authuser=0&hl=en&rclk=1
54.5186735,18.5424491,pub,The Dockers Inn Pub,https://www.google.com/maps/place/The+Dockers+Inn+Pub/data=!4m7!3m6!1s0x46fda73b9617c855:0x437bd48aaa8fdf23!8m2!3d54.5186735!4d18.5424491!16s%2Fg%2F1td1t406!19sChIJVcgXljun_UYRI9-PqorUe0M?authuser=0&hl=en&rclk=1
54.5205556,18.5361111,pub,Pub Donegal,https://www.google.com/maps/place/Pub+Donegal/data=!4m7!3m6!1s0x46fda7244a3332df:0x7a3f0b8884fbe00c!8m2!3d54.5205556!4d18.5361111!16s%2Fg%2F1ts1lbgx!19sChIJ3zIzSiSn_UYRDOD7hIgLP3o?authuser=0&hl=en&rclk=1
54.4206273,18.5677599,pub,Pub Play Off,https://www.google.com/maps/place/Pub+Play+Off/data=!4m7!3m6!1s0x46fd0b2272816073:0xff41df3b4173dc2f!8m2!3d54.4206273!4d18.5677599!16s%2Fg%2F11s956pp_b!19sChIJc2CBciIL_UYRL9xzQTvfQf8?authuser=0&hl=en&rclk=1
54.3918333,18.5773663,pub,Pub Spółdzielnia,https://www.google.com/maps/place/Pub+Sp%C3%B3%C5%82dzielnia/data=!4m7!3m6!1s0x46fd74d8ad96a679:0xdd18db166110a71e!8m2!3d54.3918333!4d18.5773663!16s%2Fg%2F11b73_j2y8!19sChIJeaaWrdh0_UYRHqcQYRbbGN0?authuser=0&hl=en&rclk=1
54.435069,18.4673868,pub,Burgery Osowa,https://www.google.com/maps/place/Burgery+Osowa/data=!4m7!3m6!1s0x46fda02d1c9d0001:0x32e6cb4e718d100f!8m2!3d54.435069!4d18.4673868!16s%2Fg%2F11fmxzlx70!19sChIJAQCdHC2g_UYRDxCNcU7L5jI?authuser=0&hl=en&rclk=1
54.444067,18.5693029,pub,Małe Piwko Sopot Pizza & Beer House,https://www.google.com/maps/place/Ma%C5%82e+Piwko+Sopot+Pizza+%26+Beer+House/data=!4m7!3m6!1s0x46fd0a92075446e9:0xf3843a47d555b142!8m2!3d54.444067!4d18.5693029!16s%2Fg%2F11gz98_qp!19sChIJ6UZUB5IK_UYRQrFV1Uc6hPM?authuser=0&hl=en&rclk=1
54.4097063,18.5714648,pub,Pro'Rock Pub,https://www.google.com/maps/place/Pro'Rock+Pub/data=!4m7!3m6!1s0x46fd754ac484304b:0xb44164214dc9dbe7!8m2!3d54.4097063!4d18.5714648!16s%2Fg%2F11t1h2dfhq!19sChIJSzCExEp1_UYR59vJTSFkQbQ?authuser=0&hl=en&rclk=1
54.4431135,18.5603224,pub,No.5,https://www.google.com/maps/place/No.5/data=!4m7!3m6!1s0x46fd0baf14659a7b:0x75ae68550b24dfaf!8m2!3d54.4431135!4d18.5603224!16s%2Fg%2F11h5s42wlq!19sChIJe5plFK8L_UYRr98kC1VornU?authuser=0&hl=en&rclk=1
54.4417466,18.5620642,pub,Avangarda Beers & More,https://www.google.com/maps/place/Avangarda+Beers+%26+More/data=!4m7!3m6!1s0x46fd0a90fca6ee1d:0xe734e9db7b76c913!8m2!3d54.4417466!4d18.5620642!16s%2Fg%2F11hbgs5w2b!19sChIJHe6m_JAK_UYRE8l2e9vpNOc?authuser=0&hl=en&rclk=1
54.443593,18.56467,pub,Jack's Bar Sopot,https://www.google.com/maps/place/Jack's+Bar+Sopot/data=!4m7!3m6!1s0x46fd0a91c8e48b25:0xea9ace1d9b53c3a5!8m2!3d54.443593!4d18.56467!16s%2Fg%2F11cs697cfc!19sChIJJYvkyJEK_UYRpcNTmx3Omuo?authuser=0&hl=en&rclk=1
54.4464565,18.5658549,pub,"Najlepszy tatar i shoty w Sopocie, mecze na żywo - Szczęśliwego Nowego Jorku","https://www.google.com/maps/place/Najlepszy+tatar+i+shoty+w+Sopocie,+mecze+na+%C5%BCywo+-+Szcz%C4%99%C5%9Bliwego+Nowego+Jorku/data=!4m7!3m6!1s0x46fd0bd8ed8ea873:0x2db9b08bd545b878!8m2!3d54.4464565!4d18.5658549!16s%2Fg%2F11s9k5fpfp!19sChIJc6iO7dgL_UYReLhF1YuwuS0?authuser=0&hl=en&rclk=1"
