lat,lon,type,title,link
54.439783,18.4207517,public transport,Przewozy Autokarowe Adrian - wynajem busów i autokarów,https://www.google.com/maps/place/Przewozy+Autokarowe+Adrian+-+wynajem+bus%C3%B3w+i+autokar%C3%B3w/data=!4m7!3m6!1s0x46fda1e472d62719:0x8424ec4dfca39593!8m2!3d54.439783!4d18.4207517!16s%2Fg%2F11b75fh8gg!19sChIJGSfWcuSh_UYRk5Wj_E3sJIQ?authuser=0&hl=en&rclk=1
54.475871,18.5044277,public transport,Marcin Gromadzki Public Transport Consulting,https://www.google.com/maps/place/Marcin+Gromadzki+Public+Transport+Consulting/data=!4m7!3m6!1s0x46fda1af9b09a371:0x898bde1546c90c09!8m2!3d54.475871!4d18.5044277!16s%2Fg%2F11fm161y3k!19sChIJcaMJm6-h_UYRCQzJRhXei4k?authuser=0&hl=en&rclk=1
54.3874432,18.4462403,public transport,Gdańsk Rębiechowo railway station,https://www.google.com/maps/place/Gda%C5%84sk+R%C4%99biechowo+railway+station/data=!4m7!3m6!1s0x46fd9fad98aac09f:0x8054a071b74814ee!8m2!3d54.3874432!4d18.4462403!16s%2Fg%2F11b5m497hc!19sChIJn8CqmK2f_UYR7hRIt3GgVIA?authuser=0&hl=en&rclk=1
54.462778,18.4551818,public transport,Gdynia Leśna Polana 01,https://www.google.com/maps/place/Gdynia+Le%C5%9Bna+Polana+01/data=!4m7!3m6!1s0x46fda1bccc10fca3:0x64c309a2f81fef4f!8m2!3d54.462778!4d18.4551818!16s%2Fg%2F11h4zqv23w!19sChIJo_wQzLyh_UYRT-8f-KIJw2Q?authuser=0&hl=en&rclk=1
54.3902664,18.3928246,public transport,MPA Poland Transport Osób,https://www.google.com/maps/place/MPA+Poland+Transport+Os%C3%B3b/data=!4m7!3m6!1s0x46fd752b679009d5:0x8a6fef309fc6896a!8m2!3d54.3902664!4d18.3928246!16s%2Fg%2F1tj3jry2!19sChIJ1QmQZyt1_UYRaonGnzDvb4o?authuser=0&hl=en&rclk=1
54.4851113,18.5476416,public transport,Transport Osobowy,https://www.google.com/maps/place/Transport+Osobowy/data=!4m7!3m6!1s0x46fd754b11e30f05:0x1ea39fdeb334c577!8m2!3d54.4851113!4d18.5476416!16s%2Fg%2F11fp1syp31!19sChIJBQ_jEUt1_UYRd8U0s96fox4?authuser=0&hl=en&rclk=1
54.52711,18.4743623,public transport,PolskaTaksówka.pl,https://www.google.com/maps/place/PolskaTaks%C3%B3wka.pl/data=!4m7!3m6!1s0x46fda136d33b8f2d:0xd6952e5883e4ff7b!8m2!3d54.52711!4d18.4743623!16s%2Fg%2F11mvnk48hz!19sChIJLY870zah_UYRe__kg1guldY?authuser=0&hl=en&rclk=1
54.520142,18.5388141,public transport,"GDYBUS - przewóz osób, wynajem autobusów z kierowcą, transport pasażerski","https://www.google.com/maps/place/GDYBUS+-+przew%C3%B3z+os%C3%B3b,+wynajem+autobus%C3%B3w+z+kierowc%C4%85,+transport+pasa%C5%BCerski/data=!4m7!3m6!1s0x46fda724fca25b29:0x8cf11c72341e1f52!8m2!3d54.520142!4d18.5388141!16s%2Fg%2F11f0kx005y!19sChIJKVui_CSn_UYRUh8eNHIc8Yw?authuser=0&hl=en&rclk=1"
54.1636904,18.1734727,public transport,"🚙 Crew Bus PRZEWÓZ OSÓB Gdańsk | Usługi transportowe, wynajem busów z kierowcą, transport na lotnisko, przewozy vip","https://www.google.com/maps/place/%F0%9F%9A%99+Crew+Bus+PRZEW%C3%93Z+OS%C3%93B+Gda%C5%84sk+%7C+Us%C5%82ugi+transportowe,+wynajem+bus%C3%B3w+z+kierowc%C4%85,+transport+na+lotnisko,+przewozy+vip/data=!4m7!3m6!1s0x46fd0bd71667ac8f:0xab46f51a7e16fa86!8m2!3d54.1636904!4d18.1734727!16s%2Fg%2F11gsbhk7cs!19sChIJj6xnFtcL_UYRhvoWfhr1Rqs?authuser=0&hl=en&rclk=1"
54.436517,18.5657439,public transport,Mich-Trans bus.net.pl,https://www.google.com/maps/place/Mich-Trans+bus.net.pl/data=!4m7!3m6!1s0x46fd0a944a115697:0x8f023dcc4a119b56!8m2!3d54.436517!4d18.5657439!16s%2Fg%2F1tf6qgyg!19sChIJl1YRSpQK_UYRVpsRSsw9Ao8?authuser=0&hl=en&rclk=1
