lat,lon,type,title,link
54.4395612,18.4202889,remonty,DEMPC Malowanie - Tapetowanie - Remonty,https://www.google.com/maps/place/DEMPC+Malowanie+-+Tapetowanie+-+Remonty/data=!4m7!3m6!1s0x46fda1e4e0f0da03:0x249568293d253be3!8m2!3d54.4395612!4d18.4202889!16s%2Fg%2F1hc3q52zw!19sChIJA9rw4OSh_UYR4zslPSlolSQ?authuser=0&hl=en&rclk=1
54.473319,18.4705221,remonty,REMONT EXPERT,https://www.google.com/maps/place/REMONT+EXPERT/data=!4m7!3m6!1s0x46fda160edaa89d7:0x76202ea09632a2b4!8m2!3d54.473319!4d18.4705221!16s%2Fg%2F11fstx37py!19sChIJ14mq7WCh_UYRtKIylqAuIHY?authuser=0&hl=en&rclk=1
54.4287592,18.4004691,remonty,"MalMal - remonty, wykończenia wnętrz","https://www.google.com/maps/place/MalMal+-+remonty,+wyko%C5%84czenia+wn%C4%99trz/data=!4m7!3m6!1s0x46fd0b12afc29199:0x806b09c8d913f504!8m2!3d54.4287592!4d18.4004691!16s%2Fg%2F11pf2kykxm!19sChIJmZHCrxIL_UYRBPUT2cgJa4A?authuser=0&hl=en&rclk=1"
54.4414658,18.4228269,remonty,Rendom. Usługi remontowo - budowlane,https://www.google.com/maps/place/Rendom.+Us%C5%82ugi+remontowo+-+budowlane/data=!4m7!3m6!1s0x46fda1e4e059358b:0x449b3fd58f16d0b5!8m2!3d54.4414658!4d18.4228269!16s%2Fg%2F1w9x_t6b!19sChIJizVZ4OSh_UYRtdAWj9U_m0Q?authuser=0&hl=en&rclk=1
54.4114593,18.3968066,remonty,Remonty-wykonczenia M.A.K.K House,https://www.google.com/maps/place/Remonty-wykonczenia+M.A.K.K+House/data=!4m7!3m6!1s0x46fd9f75ad9cacfb:0xa0b32cd9bd6ce39f!8m2!3d54.4114593!4d18.3968066!16s%2Fg%2F11swd6k5tw!19sChIJ-6ycrXWf_UYRn-Nsvdkss6A?authuser=0&hl=en&rclk=1
54.1636904,18.1734727,remonty,Remonty Kompleksowe Remoncik Bartłomiej Hewelt,https://www.google.com/maps/place/Remonty+Kompleksowe+Remoncik+Bart%C5%82omiej+Hewelt/data=!4m7!3m6!1s0x46fda23615888a43:0xddd1689221a06c59!8m2!3d54.1636904!4d18.1734727!16s%2Fg%2F124yfrqtr!19sChIJQ4qIFTai_UYRWWygIZJo0d0?authuser=0&hl=en&rclk=1
54.4867218,18.4272622,remonty,"Remontuj.pro - remonty, malarz, kafelkarz, elektryk, panele podłogowe, składanie mebli","https://www.google.com/maps/place/Remontuj.pro+-+remonty,+malarz,+kafelkarz,+elektryk,+panele+pod%C5%82ogowe,+sk%C5%82adanie+mebli/data=!4m7!3m6!1s0x46fda335d1dd2ed5:0xff191c6663569a94!8m2!3d54.4867218!4d18.4272622!16s%2Fg%2F11sfx1f7jt!19sChIJ1S7d0TWj_UYRlJpWY2YcGf8?authuser=0&hl=en&rclk=1"
54.4608563,18.4314486,remonty,Better - usługi remontowe,https://www.google.com/maps/place/Better+-+us%C5%82ugi+remontowe/data=!4m7!3m6!1s0x46fda1a0fbf9390f:0x1f72bab9429f6c99!8m2!3d54.4608563!4d18.4314486!16s%2Fg%2F11lpzbh6d3!19sChIJDzn5-6Ch_UYRmWyfQrm6ch8?authuser=0&hl=en&rclk=1
54.4431348,18.5597123,remonty,Remonty Trójmiasto,https://www.google.com/maps/place/Remonty+Tr%C3%B3jmiasto/data=!4m7!3m6!1s0x46fd0a907bff2b85:0xa40b84813986f182!8m2!3d54.4431348!4d18.5597123!16s%2Fg%2F11j2ybp4x2!19sChIJhSv_e5AK_UYRgvGGOYGEC6Q?authuser=0&hl=en&rclk=1
54.4490749,18.3183521,remonty,PRESTIGE REMONTY KAROL KOWAL Firma remontowa Gdańsk Wykończenia wnętrz Gdańsk Usługi remontowe,https://www.google.com/maps/place/PRESTIGE+REMONTY+KAROL+KOWAL+Firma+remontowa+Gda%C5%84sk+Wyko%C5%84czenia+wn%C4%99trz+Gda%C5%84sk+Us%C5%82ugi+remontowe/data=!4m7!3m6!1s0x46fda0b0822cc8ad:0x6721c2942b38a805!8m2!3d54.4490749!4d18.3183521!16s%2Fg%2F1tfbx4h_!19sChIJrcgsgrCg_UYRBag4K5TCIWc?authuser=0&hl=en&rclk=1
