lat,lon,type,title,link
54.4439217,18.4187984,restauracje,Restauracja Orchidea-R,https://www.google.com/maps/place/Restauracja+Orchidea-R/data=!4m7!3m6!1s0x46fda1e512860719:0xd14b11689a51d801!8m2!3d54.4439217!4d18.4187984!16s%2Fg%2F1tm__xz0!19sChIJGQeGEuWh_UYRAdhRmmgRS9E?authuser=0&hl=en&rclk=1
54.4467291,18.4241592,restauracje,Gorący Piec,https://www.google.com/maps/place/Gor%C4%85cy+Piec/data=!4m7!3m6!1s0x46fd9f5623ed5741:0xb22ea245eab92918!8m2!3d54.4467291!4d18.4241592!16s%2Fg%2F11bzs2rnvq!19sChIJQVftI1af_UYRGCm56kWiLrI?authuser=0&hl=en&rclk=1
54.4468244,18.4243737,restauracje,Osaka Sushi,https://www.google.com/maps/place/Osaka+Sushi/data=!4m7!3m6!1s0x46fda19e108cf989:0x11a95d7876bdbb1a!8m2!3d54.4468244!4d18.4243737!16s%2Fg%2F11g0mz62b1!19sChIJifmMEJ6h_UYRGru9dnhdqRE?authuser=0&hl=en&rclk=1
54.4439772,18.4104198,restauracje,Catering Syty Kociołek - Catering wojskowej kuchni polowej,https://www.google.com/maps/place/Catering+Syty+Kocio%C5%82ek+-+Catering+wojskowej+kuchni+polowej/data=!4m7!3m6!1s0x46fda1fbb613f297:0xc85ae6a7cfff70cb!8m2!3d54.4439772!4d18.4104198!16s%2Fg%2F11fy4g7dy4!19sChIJl_ITtvuh_UYRy3D_z6fmWsg?authuser=0&hl=en&rclk=1
54.4409484,18.4160511,restauracje,Pizzeria Mirena.,https://www.google.com/maps/place/Pizzeria+Mirena./data=!4m7!3m6!1s0x46fda1e4b09e1f2b:0xe360c94fd2f98a49!8m2!3d54.4409484!4d18.4160511!16s%2Fg%2F11c5_rsbjs!19sChIJKx-esOSh_UYRSYr50k_JYOM?authuser=0&hl=en&rclk=1
54.4694648,18.4666403,restauracje,Restauracja Piwniczka,https://www.google.com/maps/place/Restauracja+Piwniczka/data=!4m7!3m6!1s0x46fda1231fcdd1fb:0xe8b6b06a7e4a792c!8m2!3d54.4694648!4d18.4666403!16s%2Fg%2F11fk8dvzvd!19sChIJ-9HNHyOh_UYRLHlKfmqwtug?authuser=0&hl=en&rclk=1
54.4691455,18.501589,restauracje,Osteria Fino Gdynia,https://www.google.com/maps/place/Osteria+Fino+Gdynia/data=!4m7!3m6!1s0x46fda7501a92a487:0x1a7ab336c82cb20f!8m2!3d54.4691455!4d18.501589!16s%2Fg%2F11fjmtks54!19sChIJh6SSGlCn_UYRD7IsyDazeho?authuser=0&hl=en&rclk=1
54.480886,18.5521604,restauracje,Przystanek Orłowo,https://www.google.com/maps/place/Przystanek+Or%C5%82owo/data=!4m7!3m6!1s0x46fda0980acf6937:0x79d6648bda6f140a!8m2!3d54.480886!4d18.5521604!16s%2Fg%2F11bxfkx7k7!19sChIJN2nPCpig_UYRChRv2otk1nk?authuser=0&hl=en&rclk=1
54.453428,18.563051,restauracje,Restauracja Manca,https://www.google.com/maps/place/Restauracja+Manca/data=!4m7!3m6!1s0x46fd0a865283eed1:0xbc80f30507df8223!8m2!3d54.453428!4d18.563051!16s%2Fg%2F11crzd_7vs!19sChIJ0e6DUoYK_UYRI4LfBwXzgLw?authuser=0&hl=en&rclk=1
54.4435883,18.5672779,restauracje,Sztuczka Bistro i Wino,https://www.google.com/maps/place/Sztuczka+Bistro+i+Wino/data=!4m7!3m6!1s0x46fd0a91f03f1553:0x4d35de24c06c1072!8m2!3d54.4435883!4d18.5672779!16s%2Fg%2F11c72lx7qm!19sChIJUxU_8JEK_UYRchBswCTeNU0?authuser=0&hl=en&rclk=1
54.4427754,18.5627681,restauracje,Restauracja Grino,https://www.google.com/maps/place/Restauracja+Grino/data=!4m7!3m6!1s0x46fd0b28fde800fd:0xb57ad91c8980d1f8!8m2!3d54.4427754!4d18.5627681!16s%2Fg%2F11rghwmnzb!19sChIJ_QDo_SgL_UYR-NGAiRzZerU?authuser=0&hl=en&rclk=1
