lat,lon,type,title,link
54.4449854,18.4232174,school,Przedszkole Niepubliczne Smoczek,https://www.google.com/maps/place/Przedszkole+Niepubliczne+Smoczek/data=!4m7!3m6!1s0x46fda1e4e05c13cd:0x7c5db8790912715d!8m2!3d54.4449854!4d18.4232174!16s%2Fg%2F1tx45qyy!19sChIJzRNc4OSh_UYRXXESCXm4XXw?authuser=0&hl=en&rclk=1
54.5246375,18.5120215,school,Gdynia International School - Preschool and Primary School,https://www.google.com/maps/place/Gdynia+International+School+-+Preschool+and+Primary+School/data=!4m7!3m6!1s0x46fda7356bfe1751:0x7f2725bc9e790889!8m2!3d54.5246375!4d18.5120215!16s%2Fg%2F1pp2xbb32!19sChIJURf-azWn_UYRiQh5nrwlJ38?authuser=0&hl=en&rclk=1
54.4433131,18.4169423,school,MyTime centrum językowe dla dzieci i młodzieży,https://www.google.com/maps/place/MyTime+centrum+j%C4%99zykowe+dla+dzieci+i+m%C5%82odzie%C5%BCy/data=!4m7!3m6!1s0x46fda1e52da4474f:0xe042e0101b3993e1!8m2!3d54.4433131!4d18.4169423!16s%2Fg%2F11g9q8vrw_!19sChIJT0ekLeWh_UYR4ZM5GxDgQuA?authuser=0&hl=en&rclk=1
54.4408924,18.417816,school,Green Elephant Academy Przedszkole Żłobek Chwaszczyno,https://www.google.com/maps/place/Green+Elephant+Academy+Przedszkole+%C5%BB%C5%82obek+Chwaszczyno/data=!4m7!3m6!1s0x46fda1a1619f924d:0xe69a79ae928a8449!8m2!3d54.4408924!4d18.417816!16s%2Fg%2F11rts3q6cs!19sChIJTZKfYaGh_UYRSYSKkq55muY?authuser=0&hl=en&rclk=1
54.379371,18.614906,school,International School of Gdansk,https://www.google.com/maps/place/International+School+of+Gdansk/data=!4m7!3m6!1s0x46fd74aa343e13b9:0x99f87bdc9b5697!8m2!3d54.379371!4d18.614906!16s%2Fg%2F1tdgnjdc!19sChIJuRM-NKp0_UYRl1ab3Hv4mQA?authuser=0&hl=en&rclk=1
54.4735977,18.3814665,school,Briton School,https://www.google.com/maps/place/Briton+School/data=!4m7!3m6!1s0x46fda247bdb03dc1:0xe28974318adb3932!8m2!3d54.4735977!4d18.3814665!16s%2Fg%2F1tf5cfk_!19sChIJwT2wvUei_UYRMjnbijF0ieI?authuser=0&hl=en&rclk=1
54.4278451,18.4774215,school,Empire Music School,https://www.google.com/maps/place/Empire+Music+School/data=!4m7!3m6!1s0x46fda02781fa2ddd:0x1ded66831b544773!8m2!3d54.4278451!4d18.4774215!16s%2Fg%2F11b66d_dxt!19sChIJ3S36gSeg_UYRc0dUG4Nm7R0?authuser=0&hl=en&rclk=1
54.4842366,18.526699,school,American Primary School,https://www.google.com/maps/place/American+Primary+School/data=!4m7!3m6!1s0x46fda0ea0f894951:0xdbe661b8b05fcc72!8m2!3d54.4842366!4d18.526699!16s%2Fg%2F1v41z48w!19sChIJUUmJD-qg_UYRcsxfsLhh5ts?authuser=0&hl=en&rclk=1
54.4645317,18.4958379,school,Primary School No. 20,https://www.google.com/maps/place/Primary+School+No.+20/data=!4m7!3m6!1s0x46fda056614c689f:0xb57a21f3cc13f090!8m2!3d54.4645317!4d18.4958379!16s%2Fg%2F1tg33xr9!19sChIJn2hMYVag_UYRkPATzPMherU?authuser=0&hl=en&rclk=1
54.4688452,18.4883018,school,After School Club,https://www.google.com/maps/place/After+School+Club/data=!4m7!3m6!1s0x46fda100022744db:0xe32f8c520dce405f!8m2!3d54.4688452!4d18.4883018!16s%2Fg%2F11f542lxsv!19sChIJ20QnAgCh_UYRX0DODVKML-M?authuser=0&hl=en&rclk=1
