lat,lon,type,title,link
54.425682,18.4911921,shopping mall,Osowa Shopping Centre,https://www.google.com/maps/place/Osowa+Shopping+Centre/data=!4m7!3m6!1s0x46fda021ca10dabb:0x429c6b11a5fbcdaa!8m2!3d54.425682!4d18.4911921!16s%2Fg%2F12hnrfg0f!19sChIJu9oQyiGg_UYRqs37pRFrnEI?authuser=0&hl=en&rclk=1
54.5190315,18.5394993,shopping mall,Batory Shopping Center,https://www.google.com/maps/place/Batory+Shopping+Center/data=!4m7!3m6!1s0x46fda7252224ab65:0x34c6568bf0370ff7!8m2!3d54.5190315!4d18.5394993!16s%2Fg%2F1vtqtsyj!19sChIJZaskIiWn_UYR9w838ItWxjQ?authuser=0&hl=en&rclk=1
54.3937713,18.3963963,shopping mall,Centrum Banino,https://www.google.com/maps/place/Centrum+Banino/data=!4m7!3m6!1s0x46fd9f84d51a2a05:0xf4bd026db479b91f!8m2!3d54.3937713!4d18.3963963!16s%2Fg%2F11hfplzm40!19sChIJBSoa1YSf_UYRH7l5tG0CvfQ?authuser=0&hl=en&rclk=1
54.382982,18.600112,shopping mall,Galeria Bałtycka,https://www.google.com/maps/place/Galeria+Ba%C5%82tycka/data=!4m7!3m6!1s0x46fd74ea79e3fd01:0x3cd7c4eada1b8ed4!8m2!3d54.382982!4d18.600112!16s%2Fg%2F1218l3v8!19sChIJAf3jeep0_UYR1I4b2urE1zw?authuser=0&hl=en&rclk=1
54.4976907,18.508932,shopping mall,Shopping Center Witawa,https://www.google.com/maps/place/Shopping+Center+Witawa/data=!4m7!3m6!1s0x46fda0d80bd5e251:0xa60885cdfee38419!8m2!3d54.4976907!4d18.508932!16s%2Fg%2F1vc6c26f!19sChIJUeLVC9ig_UYRGYTj_s2FCKY?authuser=0&hl=en&rclk=1
54.4429875,18.4381885,shopping mall,SZANTI Dariusz Staniszewski,https://www.google.com/maps/place/SZANTI+Dariusz+Staniszewski/data=!4m7!3m6!1s0x46fda1bc389e1d11:0xa9fc68de8f7e82f0!8m2!3d54.4429875!4d18.4381885!16s%2Fg%2F1tsyngrw!19sChIJER2eOLyh_UYR8IJ-j95o_Kk?authuser=0&hl=en&rclk=1
54.3945902,18.5810311,shopping mall,Oliwa Shopping Center,https://www.google.com/maps/place/Oliwa+Shopping+Center/data=!4m7!3m6!1s0x46fd749449ca5cfb:0x19dabb89bd8f55!8m2!3d54.3945902!4d18.5810311!16s%2Fg%2F11g_l_s5j!19sChIJ-1zKSZR0_UYRVY-9ibvaGQA?authuser=0&hl=en&rclk=1
54.5043272,18.5316994,shopping mall,Centrum Handlowe Riviera,https://www.google.com/maps/place/Centrum+Handlowe+Riviera/data=!4m7!3m6!1s0x4716435adc340c5f:0xb99b7c9b9c70784!8m2!3d54.5043272!4d18.5316994!16s%2Fg%2F1pv0cgrq7!19sChIJXww03FpDFkcRhAfHucm3mQs?authuser=0&hl=en&rclk=1
54.441144,18.5629945,shopping mall,Sopot Centrum,https://www.google.com/maps/place/Sopot+Centrum/data=!4m7!3m6!1s0x46fd0a911e5ec987:0x354e406002ed2669!8m2!3d54.441144!4d18.5629945!16s%2Fg%2F11c3vzlqrz!19sChIJh8leHpEK_UYRaSbtAmBATjU?authuser=0&hl=en&rclk=1
54.4743391,18.5521677,shopping mall,Galeria Klif w Gdyni,https://www.google.com/maps/place/Galeria+Klif+w+Gdyni/data=!4m7!3m6!1s0x46fda09bd8538327:0xeb4deacaba6fccf8!8m2!3d54.4743391!4d18.5521677!16s%2Fg%2F1ywpnjgsp!19sChIJJ4NT2Jug_UYR-MxvusrqTes?authuser=0&hl=en&rclk=1
54.4427648,18.5737941,shopping mall,Stoisko z zabawkami,https://www.google.com/maps/place/Stoisko+z+zabawkami/data=!4m7!3m6!1s0x46fd0b27bd4ca36b:0xe9d16911e1700da!8m2!3d54.4427648!4d18.5737941!16s%2Fg%2F11hg97fhck!19sChIJa6NMvScL_UYR2gAXHpEWnQ4?authuser=0&hl=en&rclk=1
54.4724337,18.5147149,shopping mall,CH Parkova,https://www.google.com/maps/place/CH+Parkova/data=!4m7!3m6!1s0x46fda192776d49ed:0x1c7464621d444ee!8m2!3d54.4724337!4d18.5147149!16s%2Fg%2F11lpfzq97h!19sChIJ7Ultd5Kh_UYR7kTUIUZGxwE?authuser=0&hl=en&rclk=1
