lat,lon,type,title,link
54.435368,18.418612,silownia,Modelscy Sport Club,https://www.google.com/maps/place/Modelscy+Sport+Club/data=!4m7!3m6!1s0x46fda1e23d645f5b:0x3dc2ebabd0ae56e7!8m2!3d54.435368!4d18.418612!16s%2Fg%2F11b6zptsk7!19sChIJW19kPeKh_UYR51au0Kvrwj0?authuser=0&hl=en&rclk=1
54.4614766,18.4505889,silownia,Premium Fitness&Gym Gdynia,https://www.google.com/maps/place/Premium+Fitness%26Gym+Gdynia/data=!4m7!3m6!1s0x46fda1a9cfb27a9f:0xab5177c658b0ea53!8m2!3d54.4614766!4d18.4505889!16s%2Fg%2F11hz_543pk!19sChIJn3qyz6mh_UYRU-qwWMZ3Uas?authuser=0&hl=en&rclk=1
54.4738355,18.4746581,silownia,Fitness Klub ZDROFIT Gdynia - Karwiny,https://www.google.com/maps/place/Fitness+Klub+ZDROFIT+Gdynia+-+Karwiny/data=!4m7!3m6!1s0x46fda1bf753d1f5b:0x95a7b8e5c20290e4!8m2!3d54.4738355!4d18.4746581!16s%2Fg%2F11h9hk8y6m!19sChIJWx89db-h_UYR5JACwuW4p5U?authuser=0&hl=en&rclk=1
54.4328044,18.4804677,silownia,Klub fitness UP - Gdańsk Osowa,https://www.google.com/maps/place/Klub+fitness+UP+-+Gda%C5%84sk+Osowa/data=!4m7!3m6!1s0x46fda02f7cf7d3dd:0xa37289d8d94e2710!8m2!3d54.4328044!4d18.4804677!16s%2Fg%2F11bwm4t8sy!19sChIJ3dP3fC-g_UYRECdO2diJcqM?authuser=0&hl=en&rclk=1
54.500053,18.4372643,silownia,Fitness Klub ZDROFIT Gdynia - Chwarzno,https://www.google.com/maps/place/Fitness+Klub+ZDROFIT+Gdynia+-+Chwarzno/data=!4m7!3m6!1s0x46fda3e0325dc0af:0x7a9d3abb3d84fbe1!8m2!3d54.500053!4d18.4372643!16s%2Fg%2F11b6zt8bnj!19sChIJr8BdMuCj_UYR4fuEPbs6nXo?authuser=0&hl=en&rclk=1
54.4722839,18.5189464,silownia,Centrum Fitness Gdynia,https://www.google.com/maps/place/Centrum+Fitness+Gdynia/data=!4m7!3m6!1s0x46fda0f2372037c5:0xe130ba4cc9d01737!8m2!3d54.4722839!4d18.5189464!16s%2Fg%2F11bw3ftck7!19sChIJxTcgN_Kg_UYRNxfQyUy6MOE?authuser=0&hl=en&rclk=1
54.4465369,18.4254032,silownia,Fit Medica,https://www.google.com/maps/place/Fit+Medica/data=!4m7!3m6!1s0x46fd9ea0c5bf29dd:0xbd157b5a20508a80!8m2!3d54.4465369!4d18.4254032!16s%2Fg%2F1hjglwwbb!19sChIJ3Sm_xaCe_UYRgIpQIFp7Fb0?authuser=0&hl=en&rclk=1
54.388222,18.3835227,silownia,Good Luck Club Banino,https://www.google.com/maps/place/Good+Luck+Club+Banino/data=!4m7!3m6!1s0x46fd9edbdc669faf:0xc33125f2550a4046!8m2!3d54.388222!4d18.3835227!16s%2Fg%2F11b6zq_d46!19sChIJr59m3Nue_UYRRkAKVfIlMcM?authuser=0&hl=en&rclk=1
54.4039409,18.5714547,silownia,CityFit,https://www.google.com/maps/place/CityFit/data=!4m7!3m6!1s0x46fd752e8e7ea7f1:0x19f5d693839e7c4e!8m2!3d54.4039409!4d18.5714547!16s%2Fg%2F11cmr01lhs!19sChIJ8ad-ji51_UYRTnyeg5PW9Rk?authuser=0&hl=en&rclk=1
54.5031548,18.5315364,silownia,Zdrofit,https://www.google.com/maps/place/Zdrofit/data=!4m7!3m6!1s0x46fda0cd93030ee9:0x7051a8385a9300a6!8m2!3d54.5031548!4d18.5315364!16s%2Fg%2F11cjkp_9gv!19sChIJ6Q4Dk82g_UYRpgCTWjioUXA?authuser=0&hl=en&rclk=1
