lat,lon,type,title,link
54.4436214,18.4204549,sklep spozywczy,Sklep Wielobranzowy Abc,https://www.google.com/maps/place/Sklep+Wielobranzowy+Abc/data=!4m7!3m6!1s0x46fda1e57320e3bd:0xce7517d8434a15c!8m2!3d54.4436214!4d18.4204549!16s%2Fg%2F11hdltsbwk!19sChIJveMgc-Wh_UYRXKE0hH1R5ww?authuser=0&hl=en&rclk=1
54.4431489,18.4208008,sklep spozywczy,Sklep spożywczo - monopolowy GS Samopomoc Chłopska,https://www.google.com/maps/place/Sklep+spo%C5%BCywczo+-+monopolowy+GS+Samopomoc+Ch%C5%82opska/data=!4m7!3m6!1s0x46fda1e4e0f9c3c5:0xdd20c2109ed8fffe!8m2!3d54.4431489!4d18.4208008!16s%2Fg%2F1tgw8lvf!19sChIJxcP54OSh_UYR_v_YnhDCIN0?authuser=0&hl=en&rclk=1
54.4426963,18.4163677,sklep spozywczy,Delikatesy Max Xavier,https://www.google.com/maps/place/Delikatesy+Max+Xavier/data=!4m7!3m6!1s0x46fda1e4d55e973f:0xf50fad4616093e8e!8m2!3d54.4426963!4d18.4163677!16s%2Fg%2F11f2xym84n!19sChIJP5de1eSh_UYRjj4JFkatD_U?authuser=0&hl=en&rclk=1
54.4419001,18.419829,sklep spozywczy,Kazimierz & Halina Kleina,https://www.google.com/maps/place/Kazimierz+%26+Halina+Kleina/data=!4m7!3m6!1s0x46fda1a23df82197:0xbd760cce56b396a9!8m2!3d54.4419001!4d18.419829!16s%2Fg%2F11tg0mkscx!19sChIJlyH4PaKh_UYRqZazVs4Mdr0?authuser=0&hl=en&rclk=1
54.4397078,18.4573393,sklep spozywczy,Sklep ogólnospożywczy,https://www.google.com/maps/place/Sklep+og%C3%B3lnospo%C5%BCywczy/data=!4m7!3m6!1s0x46fda1ce1a55db45:0xdabf461480385b!8m2!3d54.4397078!4d18.4573393!16s%2Fg%2F1tcxbx42!19sChIJRdtVGs6h_UYRWziAFEa_2gA?authuser=0&hl=en&rclk=1
54.4508587,18.4569672,sklep spozywczy,Żabka,https://www.google.com/maps/place/%C5%BBabka/data=!4m7!3m6!1s0x46fda1f39f382935:0x4f899c908f4ac4f8!8m2!3d54.4508587!4d18.4569672!16s%2Fg%2F11p5rfj0v3!19sChIJNSk4n_Oh_UYR-MRKj5CciU8?authuser=0&hl=en&rclk=1
54.431298,18.47286,sklep spozywczy,Haberka Gabriela. Sklep spożywczy,https://www.google.com/maps/place/Haberka+Gabriela.+Sklep+spo%C5%BCywczy/data=!4m7!3m6!1s0x46fda02eca3ced2f:0xf055c589c44495fd!8m2!3d54.431298!4d18.47286!16s%2Fg%2F1tmkjnwm!19sChIJL-08yi6g_UYR_ZVExInFVfA?authuser=0&hl=en&rclk=1
54.46794,18.4649038,sklep spozywczy,"Sklep Spożywczy ""Janbol""",https://www.google.com/maps/place/Sklep+Spo%C5%BCywczy+%22Janbol%22/data=!4m7!3m6!1s0x46fda1a6f17d3921:0x115be51dca01be3e!8m2!3d54.46794!4d18.4649038!16s%2Fg%2F1vfwbjr7!19sChIJITl98aah_UYRPr4Byh3lWxE?authuser=0&hl=en&rclk=1
54.4276275,18.466265,sklep spozywczy,Marcin,https://www.google.com/maps/place/Marcin/data=!4m7!3m6!1s0x46fda02a166b06f9:0x406062da48ed49a5!8m2!3d54.4276275!4d18.466265!16s%2Fg%2F11cjk3_92f!19sChIJ-QZrFiqg_UYRpUntSNpiYEA?authuser=0&hl=en&rclk=1
54.4704283,18.5021734,sklep spozywczy,Sklep Spożywczy,https://www.google.com/maps/place/Sklep+Spo%C5%BCywczy/data=!4m7!3m6!1s0x46fda0f97494a23f:0xc29913b75782daa0!8m2!3d54.4704283!4d18.5021734!16s%2Fg%2F11g6ynsb_t!19sChIJP6KUdPmg_UYRoNqCV7cTmcI?authuser=0&hl=en&rclk=1
