lat,lon,type,title,link
54.4660502,18.4880012,sprzatanie,Firma sprzątająca TIMTEM,https://www.google.com/maps/place/Firma+sprz%C4%85taj%C4%85ca+TIMTEM/data=!4m7!3m6!1s0x46fda1c3d37f1681:0xcbd922c77f80792e!8m2!3d54.4660502!4d18.4880012!16s%2Fg%2F11j8k3yh5l!19sChIJgRZ_08Oh_UYRLnmAf8ci2cs?authuser=0&hl=en&rclk=1
54.4677995,18.4831031,sprzatanie,Sprzątanie i pielęgnacja grobów-Trójmiasto-MAGNOLIA,https://www.google.com/maps/place/Sprz%C4%85tanie+i+piel%C4%99gnacja+grob%C3%B3w-Tr%C3%B3jmiasto-MAGNOLIA/data=!4m7!3m6!1s0x46fda1957cc9b49d:0x1506621da2f9a0f7!8m2!3d54.4677995!4d18.4831031!16s%2Fg%2F11hdxbvjbc!19sChIJnbTJfJWh_UYR96D5oh1iBhU?authuser=0&hl=en&rclk=1
54.4871524,18.4249344,sprzatanie,AG cleaning,https://www.google.com/maps/place/AG+cleaning/data=!4m7!3m6!1s0x46fda3cec1099f3d:0x83582408f1b3f6a7!8m2!3d54.4871524!4d18.4249344!16s%2Fg%2F11h7cp4wg9!19sChIJPZ8Jwc6j_UYRp_az8QgkWIM?authuser=0&hl=en&rclk=1
54.5001841,18.5397123,sprzatanie,"Cmentarium.pl - sprzątanie grobów, opieka nad grobami","https://www.google.com/maps/place/Cmentarium.pl+-+sprz%C4%85tanie+grob%C3%B3w,+opieka+nad+grobami/data=!4m7!3m6!1s0x46fda18f6ea3de17:0xa17a39571d4d90a0!8m2!3d54.5001841!4d18.5397123!16s%2Fg%2F11gn1vtby5!19sChIJF96jbo-h_UYRoJBNHVc5eqE?authuser=0&hl=en&rclk=1"
54.4298463,18.654511,sprzatanie,PERFECT HOME | Sprzątanie domów mieszkań i biur,https://www.google.com/maps/place/PERFECT+HOME+%7C+Sprz%C4%85tanie+dom%C3%B3w+mieszka%C5%84+i+biur/data=!4m7!3m6!1s0x46fd75202dd417cf:0x2cf07e22f13ced0d!8m2!3d54.4298463!4d18.654511!16s%2Fg%2F11fnqkkj7q!19sChIJzxfULSB1_UYRDe088SJ-8Cw?authuser=0&hl=en&rclk=1
54.3878305,18.598116,sprzatanie,"YES CZYSTO - profesjonalne sprzątanie, utrzymywanie czystości","https://www.google.com/maps/place/YES+CZYSTO+-+profesjonalne+sprz%C4%85tanie,+utrzymywanie+czysto%C5%9Bci/data=!4m7!3m6!1s0x46fd751ac84cf797:0x1f0a25c3f249b11e!8m2!3d54.3878305!4d18.598116!16s%2Fg%2F11grbv8f0w!19sChIJl_dMyBp1_UYRHrFJ8sMlCh8?authuser=0&hl=en&rclk=1"
54.4298463,18.654511,sprzatanie,Spark Cleaning - sprzątanie mieszkań Gdańsk,https://www.google.com/maps/place/Spark+Cleaning+-+sprz%C4%85tanie+mieszka%C5%84+Gda%C5%84sk/data=!4m7!3m6!1s0x46fd0ab632888553:0xc8e379d0979f6548!8m2!3d54.4298463!4d18.654511!16s%2Fg%2F11b6z45nng!19sChIJU4WIMrYK_UYRSGWfl9B548g?authuser=0&hl=en&rclk=1
54.3547144,18.5124288,sprzatanie,ZWINNA MIOTŁA -usługi sprzątające,https://www.google.com/maps/place/ZWINNA+MIOT%C5%81A+-us%C5%82ugi+sprz%C4%85taj%C4%85ce/data=!4m7!3m6!1s0x46fd75b802359c5f:0x763142bd47a15c00!8m2!3d54.3547144!4d18.5124288!16s%2Fg%2F11h51j9zpq!19sChIJX5w1Arh1_UYRAFyhR71CMXY?authuser=0&hl=en&rclk=1
54.4298568,18.4739205,sprzatanie,Firma sprzątająca Gdańsk - Pogromcy Kurzu,https://www.google.com/maps/place/Firma+sprz%C4%85taj%C4%85ca+Gda%C5%84sk+-+Pogromcy+Kurzu/data=!4m7!3m6!1s0x46fda170b79e1f75:0x8c4b0eb51eb1372!8m2!3d54.4298568!4d18.4739205!16s%2Fg%2F11gk0x636k!19sChIJdR-et3Ch_UYRchPrUeuwxAg?authuser=0&hl=en&rclk=1
54.550907,18.5183359,sprzatanie,SAUBER Sp. z o. o. Sprzątanie i pielęgnacja ogrodów Gdynia Gdańsk Sopot,https://www.google.com/maps/place/SAUBER+Sp.+z+o.+o.+Sprz%C4%85tanie+i+piel%C4%99gnacja+ogrod%C3%B3w+Gdynia+Gda%C5%84sk+Sopot/data=!4m7!3m6!1s0x46fda6f42c5363d5:0x4d7e62ea9a7ccc7a!8m2!3d54.550907!4d18.5183359!16s%2Fg%2F11g8vsv3g5!19sChIJ1WNTLPSm_UYResx8mupifk0?authuser=0&hl=en&rclk=1
