lat,lon,type,title,link
54.4429999,18.4302816,stacjapaliw,Stacja paliw BP + myjnia bezdotykowa,https://www.google.com/maps/place/Stacja+paliw+BP+%2B+myjnia+bezdotykowa/data=!4m7!3m6!1s0x46fda139176980df:0x9b96b766d011afb!8m2!3d54.4429999!4d18.4302816!16s%2Fg%2F11h5mn3w1g!19sChIJ34BpFzmh_UYR-xoBbXZruQk?authuser=0&hl=en&rclk=1
54.4556884,18.4529648,stacjapaliw,CNG Station,https://www.google.com/maps/place/CNG+Station/data=!4m7!3m6!1s0x46fda1beb1dd1fa3:0x7ae6391d63e308d7!8m2!3d54.4556884!4d18.4529648!16s%2Fg%2F11cp7rlgkz!19sChIJox_dsb6h_UYR1wjjYx055no?authuser=0&hl=en&rclk=1
54.4585662,18.4549132,stacjapaliw,Stacja paliw SHELL,https://www.google.com/maps/place/Stacja+paliw+SHELL/data=!4m7!3m6!1s0x46fda1baa78b1913:0xec9a8257b64584c7!8m2!3d54.4585662!4d18.4549132!16s%2Fg%2F11k40j_v0g!19sChIJExmLp7qh_UYRx4RFtleCmuw?authuser=0&hl=en&rclk=1
54.4556874,18.4532135,stacjapaliw,Stacja Tankowania Cng,https://www.google.com/maps/place/Stacja+Tankowania+Cng/data=!4m7!3m6!1s0x46fda1be96e99249:0x432fa97ee53bdcbf!8m2!3d54.4556874!4d18.4532135!16s%2Fg%2F11h0vpz4l1!19sChIJSZLplr6h_UYRv9w75X6pL0M?authuser=0&hl=en&rclk=1
54.4305124,18.482134,stacjapaliw,OKTAN Petrol Stations,https://www.google.com/maps/place/OKTAN+Petrol+Stations/data=!4m7!3m6!1s0x46fda025c92c11ed:0x88290f03d1409097!8m2!3d54.4305124!4d18.482134!16s%2Fg%2F11dyzby8zr!19sChIJ7REsySWg_UYRl5BA0QMPKYg?authuser=0&hl=en&rclk=1
54.4728141,18.4791254,stacjapaliw,Pod Żaglami,https://www.google.com/maps/place/Pod+%C5%BBaglami/data=!4m7!3m6!1s0x46fda106e233dc7f:0xc3c545cbf5b6e0fe!8m2!3d54.4728141!4d18.4791254!16s%2Fg%2F11hzwbc1cd!19sChIJf9wz4gah_UYR_uC29ctFxcM?authuser=0&hl=en&rclk=1
54.4324404,18.4888148,stacjapaliw,LOTOS,https://www.google.com/maps/place/LOTOS/data=!4m7!3m6!1s0x46fda0249de80889:0x8fc0d272dce39753!8m2!3d54.4324404!4d18.4888148!16s%2Fg%2F1tdd8jqz!19sChIJiQjonSSg_UYRU5fj3HLSwI8?authuser=0&hl=en&rclk=1
54.4739836,18.5158468,stacjapaliw,Petrol Station ORLEN,https://www.google.com/maps/place/Petrol+Station+ORLEN/data=!4m7!3m6!1s0x46fda0f1c229a123:0xe2474e91d3ff676e!8m2!3d54.4739836!4d18.5158468!16s%2Fg%2F1tfkjwcf!19sChIJI6EpwvGg_UYRbmf_05FOR-I?authuser=0&hl=en&rclk=1
54.4728643,18.5129151,stacjapaliw,AMIC Energy,https://www.google.com/maps/place/AMIC+Energy/data=!4m7!3m6!1s0x46fda0f0ff7ee657:0x3115745d697e6a97!8m2!3d54.4728643!4d18.5129151!16s%2Fg%2F1tf6458v!19sChIJV-Z-__Cg_UYRl2p-aV10FTE?authuser=0&hl=en&rclk=1
54.4713859,18.491039,stacjapaliw,Shell,https://www.google.com/maps/place/Shell/data=!4m7!3m6!1s0x46fda0fe2f8f316b:0xb653a22ae504f459!8m2!3d54.4713859!4d18.491039!16s%2Fg%2F1thclggk!19sChIJazGPL_6g_UYRWfQE5SqiU7Y?authuser=0&hl=en&rclk=1
54.4593075,18.5550273,stacjapaliw,Shell,https://www.google.com/maps/place/Shell/data=!4m7!3m6!1s0x46fd0a7f957999bb:0x8096ee1877d4f672!8m2!3d54.4593075!4d18.5550273!16s%2Fg%2F1tcvy2zv!19sChIJu5l5lX8K_UYRcvbUdxjuloA?authuser=0&hl=en&rclk=1
54.4293941,18.5615772,stacjapaliw,bp,https://www.google.com/maps/place/bp/data=!4m7!3m6!1s0x46fd0ab8ebe52f7d:0x481f55bed80ad87d!8m2!3d54.4293941!4d18.5615772!16s%2Fg%2F1thxtxkt!19sChIJfS_l67gK_UYRfdgK2L5VH0g?authuser=0&hl=en&rclk=1
54.424494,18.564005,stacjapaliw,Circle K,https://www.google.com/maps/place/Circle+K/data=!4m7!3m6!1s0x46fd0ac786479ddf:0x13c2dfd71d292cde!8m2!3d54.424494!4d18.564005!16s%2Fg%2F1tncrljc!19sChIJ351HhscK_UYR3iwpHdffwhM?authuser=0&hl=en&rclk=1
54.4729064,18.5537248,stacjapaliw,Shell,https://www.google.com/maps/place/Shell/data=!4m7!3m6!1s0x46fda09b87c2257d:0xbbfb4e174d5b6946!8m2!3d54.4729064!4d18.5537248!16s%2Fg%2F1tdy3507!19sChIJfSXCh5ug_UYRRmlbTRdO-7s?authuser=0&hl=en&rclk=1
