lat,lon,type,title,link
54.445546,18.420848,stolarz,HRYNKE Meble,https://www.google.com/maps/place/HRYNKE+Meble/data=!4m7!3m6!1s0x46fda1ff9c733caf:0x9f0de6beb078b559!8m2!3d54.445546!4d18.420848!16s%2Fg%2F11jg5t1fsn!19sChIJrzxznP-h_UYRWbV4sL7mDZ8?authuser=0&hl=en&rclk=1
54.44283,18.4187535,stolarz,Bieszka Grzegorz. Usługi stolarskie,https://www.google.com/maps/place/Bieszka+Grzegorz.+Us%C5%82ugi+stolarskie/data=!4m7!3m6!1s0x46fda1e4e061ed95:0xcca81c4decb26a74!8m2!3d54.44283!4d18.4187535!16s%2Fg%2F1w0p49n7!19sChIJle1h4OSh_UYRdGqy7E0cqMw?authuser=0&hl=en&rclk=1
54.3863487,18.4844803,stolarz,stolarstwo Jan Rombca,https://www.google.com/maps/place/stolarstwo+Jan+Rombca/data=!4m7!3m6!1s0x46fd9fcf90a2b011:0xbe099984b895bb66!8m2!3d54.3863487!4d18.4844803!16s%2Fg%2F11cmttvy0t!19sChIJEbCikM-f_UYRZruVuISZCb4?authuser=0&hl=en&rclk=1
54.4739756,18.4691325,stolarz,STYL Piotr Krauze meble i usługi stolarskie,https://www.google.com/maps/place/STYL+Piotr+Krauze+meble+i+us%C5%82ugi+stolarskie/data=!4m7!3m6!1s0x46fda109aa6e9715:0xc2a10690381710d9!8m2!3d54.4739756!4d18.4691325!16s%2Fg%2F11b732kr5c!19sChIJFZduqgmh_UYR2RAXOJAGocI?authuser=0&hl=en&rclk=1
54.4294908,18.3883962,stolarz,Leginowski Leszek. Zakład stolarski,https://www.google.com/maps/place/Leginowski+Leszek.+Zak%C5%82ad+stolarski/data=!4m7!3m6!1s0x46fda1e4e065b055:0x38e472378674ecba!8m2!3d54.4294908!4d18.3883962!16s%2Fg%2F1tdmt9s6!19sChIJVbBl4OSh_UYRuux0hjdy5Dg?authuser=0&hl=en&rclk=1
54.447993,18.4306897,stolarz,Meblokolor,https://www.google.com/maps/place/Meblokolor/data=!4m7!3m6!1s0x46fda1e4e05955c5:0x83cc855db5d68ed4!8m2!3d54.447993!4d18.4306897!16s%2Fg%2F1tdcq6k8!19sChIJxVVZ4OSh_UYR1I7WtV2FzIM?authuser=0&hl=en&rclk=1
54.461925,18.4847319,stolarz,BRYL - MEBLE Producent mebli,https://www.google.com/maps/place/BRYL+-+MEBLE+Producent+mebli/data=!4m7!3m6!1s0x46fda05347a2ff57:0xfcd542d1866ee854!8m2!3d54.461925!4d18.4847319!16s%2Fg%2F1tptp94z!19sChIJV_-iR1Og_UYRVOhuhtFC1fw?authuser=0&hl=en&rclk=1
54.425076,18.4340628,stolarz,Meblo Matic - Meble na wymiar,https://www.google.com/maps/place/Meblo+Matic+-+Meble+na+wymiar/data=!4m7!3m6!1s0x46fd9f527d1a963b:0x52b5c461a80c6e68!8m2!3d54.425076!4d18.4340628!16s%2Fg%2F11tdtkpb4b!19sChIJO5YafVKf_UYRaG4MqGHEtVI?authuser=0&hl=en&rclk=1
54.3874828,18.3594698,stolarz,"ABMEBLE Meble na Wymiar Meble kuchnie, szafy, zabudowy, i inne","https://www.google.com/maps/place/ABMEBLE+Meble+na+Wymiar+Meble+kuchnie,+szafy,+zabudowy,+i+inne/data=!4m7!3m6!1s0x46fd9ed38757b6a3:0x1d7d6be06c6195cb!8m2!3d54.3874828!4d18.3594698!16s%2Fg%2F11csccdxb7!19sChIJo7ZXh9Oe_UYRy5VhbOBrfR0?authuser=0&hl=en&rclk=1"
54.474432,18.556465,stolarz,Drew-Mar Pracownia stolarska Maciej Zborowski,https://www.google.com/maps/place/Drew-Mar+Pracownia+stolarska+Maciej+Zborowski/data=!4m7!3m6!1s0x46fda09c1e3c1b07:0x4f4970f7d4d30448!8m2!3d54.474432!4d18.556465!16s%2Fg%2F1xb2c7xf!19sChIJBxs8Hpyg_UYRSATT1PdwSU8?authuser=0&hl=en&rclk=1
54.426271,18.340575,stolarz,PIO-MEB Producent mebli - meble kuchenne i zabudowy wnęk na wymiar,https://www.google.com/maps/place/PIO-MEB+Producent+mebli+-+meble+kuchenne+i+zabudowy+wn%C4%99k+na+wymiar/data=!4m7!3m6!1s0x46fd989375c1beb5:0xdf1a9d92f512ace1!8m2!3d54.426271!4d18.340575!16s%2Fg%2F11f3d6mwgw!19sChIJtb7BdZOY_UYR4awS9ZKdGt8?authuser=0&hl=en&rclk=1
54.473622,18.3853601,stolarz,Kazimierz Dopke Usługi Stolarskie,https://www.google.com/maps/place/Kazimierz+Dopke+Us%C5%82ugi+Stolarskie/data=!4m7!3m6!1s0x46fda3680bdfb6f9:0xe95594911d339f49!8m2!3d54.473622!4d18.3853601!16s%2Fg%2F11g_x7dw0n!19sChIJ-bbfC2ij_UYRSZ8zHZGUVek?authuser=0&hl=en&rclk=1
54.5168354,18.5342465,stolarz,Stol-Tap. Zakład Usług Stolarskich Aleksandra Zielke,https://www.google.com/maps/place/Stol-Tap.+Zak%C5%82ad+Us%C5%82ug+Stolarskich+Aleksandra+Zielke/data=!4m7!3m6!1s0x46fda72f65ba3f03:0x7649d94e702b03da!8m2!3d54.5168354!4d18.5342465!16s%2Fg%2F1tzzt621!19sChIJAz-6ZS-n_UYR2gMrcE7ZSXY?authuser=0&hl=en&rclk=1
54.423348,18.4554359,stolarz,Stolarnia Firmowa,https://www.google.com/maps/place/Stolarnia+Firmowa/data=!4m7!3m6!1s0x46fd9fa89ea556db:0x9145bf1e3aa8d080!8m2!3d54.423348!4d18.4554359!16s%2Fg%2F11fkq8lx29!19sChIJ21alnqif_UYRgNCoOh6_RZE?authuser=0&hl=en&rclk=1
