lat,lon,type,title,link
54.4550045,18.4072988,transport,Knoff Roman. Transport,https://www.google.com/maps/place/Knoff+Roman.+Transport/data=!4m7!3m6!1s0x46fda215e9febf99:0xfbaa9c19b2d73029!8m2!3d54.4550045!4d18.4072988!16s%2Fg%2F1v_z7lrj!19sChIJmb_-6RWi_UYRKTDXshmcqvs?authuser=0&hl=en&rclk=1
54.4428514,18.4247324,transport,TSL Bracia,https://www.google.com/maps/place/TSL+Bracia/data=!4m7!3m6!1s0x46fda1e50b2cd68d:0x45be37529e1749a3!8m2!3d54.4428514!4d18.4247324!16s%2Fg%2F11h0vp_j8c!19sChIJjdYsC-Wh_UYRo0kXnlI3vkU?authuser=0&hl=en&rclk=1
54.393651,18.584155,transport,Clicktrans,https://www.google.com/maps/place/Clicktrans/data=!4m7!3m6!1s0x46fda0c8f6a33105:0xed75f32d2a80e7d0!8m2!3d54.393651!4d18.584155!16s%2Fg%2F11g_k783j!19sChIJBTGj9sig_UYR0OeAKi3zde0?authuser=0&hl=en&rclk=1
54.4159342,18.4497725,transport,Mika-Trans Transport,https://www.google.com/maps/place/Mika-Trans+Transport/data=!4m7!3m6!1s0x46fd9f77e82b36b5:0x7bd009eae2ac73e9!8m2!3d54.4159342!4d18.4497725!16s%2Fg%2F1tlzyw73!19sChIJtTYr6Hef_UYR6XOs4uoJ0Hs?authuser=0&hl=en&rclk=1
54.4439121,18.3946632,transport,Transport Zarobkowy Ryszard Zielke,https://www.google.com/maps/place/Transport+Zarobkowy+Ryszard+Zielke/data=!4m7!3m6!1s0x46fda215c200f1ff:0xe0b0312efb2072b5!8m2!3d54.4439121!4d18.3946632!16s%2Fg%2F1tcy2_cg!19sChIJ__EAwhWi_UYRtXIg-y4xsOA?authuser=0&hl=en&rclk=1
54.520452,18.5280771,transport,3CityMove Transport-Przeprowadzki Adam Kalata,https://www.google.com/maps/place/3CityMove+Transport-Przeprowadzki+Adam+Kalata/data=!4m7!3m6!1s0x46fda745de750843:0x157d19303bea9e4f!8m2!3d54.520452!4d18.5280771!16s%2Fg%2F11m_x95dd9!19sChIJQwh13kWn_UYRT57qOzAZfRU?authuser=0&hl=en&rclk=1
54.5199541,18.5330336,transport,Transport Gdynia,https://www.google.com/maps/place/Transport+Gdynia/data=!4m7!3m6!1s0x46fda4200beceb1f:0x9837972b951938b6!8m2!3d54.5199541!4d18.5330336!16s%2Fg%2F11x9gbf74!19sChIJH-vsCyCk_UYRtjgZlSuXN5g?authuser=0&hl=en&rclk=1
54.4414566,18.5647677,transport,Marceltransport,https://www.google.com/maps/place/Marceltransport/data=!4m7!3m6!1s0x46fd0a91731f51e5:0x1eb9c6dcf8c131b2!8m2!3d54.4414566!4d18.5647677!16s%2Fg%2F11c3xk3033!19sChIJ5VEfc5EK_UYRsjHB-NzGuR4?authuser=0&hl=en&rclk=1
54.3832135,18.4735532,transport,SKAT Transport Sp.z.o.o. Sp.k.,https://www.google.com/maps/place/SKAT+Transport+Sp.z.o.o.+Sp.k./data=!4m7!3m6!1s0x46fd749ff4246f49:0xb8aa75e56f545297!8m2!3d54.3832135!4d18.4735532!16s%2Fg%2F11_r6bwp7!19sChIJSW8k9J90_UYRl1JUb-V1qrg?authuser=0&hl=en&rclk=1
54.44437,18.4168179,transport,Mielewczyk Renata. Transport,https://www.google.com/maps/place/Mielewczyk+Renata.+Transport/data=!4m7!3m6!1s0x46fda1e4e0fc3329:0xda6d317d866b5fa3!8m2!3d54.44437!4d18.4168179!16s%2Fg%2F1td4szkt!19sChIJKTP84OSh_UYRo19rhn0xbdo?authuser=0&hl=en&rclk=1
54.3671419,18.4675266,transport,Scandinavian Express Poland Sp. z o.o.,https://www.google.com/maps/place/Scandinavian+Express+Poland+Sp.+z+o.o./data=!4m7!3m6!1s0x46fd9e3ae06b1e9d:0x5573ee09a2b99600!8m2!3d54.3671419!4d18.4675266!16s%2Fg%2F1v8h_3lg!19sChIJnR5r4Dqe_UYRAJa5ognuc1U?authuser=0&hl=en&rclk=1
54.3610873,18.6900272,transport,AST Transport,https://www.google.com/maps/place/AST+Transport/data=!4m7!3m6!1s0x46fd74d3f184108f:0x7c79e45bb1328e46!8m2!3d54.3610873!4d18.6900272!16s%2Fg%2F1tj2gl35!19sChIJjxCE8dN0_UYRRo4ysVvkeXw?authuser=0&hl=en&rclk=1
54.5468209,18.4746477,transport,TS Transport Service,https://www.google.com/maps/place/TS+Transport+Service/data=!4m7!3m6!1s0x46fda69da75d1db9:0x57a1d95886a4cc4f!8m2!3d54.5468209!4d18.4746477!16s%2Fg%2F1td0lq9p!19sChIJuR1dp52m_UYRT8ykhljZoVc?authuser=0&hl=en&rclk=1
54.4879894,18.5441095,transport,BFI Sp. z o.o. Sp. k.,https://www.google.com/maps/place/BFI+Sp.+z+o.o.+Sp.+k./data=!4m7!3m6!1s0x46fda0c7ecde5bd1:0xb7ddec6868b6c07d!8m2!3d54.4879894!4d18.5441095!16s%2Fg%2F11cm0plp42!19sChIJ0Vve7Meg_UYRfcC2aGjs3bc?authuser=0&hl=en&rclk=1
52.2748354,16.9009672,transport,Nord Ambulanse - Transport medyczny w kraju i UE,https://www.google.com/maps/place/Nord+Ambulanse+-+Transport+medyczny+w+kraju+i+UE/data=!4m7!3m6!1s0x46fda08084bd45ab:0xecb471501452775a!8m2!3d52.2748354!4d16.9009672!16s%2Fg%2F1txnn4jd!19sChIJq0W9hICg_UYRWndSFFBxtOw?authuser=0&hl=en&rclk=1
54.5469287,18.4496108,transport,ALo Transport Przeprowadzki,https://www.google.com/maps/place/ALo+Transport+Przeprowadzki/data=!4m7!3m6!1s0x46fda43c61f138bf:0xff544df06a3ef108!8m2!3d54.5469287!4d18.4496108!16s%2Fg%2F1tfyztrn!19sChIJvzjxYTyk_UYRCPE-avBNVP8?authuser=0&hl=en&rclk=1
54.5373649,18.4457989,transport,Transport Gdynia,https://www.google.com/maps/place/Transport+Gdynia/data=!4m7!3m6!1s0x46fda5d02cbd842d:0x1f00ac77b326d76f!8m2!3d54.5373649!4d18.4457989!16s%2Fg%2F11p5n88f2t!19sChIJLYS9LNCl_UYRb9cms3esAB8?authuser=0&hl=en&rclk=1
54.5506502,18.4502999,transport,"Lkw sp.j. Transport. Gruba, Jarmulewski","https://www.google.com/maps/place/Lkw+sp.j.+Transport.+Gruba,+Jarmulewski/data=!4m7!3m6!1s0x46fda43bb666b787:0xca0ab2122fd60f00!8m2!3d54.5506502!4d18.4502999!16s%2Fg%2F1tdyjxlb!19sChIJh7dmtjuk_UYRAA_WLxKyCso?authuser=0&hl=en&rclk=1"
54.433855,18.5600129,transport,"AutoComfort | przewóz osób | transport VIP | busy, autokary Gdańsk Trójmiasto","https://www.google.com/maps/place/AutoComfort+%7C+przew%C3%B3z+os%C3%B3b+%7C+transport+VIP+%7C+busy,+autokary+Gda%C5%84sk+Tr%C3%B3jmiasto/data=!4m7!3m6!1s0x46fd0a907c4ab379:0xec949721ac9fd003!8m2!3d54.433855!4d18.5600129!16s%2Fg%2F1hc0_02yk!19sChIJebNKfJAK_UYRA9CfrCGXlOw?authuser=0&hl=en&rclk=1"
54.460198,18.548781,transport,PHU Profit transport bagażowy,https://www.google.com/maps/place/PHU+Profit+transport+baga%C5%BCowy/data=!4m7!3m6!1s0x46fda1306dcdb47f:0x1ff6d3dc237188b2!8m2!3d54.460198!4d18.548781!16s%2Fg%2F11lkt0tdll!19sChIJf7TNbTCh_UYRsohxI9zT9h8?authuser=0&hl=en&rclk=1
54.4468436,18.5671389,transport,Autostrada A1 Gdańsk Transport Company S.A. Budowa dróg,https://www.google.com/maps/place/Autostrada+A1+Gda%C5%84sk+Transport+Company+S.A.+Budowa+dr%C3%B3g/data=!4m7!3m6!1s0x46fd0a8e59fc800d:0x2f140305afaf6fd9!8m2!3d54.4468436!4d18.5671389!16s%2Fg%2F1tjt0mh9!19sChIJDYD8WY4K_UYR2W-vrwUDFC8?authuser=0&hl=en&rclk=1
54.3007148,16.7314299,transport,Mini Trans Przeprowadzki Taxi bagażowe Transport,https://www.google.com/maps/place/Mini+Trans+Przeprowadzki+Taxi+baga%C5%BCowe+Transport/data=!4m7!3m6!1s0x46fd0b2ce4b3d4f1:0x926f5c40b760ae82!8m2!3d54.3007148!4d16.7314299!16s%2Fg%2F11g6xx0wh6!19sChIJ8dSz5CwL_UYRgq5gt0Bcb5I?authuser=0&hl=en&rclk=1
