lat,lon,type,title,link
54.4134174,18.4791128,woda,Woda do Pracy,https://www.google.com/maps/place/Woda+do+Pracy/data=!4m7!3m6!1s0x46fd9f14158622eb:0x412461d5de1ab846!8m2!3d54.4134174!4d18.4791128!16s%2Fg%2F11hz28h3k2!19sChIJ6yKGFRSf_UYRRrga3tVhJEE?authuser=0&hl=en&rclk=1
54.3944238,18.3692203,woda,Woda redox,https://www.google.com/maps/place/Woda+redox/data=!4m7!3m6!1s0x46fd9f291a44e92d:0x4e6f8978ef0054d0!8m2!3d54.3944238!4d18.3692203!16s%2Fg%2F1yglpdf2y!19sChIJLelEGimf_UYR0FQA73iJb04?authuser=0&hl=en&rclk=1
54.4465885,18.4074733,woda,MAXFORM s.c. - Precyzyjne Cięcie Wodą,https://www.google.com/maps/place/MAXFORM+s.c.+-+Precyzyjne+Ci%C4%99cie+Wod%C4%85/data=!4m7!3m6!1s0x46fda770161bbbb3:0x4cd9498569e4f4b5!8m2!3d54.4465885!4d18.4074733!16s%2Fg%2F11fj45rjr3!19sChIJs7sbFnCn_UYRtfTkaYVJ2Uw?authuser=0&hl=en&rclk=1
54.4230891,18.6033246,woda,Piach i Woda,https://www.google.com/maps/place/Piach+i+Woda/data=!4m7!3m6!1s0x46fd0bfe94d5d711:0x130cf1de1872bedd!8m2!3d54.4230891!4d18.6033246!16s%2Fg%2F11f65dy2b2!19sChIJEdfVlP4L_UYR3b5yGN7xDBM?authuser=0&hl=en&rclk=1
54.41355,18.4793159,woda,Eden Trójmiasto. Woda,https://www.google.com/maps/place/Eden+Tr%C3%B3jmiasto.+Woda/data=!4m7!3m6!1s0x46fd9f8d85ee5193:0x1277f4e88e9405c3!8m2!3d54.41355!4d18.4793159!16s%2Fg%2F1ths810k!19sChIJk1HuhY2f_UYRwwWUjuj0dxI?authuser=0&hl=en&rclk=1
54.5522927,18.4505392,woda,Promat-Woda,https://www.google.com/maps/place/Promat-Woda/data=!4m7!3m6!1s0x46fda439fd08216f:0x760595062d006f11!8m2!3d54.5522927!4d18.4505392!16s%2Fg%2F1thsdmby!19sChIJbyEI_Tmk_UYREW8ALQaVBXY?authuser=0&hl=en&rclk=1
54.4394133,18.5762227,woda,Słona Woda,https://www.google.com/maps/place/S%C5%82ona+Woda/data=!4m7!3m6!1s0x46fd0bbe7505e81f:0x529c1e817f941fc8!8m2!3d54.4394133!4d18.5762227!16s%2Fg%2F11f775rfk7!19sChIJH-gFdb4L_UYRyB-Uf4EenFI?authuser=0&hl=en&rclk=1
54.4344382,18.577303,woda,Aqua-Sopot Sp. z o.o.,https://www.google.com/maps/place/Aqua-Sopot+Sp.+z+o.o./data=!4m7!3m6!1s0x46fd0aebb511d659:0xe78f327965383f39!8m2!3d54.4344382!4d18.577303!16s%2Fg%2F1tk6z5kc!19sChIJWdYRtesK_UYROT84ZXkyj-c?authuser=0&hl=en&rclk=1
54.44543,18.5696288,woda,Pijalnia Wód Solankowych w Sopocie,https://www.google.com/maps/place/Pijalnia+W%C3%B3d+Solankowych+w+Sopocie/data=!4m7!3m6!1s0x46fd0a8e0aac378f:0xda724d6e34b47244!8m2!3d54.44543!4d18.5696288!16s%2Fg%2F11c5srm35h!19sChIJjzesCo4K_UYRRHK0NG5Ncto?authuser=0&hl=en&rclk=1
54.4449817,18.5699589,woda,Fontanna Inhalacyjna,https://www.google.com/maps/place/Fontanna+Inhalacyjna/data=!4m7!3m6!1s0x46fd0b6dd53b1bc5:0x215cc932eefecb39!8m2!3d54.4449817!4d18.5699589!16s%2Fg%2F11ft9gph40!19sChIJxRs71W0L_UYROcv-7jLJXCE?authuser=0&hl=en&rclk=1
