lat,lon,type,title,link
54.3520636,18.6372261,zbiornikwodny,Zbiornik Powstańców Warszawskich,https://www.google.com/maps/place/Zbiornik+Powsta%C5%84c%C3%B3w+Warszawskich/data=!4m7!3m6!1s0x46fd7382c9a4c691:0x317078b21cdb6d05!8m2!3d54.3520636!4d18.6372261!16s%2Fg%2F1tq4psrb!19sChIJkcakyYJz_UYRBW3bHLJ4cDE?authuser=0&hl=en&rclk=1
54.3544569,18.5461006,zbiornikwodny,Zbiornik Jasień,https://www.google.com/maps/place/Zbiornik+Jasie%C5%84/data=!4m7!3m6!1s0x46fd75b2fca29899:0x7d6b7ea29795b205!8m2!3d54.3544569!4d18.5461006!16s%2Fg%2F1q5bnd6g2!19sChIJmZii_LJ1_UYRBbKVl6J-a30?authuser=0&hl=en&rclk=1
54.3591397,18.5166006,zbiornikwodny,zbiornik retencyjny Kiełpinek,https://www.google.com/maps/place/zbiornik+retencyjny+Kie%C5%82pinek/data=!4m7!3m6!1s0x46fd7597ce7104d1:0x84e162eb263ba14d!8m2!3d54.3591397!4d18.5166006!16s%2Fg%2F12vsjfkqq!19sChIJ0QRxzpd1_UYRTaE7Juti4YQ?authuser=0&hl=en&rclk=1
54.2735632,18.4822345,zbiornikwodny,Zbiornik Wodny Kolbudy,https://www.google.com/maps/place/Zbiornik+Wodny+Kolbudy/data=!4m7!3m6!1s0x46fd77cac689abbb:0x6429667fe776d50c!8m2!3d54.2735632!4d18.4822345!16s%2Fg%2F11ffvcd7d7!19sChIJu6uJxsp3_UYRDNV2539mKWQ?authuser=0&hl=en&rclk=1
54.2744319,18.4831535,zbiornikwodny,Bielkowski Zbiornik Wodny,https://www.google.com/maps/place/Bielkowski+Zbiornik+Wodny/data=!4m7!3m6!1s0x46fd77a4146058cf:0x9382436fa53e7302!8m2!3d54.2744319!4d18.4831535!16s%2Fg%2F11_ppgvxh!19sChIJz1hgFKR3_UYRAnM-pW9DgpM?authuser=0&hl=en&rclk=1
54.3433092,18.5758672,zbiornikwodny,"Zbiornik Retencyjny ""Łabędzia""",https://www.google.com/maps/place/Zbiornik+Retencyjny+%22%C5%81ab%C4%99dzia%22/data=!4m7!3m6!1s0x46fd759e6c1ffea1:0xc4661978e8f0c978!8m2!3d54.3433092!4d18.5758672!16s%2Fg%2F11f650vnrk!19sChIJof4fbJ51_UYReMnw6HgZZsQ?authuser=0&hl=en&rclk=1
54.2877001,18.4482077,zbiornikwodny,Łapiński Zbiornik Wodny,https://www.google.com/maps/place/%C5%81api%C5%84ski+Zbiornik+Wodny/data=!4m7!3m6!1s0x46fd77a9018e1887:0x6ee4b24fcf60c9f0!8m2!3d54.2877001!4d18.4482077!16s%2Fg%2F11gyxq5d_4!19sChIJhxiOAal3_UYR8Mlgz0-y5G4?authuser=0&hl=en&rclk=1
54.3179784,18.5844915,zbiornikwodny,Zbiornik retencyjny Wieżycka,https://www.google.com/maps/place/Zbiornik+retencyjny+Wie%C5%BCycka/data=!4m7!3m6!1s0x46fd756316f69835:0x537ba4a11c91fb82!8m2!3d54.3179784!4d18.5844915!16s%2Fg%2F11jpc1_y4m!19sChIJNZj2FmN1_UYRgvuRHKGke1M?authuser=0&hl=en&rclk=1
53.9362852,19.0145078,zbiornikwodny,Zbiornik wodny,https://www.google.com/maps/place/Zbiornik+wodny/data=!4m7!3m6!1s0x4702a7d2041fc9c1:0x551b5ee71591b35b!8m2!3d53.9362852!4d19.0145078!16s%2Fg%2F1pty2ps7_!19sChIJwckfBNKnAkcRW7ORFedeG1U?authuser=0&hl=en&rclk=1
53.9365414,19.0169777,zbiornikwodny,Zbiornik wodny,https://www.google.com/maps/place/Zbiornik+wodny/data=!4m7!3m6!1s0x4702a7d189a75985:0xb16fd8220c4ba44f!8m2!3d53.9365414!4d19.0169777!16s%2Fg%2F1ptxpr0yj!19sChIJhVmnidGnAkcRT6RLDCLYb7E?authuser=0&hl=en&rclk=1
54.3537173,18.5470582,zbiornikwodny,Zbiornik retencyjno-rekreacyjny Jasień,https://www.google.com/maps/place/Zbiornik+retencyjno-rekreacyjny+Jasie%C5%84/data=!4m7!3m6!1s0x46fd75b32211035d:0xbadd3be660e28246!8m2!3d54.3537173!4d18.5470582!16s%2Fg%2F11c5qnrcpt!19sChIJXQMRIrN1_UYRRoLiYOY73bo?authuser=0&hl=en&rclk=1
54.3434185,18.8773334,zbiornikwodny,Kazimierz Reservoir,https://www.google.com/maps/place/Kazimierz+Reservoir/data=!4m7!3m6!1s0x46fd6cbc83058cf1:0xfd3060690dc5b4b9!8m2!3d54.3434185!4d18.8773334!16s%2Fg%2F11bw4710vn!19sChIJ8YwFg7xs_UYRubTFDWlgMP0?authuser=0&hl=en&rclk=1
