lat,lon,type,title,link
54.4408924,18.417816,zlobek,Green Elephant Academy Przedszkole Żłobek Chwaszczyno,https://www.google.com/maps/place/Green+Elephant+Academy+Przedszkole+%C5%BB%C5%82obek+Chwaszczyno/data=!4m7!3m6!1s0x46fda1a1619f924d:0xe69a79ae928a8449!8m2!3d54.4408924!4d18.417816!16s%2Fg%2F11rts3q6cs!19sChIJTZKfYaGh_UYRSYSKkq55muY?authuser=0&hl=en&rclk=1
54.444988,18.423223,zlobek,Klub dziecięcy SMOCZEK Bożena Osiecka,https://www.google.com/maps/place/Klub+dzieci%C4%99cy+SMOCZEK+Bo%C5%BCena+Osiecka/data=!4m7!3m6!1s0x46fda1ef7b3e688f:0xa14cd4cfcb46a91c!8m2!3d54.444988!4d18.423223!16s%2Fg%2F11g7kf02ts!19sChIJj2g-e--h_UYRHKlGy8_UTKE?authuser=0&hl=en&rclk=1
54.473397,18.459121,zlobek,Szyszka - Domowy Żłobek,https://www.google.com/maps/place/Szyszka+-+Domowy+%C5%BB%C5%82obek/data=!4m7!3m6!1s0x46fda1110f10fcf7:0xa214287dcbacf647!8m2!3d54.473397!4d18.459121!16s%2Fg%2F11lq4pq4y5!19sChIJ9_wQDxGh_UYRR_asy30oFKI?authuser=0&hl=en&rclk=1
54.4330825,18.4726705,zlobek,Żłobek Kalineczka,https://www.google.com/maps/place/%C5%BB%C5%82obek+Kalineczka/data=!4m7!3m6!1s0x46fda02e854aed59:0xd01dbe990c8a00c9!8m2!3d54.4330825!4d18.4726705!16s%2Fg%2F11gbk4rt9h!19sChIJWe1KhS6g_UYRyQCKDJm-HdA?authuser=0&hl=en&rclk=1
54.4278364,18.4801724,zlobek,Pozytywny Żłobek nr 4,https://www.google.com/maps/place/Pozytywny+%C5%BB%C5%82obek+nr+4/data=!4m7!3m6!1s0x46fda1aca68e88e5:0xd4b5479f5dbbaba8!8m2!3d54.4278364!4d18.4801724!16s%2Fg%2F11p102wttx!19sChIJ5YiOpqyh_UYRqKu7XZ9HtdQ?authuser=0&hl=en&rclk=1
54.473596,18.4623437,zlobek,"Żłobek ""Dzieci z Pasją""",https://www.google.com/maps/place/%C5%BB%C5%82obek+%22Dzieci+z+Pasj%C4%85%22/data=!4m7!3m6!1s0x46fda14dc53fc8ad:0x3b58b207b6f95895!8m2!3d54.473596!4d18.4623437!16s%2Fg%2F11thk0ddth!19sChIJrcg_xU2h_UYRlVj5tgeyWDs?authuser=0&hl=en&rclk=1
54.4723764,18.4683014,zlobek,Żłobek,https://www.google.com/maps/place/%C5%BB%C5%82obek/data=!4m7!3m6!1s0x46fda109b435c1bb:0xffcf7cbf700bd916!8m2!3d54.4723764!4d18.4683014!16s%2Fg%2F11dxstch_k!19sChIJu8E1tAmh_UYRFtkLcL98z_8?authuser=0&hl=en&rclk=1
54.4174777,18.4538591,zlobek,HAPPY KIDS OSOWA Niepubliczne Przedszkole i Żłobek,https://www.google.com/maps/place/HAPPY+KIDS+OSOWA+Niepubliczne+Przedszkole+i+%C5%BB%C5%82obek/data=!4m7!3m6!1s0x46fd9f9d33ccf78f:0xabd56fae6bfc6fed!8m2!3d54.4174777!4d18.4538591!16s%2Fg%2F1tfbx4hy!19sChIJj_fMM52f_UYR7W_8a65v1as?authuser=0&hl=en&rclk=1
54.4263082,18.4809506,zlobek,Żłobek Stacja Edukacja,https://www.google.com/maps/place/%C5%BB%C5%82obek+Stacja+Edukacja/data=!4m7!3m6!1s0x46fda19592ed7387:0x1c055e06b6322527!8m2!3d54.4263082!4d18.4809506!16s%2Fg%2F11p9w7f5v9!19sChIJh3PtkpWh_UYRJyUytgZeBRw?authuser=0&hl=en&rclk=1
54.4849876,18.4271633,zlobek,Żłobek Safari Wiczlino Ogród,https://www.google.com/maps/place/%C5%BB%C5%82obek+Safari+Wiczlino+Ogr%C3%B3d/data=!4m7!3m6!1s0x46fda3300b357cf3:0x36c6a5db847b6835!8m2!3d54.4849876!4d18.4271633!16s%2Fg%2F11n0dhhkkj!19sChIJ83w1CzCj_UYRNWh7hNulxjY?authuser=0&hl=en&rclk=1
54.475871,18.5044277,zlobek,Niepubliczny Żłobek A-kuku,https://www.google.com/maps/place/Niepubliczny+%C5%BB%C5%82obek+A-kuku/data=!4m7!3m6!1s0x46fda137409c7b1b:0xed7cebcd4c0c0be6!8m2!3d54.475871!4d18.5044277!16s%2Fg%2F11qp05sy25!19sChIJG3ucQDeh_UYR5gsMTM3rfO0?authuser=0&hl=en&rclk=1
54.463844,18.4976499,zlobek,Non-public Nursery AGUGU,https://www.google.com/maps/place/Non-public+Nursery+AGUGU/data=!4m7!3m6!1s0x46fda056ff0a4619:0xf4c5efc4254f29d!8m2!3d54.463844!4d18.4976499!16s%2Fg%2F11bbx04pm6!19sChIJGUYK_1ag_UYRnfJUQvxeTA8?authuser=0&hl=en&rclk=1
54.468951,18.50462,zlobek,Niepubliczne Przedszkole i Żłobek Trampolina,https://www.google.com/maps/place/Niepubliczne+Przedszkole+i+%C5%BB%C5%82obek+Trampolina/data=!4m7!3m6!1s0x46fda0f9ce8a9935:0x501379dd43677a63!8m2!3d54.468951!4d18.50462!16s%2Fg%2F11dxkg2ntc!19sChIJNZmKzvmg_UYRY3pnQ915E1A?authuser=0&hl=en&rclk=1
54.4723704,18.5147186,zlobek,Niepubliczny Żłobek i Przedszkole MegaMocni Mały Kack,https://www.google.com/maps/place/Niepubliczny+%C5%BB%C5%82obek+i+Przedszkole+MegaMocni+Ma%C5%82y+Kack/data=!4m7!3m6!1s0x46fda16ffd5d134d:0x922dd753fb3a5a4!8m2!3d54.4723704!4d18.5147186!16s%2Fg%2F11pqpqkcbd!19sChIJTRNd_W-h_UYRpKWzP3XdIgk?authuser=0&hl=en&rclk=1
54.459099,18.5479567,zlobek,Żłobek Misiaki,https://www.google.com/maps/place/%C5%BB%C5%82obek+Misiaki/data=!4m7!3m6!1s0x46fda1f64563c955:0x27b21a98c2cce7fd!8m2!3d54.459099!4d18.5479567!16s%2Fg%2F11pdqw3b7y!19sChIJVcljRfah_UYR_efMwpgasic?authuser=0&hl=en&rclk=1
54.436963,18.558286,zlobek,Puchatek. Żłobek,https://www.google.com/maps/place/Puchatek.+%C5%BB%C5%82obek/data=!4m7!3m6!1s0x46fd0a97af3afc5d:0xf6c3ef70398468dd!8m2!3d54.436963!4d18.558286!16s%2Fg%2F1tdzdpkr!19sChIJXfw6r5cK_UYR3WiEOXDvw_Y?authuser=0&hl=en&rclk=1
54.4321639,18.5568299,zlobek,Żłobek Gniazdo,https://www.google.com/maps/place/%C5%BB%C5%82obek+Gniazdo/data=!4m7!3m6!1s0x46fd0b8b111a903b:0x2899ed037077acd9!8m2!3d54.4321639!4d18.5568299!16s%2Fg%2F11j0bhy_jp!19sChIJO5AaEYsL_UYR2ax3cAPtmSg?authuser=0&hl=en&rclk=1
54.4391129,18.5597811,zlobek,Żłobek Pozytywnych Inicjatyw,https://www.google.com/maps/place/%C5%BB%C5%82obek+Pozytywnych+Inicjatyw/data=!4m7!3m6!1s0x46fd0a9725146951:0xde1747a54dbc8b63!8m2!3d54.4391129!4d18.5597811!16s%2Fg%2F11h7zf369h!19sChIJUWkUJZcK_UYRY4u8TaVHF94?authuser=0&hl=en&rclk=1
54.4342792,18.5706344,zlobek,Ekoludki Żłobek Niepubliczny,https://www.google.com/maps/place/Ekoludki+%C5%BB%C5%82obek+Niepubliczny/data=!4m7!3m6!1s0x46fd0aead6f33a8b:0x29ce6df3169d5a3c!8m2!3d54.4342792!4d18.5706344!16s%2Fg%2F11g7rncw_6!19sChIJizrz1uoK_UYRPFqdFvNtzik?authuser=0&hl=en&rclk=1
54.454757,18.5496497,zlobek,"Sopocka Szkoła Montessori-Żłobek, Przedszkole, Szkoła Podstawowa","https://www.google.com/maps/place/Sopocka+Szko%C5%82a+Montessori-%C5%BB%C5%82obek,+Przedszkole,+Szko%C5%82a+Podstawowa/data=!4m7!3m6!1s0x46fda097819393a7:0xc404eb926f70784a!8m2!3d54.454757!4d18.5496497!16s%2Fg%2F1tk6z5lv!19sChIJp5OTgZeg_UYRSnhwb5LrBMQ?authuser=0&hl=en&rclk=1"
54.478717,18.547714,zlobek,Żłobek Wesołe Żuczki,https://www.google.com/maps/place/%C5%BB%C5%82obek+Weso%C5%82e+%C5%BBuczki/data=!4m7!3m6!1s0x46fda097781ef40d:0x48c5bda2cdf1fe81!8m2!3d54.478717!4d18.547714!16s%2Fg%2F11g7khzpwr!19sChIJDfQeeJeg_UYRgf7xzaK9xUg?authuser=0&hl=en&rclk=1
